Station naam;Datum en tijd;Property;Regio;Gemeente;value;Unit
NBI_SB918; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 6.20; ug/m3
LUC_355523767661822; 2024-06-03T13:00:00.000Z; pm25; ODH; Pijnacker-Nootdorp; 5.87; ug/m3
LUC_354444115474175; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_354444115533491; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.86; ug/m3
LUC_354724647885778; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.53; ug/m3
LTD_50643; 2024-06-03T13:00:00.000Z; pm25; ODH; Pijnacker-Nootdorp; 6.17; ug/m3
LUC_354444115571061; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.10; ug/m3
LTD_71272; 2024-06-03T13:00:00.000Z; pm25; ODWH; Leiden; 0.66; ug/m3
LUC_354724647886008; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.16; ug/m3
LUC_354724647889515; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 6.14; ug/m3
LTD_25972; 2024-06-03T13:00:00.000Z; pm25; DCMR; Barendrecht; 0.96; ug/m3
LTD_50460; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 6.93; ug/m3
LUC_354724647885588; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 8.34; ug/m3
LUC_354724647885018; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 1.91; ug/m3
LTD_60852; 2024-06-03T13:00:00.000Z; pm25; ODWH; Katwijk; 8.46; ug/m3
LUC_355523767480397; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 7.18; ug/m3
LUC_354724647885216; 2024-06-03T13:00:00.000Z; pm25; DCMR; Rotterdam; 0.00; ug/m3
LUC_355523767663596; 2024-06-03T13:00:00.000Z; pm25; ODH; Leidschendam-Voorburg; 6.57; ug/m3
LTD_14914; 2024-06-03T13:00:00.000Z; pm25; ODMH; Bodegraven-Reeuwijk; 2.05; ug/m3
LTD_32291; 2024-06-03T13:00:00.000Z; pm25; ODH; Pijnacker-Nootdorp; 0.18; ug/m3
