IND_OBJ_KE,IND_WAARDE,IND_WAARD0,IND_OBJ_AA,IND_OBJ_NA,IND_OBJ_BE,IND_OBJ_GR,IND_PERIOD,IND_THEMA,IND_CULT_D,OBJECTID
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507920",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,557.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507950",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,558.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507953",hallehuisgroep (hallehuis - dwarshuistype),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,559.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507962",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,560.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507964",hallehuisgroep (t-huisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,561.000000000000000
,Rijksbeschermd,,Ja,"507968",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,562.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507973",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,563.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507980",hallehuisgroep (t-huisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,564.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"507984",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,565.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"508283",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,568.000000000000000
,Rijksbeschermd,,Ja,"508608",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,573.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"508944",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,574.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"508948",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,575.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"508949",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,576.000000000000000
,Rijksbeschermd,,Ja,"510553",onbekend,boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,581.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"510570",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,582.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"510587",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,583.000000000000000
"driebeukig gebouw, ankerbalkgebint, stallen aan weerszijden, langgerekt gebouw, grote openslaande staldeuren",Rijksbeschermd,,Ja,"510595",hallehuisgroep (hallehuisboerderij),boerderijtypen,moderne tijd,landbouw,Gebouwd erfgoed,584.000000000000000
