,hex9,Value,lat,lng,suitability
0,891f1600003ffff,0.59984416,52.34008345486254,7.038924728207197,60.0
1,891f160000bffff,0.6313821,52.337391747418266,7.036908365358475,63.1
2,891f160000fffff,0.5919457,52.33795859019708,7.041761626292715,59.2
3,891f1600013ffff,0.63350624,52.34220814896739,7.036087694497144,63.4
4,891f1600017ffff,0.58954495,52.34277505104552,7.040941278904981,59.0
5,891f160001bffff,0.6594772,52.33951648859745,7.034071415603836,65.9
6,891f1600027ffff,0.3674113,52.33965799235548,7.05632272925526,36.7
7,891f160002bffff,0.5023003,52.33640008658495,7.049451818004993,50.2
8,891f160002fffff,0.40321484,52.336966430487365,7.054305467220585,40.3
9,891f1600037ffff,0.37307188,52.34178322749872,7.053485986467064,37.3
10,891f160004bffff,0.7298732,52.331440840081406,7.028023705827908,73.0
11,891f1600053ffff,0.7457032,52.33625749891412,7.027202503898023,74.6
12,891f1600057ffff,0.7081731,52.336824716982704,7.032055324542019,70.8
13,891f160005bffff,0.7385092,52.333565551936864,7.025186872422164,73.9
14,891f1600063ffff,0.55348545,52.33314175339199,7.04258185805062,55.3
15,891f1600067ffff,0.52753997,52.33370834920103,7.047435015573364,52.8
16,891f160006fffff,0.5688228,52.33101650055328,7.045418400979726,56.9
17,891f1600077ffff,0.5319647,52.33583355497516,7.044598388749499,53.2
18,891f1600083ffff,0.6879341,52.34702417454018,7.035266907940836,68.8
19,891f1600087ffff,0.5765151,52.34759113591031,7.040120815863281,57.7
20,891f160008bffff,0.6734195,52.344332672507406,7.0332505251667,67.3
21,891f160008fffff,0.60374403,52.34489969807687,7.0381041612431785,60.4
22,891f1600093ffff,0.7024194,52.349148480431225,7.032429519002058,70.2
23,891f1600097ffff,0.6323902,52.349715565297736,7.037283478592666,63.2
24,891f160009bffff,0.7173477,52.34645702547843,7.030413220220127,71.7
25,891f16000a3ffff,0.45578164,52.34603318610771,7.047812093801625,45.6
26,891f16000a7ffff,0.40891644,52.346599648521575,7.052666390174181,40.9
27,891f16000afffff,0.3980379,52.343908292084215,7.050649107981145,39.8
