,x,y,IND_OBJ_NA,manure_t,biogas_potential_m3
0,6.7658433939,52.3141390592,507920,2454,957060.0
1,6.837249466,52.4250842522,507950,9827,3832530.0
2,6.8593610438,52.3862247622,507953,8660,3377400.0
3,6.7534834692,52.4343820977,507962,2913,1136070.0
4,6.4840766356,52.2436198663,507964,6488,2530320.0
5,6.5372603964,52.2656283602,507968,5707,2225730.0
6,6.5442865956,52.2581897466,507973,8533,3327870.0
7,6.5360573609,52.2595617688,507980,3376,1316640.0
8,6.4999411358,52.2293056571,507984,243,94770.0
9,6.904208931,52.3585207448,508283,2727,1063530.0
10,6.4695229402,52.4490480269,508608,3150,1228500.0
11,6.9780917374,52.383647521,508944,1160,452400.0
12,6.988118899,52.3758981254,508948,2968,1157520.0
13,6.988416487,52.376289487,508949,7383,2879370.0
14,6.934623537,52.2500679808,510553,8138,3173820.0
15,6.7977540715,52.2037075598,510570,458,178620.0
16,6.8211798801,52.2254065666,510587,6579,2565810.0
17,6.8458935653,52.1962640994,510595,7959,3104010.0
18,6.851861762,52.2537024625,510605,5506,2147340.0
19,6.9242982022,52.2082476559,510610,7197,2806830.0
20,6.7798420041,52.219489064,510620,5477,2136030.0
21,6.8608124787,52.4253950349,12335,3506,1367340.0
23,6.9732986747,52.4186338726,12358,6408,2499120.0
28,6.8351291013,52.2305551004,510622,9167,3575130.0
29,6.731964637,52.2727724036,507615,8712,3397680.0
30,6.7000505516,52.3456609141,507671,5658,2206620.0
31,6.7912894572,52.26633688,511456,1121,437190.0
32,6.7581025295,52.2683918553,511481,4339,1692210.0
33,6.7466692796,52.2011796679,511482,3528,1375920.0
34,6.8116538149,52.2366257484,511485,2295,895050.0
35,6.8522695879,52.2756253536,511931,5960,2324400.0
36,6.8236604457,52.3550519764,511936,3506,1367340.0
37,6.5559214998,52.3923740708,512252,4548,1773720.0
38,6.994540204,52.314705362,513499,9667,3770130.0
39,6.9709155352,52.3193043016,513515,3948,1539720.0
40,6.5705917087,52.2048918962,513933,1040,405600.0
41,6.5542936412,52.2000370564,513936,706,275340.0
42,6.6660025214,52.2899433048,7554,534,208260.0
43,6.5970184279,52.2196114225,520454,2412,940680.0
44,6.7634878232,52.3014586163,526231,3017,1176630.0
45,6.7403645028,52.2155153271,527676,6435,2509650.0
46,6.7388246432,52.2694366143,512271,6957,2713230.0
47,6.7386614308,52.2710782138,512272,2382,928980.0
55,6.8455566668,52.1962502822,15298,6872,2680080.0
62,6.8938186317,52.1863625653,15316,702,273780.0
64,6.8675952738,52.2252875024,15318,1912,745680.0
71,6.8157355773,52.1441123818,18864,4512,1759680.0
79,6.4868360712,52.4756546538,20002,2906,1133340.0
82,6.7412605913,52.2666846469,512273,5141,2004990.0
84,6.7289544411,52.3328677019,527052,3691,1439490.0
87,6.6168951738,52.2383476762,7546,1964,765960.0
88,6.6671784754,52.2835425995,7549,4990,1946100.0
95,6.7609613357,52.2992168332,9916,1649,643110.0
98,6.5464240813,52.1975195779,528762,7738,3017820.0
99,6.5795146117,52.2030059672,529139,7418,2893020.0
110,6.7388488755,52.2469572214,21525,2173,847470.0
111,6.4625100501,52.2796283109,22215,5790,2258100.0
119,6.9960179425,52.3517232378,26288,9712,3787680.0
120,7.0087987299,52.2473864703,26297,354,138060.0
122,6.5412531751,52.27863361,28127,7651,2983890.0
123,6.595124471,52.224009363,28133,3700,1443000.0
127,6.6548847353,52.3655325043,ALM01025,955,372450.0
128,6.7126468834,52.3501887637,ALM01078,6948,2709720.0
129,6.7134845154,52.3572404254,ALM01080,8853,3452670.0
130,6.6811735726,52.3546416327,ALM01081,6363,2481570.0
131,6.6348865653,52.351974479,ALM01090,7989,3115710.0
132,6.6442232598,52.3545992484,ALM01092,9201,3588390.0
133,6.7043422962,52.3448761712,ALM01082,5168,2015520.0
134,6.6946617987,52.3586948923,ALM01076,5392,2102880.0
135,6.7201049145,52.3601343584,ALM01077,9723,3791970.0
136,6.6590190421,52.371968911,ALM01093,8263,3222570.0
137,6.760410259,52.3008232326,BOR01032,7871,3069690.0
139,6.7610275019,52.2984969501,BOR01001,4143,1615770.0
140,7.0159961676,52.36926877,DNK01031,8670,3381300.0
141,6.88012943,52.3876892061,DNK01017,5883,2294370.0
147,6.7156625149,52.147242024,333490,5786,2256540.0
148,6.7060114373,52.2557850392,34143,6793,2649270.0
149,6.7079183106,52.2552182102,34144,4159,1622010.0
154,6.8755082227,52.2543239587,ENS01027,6144,2396160.0
155,6.9243854387,52.213993032,ENS01029,2093,816270.0
156,6.8875284391,52.2515011431,ENS01047,6913,2696070.0
157,6.867179361,52.2381852578,ENS01005,444,173160.0
162,6.9228103481,52.2069288076,ENS01085,7208,2811120.0
163,6.8358948559,52.2127673217,ENS01071,1050,409500.0
164,6.8414021827,52.2424424978,ENS01081,9652,3764280.0
167,6.9024601373,52.1966754481,ENS01155,227,88530.0
168,6.9200021573,52.200232023,ENS01161,4873,1900470.0
170,6.7387881782,52.1410899046,HKB01039,3301,1287390.0
171,6.8365751014,52.1435855321,HKB01003,7359,2870010.0
172,6.8472248943,52.1395169546,HKB01004,5899,2300610.0
173,6.7362249281,52.1584477817,HKB01023,9015,3515850.0
174,6.7444057177,52.1188920731,HKB01006,629,245310.0
179,6.7368461658,52.212347502,HGL01068,7572,2953080.0
185,6.7499624529,52.2421839539,HGL01022,6500,2535000.0
189,6.7129367004,52.2635400544,HOF01001,1169,455910.0
190,6.4986911687,52.2342795716,HOF01022,470,183300.0
191,6.6605317628,52.1989115199,HOF01023,8085,3153150.0
192,6.5899990584,52.2370549954,HOF01043,1401,546390.0
194,6.5883569762,52.2353616483,HOF01031,6758,2635620.0
208,6.8702409799,52.438159733,TUB01009,2562,999180.0
227,6.5632241071,52.2937525266,38906,3123,1217970.0
232,6.4397723384,52.4142614118,46769,6660,2597400.0
233,6.7562661164,52.3985697194,TUB01019,861,335790.0
236,6.8308185326,52.4235723119,TUB01010,9038,3524820.0
237,6.8354457953,52.4247922577,TUB01011,6983,2723370.0
238,6.7419423221,52.369880972,TUB01012,7798,3041220.0
239,6.7117620948,52.3800737591,TUB01013,5249,2047110.0
240,6.6908772887,52.40462847,TUB01014,2922,1139580.0
241,6.6430904085,52.4182145304,VZV01003,1930,752700.0
242,6.6467849021,52.419513837,VZV01004,1035,403650.0
243,6.6512901679,52.4207781842,VZV01005,3909,1524510.0
244,6.6255182997,52.412311192,VZV01006,8640,3369600.0
245,6.6402564826,52.4168775214,VZV01018,2233,870870.0
246,6.6496136741,52.4199924326,VZV01019,8825,3441750.0
247,6.6539678907,52.4208484688,VZV01020,8880,3463200.0
248,6.7088672122,52.479572871,VZV01024,312,121680.0
249,6.5630659972,52.2922080713,WDN01023,3339,1302210.0
257,6.848896901,52.4392609308,46926,1570,612300.0
258,6.5485093641,52.3294213467,47011,4455,1737450.0
259,6.5553390127,52.309443684,47013,7809,3045510.0
260,6.5913239804,52.2199724941,480693,1073,418470.0
261,6.6207273018,52.4106609269,507476,7523,2933970.0
262,6.6990287501,52.45741401,507480,1695,661050.0
263,6.7032535492,52.2556425969,507489,3813,1487070.0
264,6.7266909115,52.2622987544,507502,2516,981240.0
265,6.7197117142,52.2657234587,507506,3164,1233960.0
266,6.7186676569,52.2786342442,507619,4447,1734330.0
267,6.7124562938,52.2732912075,507623,439,171210.0
268,6.6729721853,52.358856739,507706,7712,3007680.0
269,6.6962569647,52.3439321628,507711,8272,3226080.0
270,6.6569050501,52.3648097538,507716,2422,944580.0
271,6.779408399,52.1709400588,507739,7242,2824380.0
272,6.7540525063,52.1864942353,507743,1518,592020.0
273,6.6963409619,52.2794096871,507786,9983,3893370.0
274,6.6790333092,52.2955946299,507790,5638,2198820.0
275,6.7203953073,52.2789673823,507796,7370,2874300.0
