,hex9,color,fuzzy
0,891f1600093ffff,"[171, 51, 124]",0.475
1,891f1600097ffff,"[182, 54, 121]",0.503
2,891f16000a3ffff,"[200, 61, 114]",0.544
3,891f16000a7ffff,"[212, 67, 109]",0.575
4,891f16000afffff,"[224, 75, 102]",0.608
5,891f16000b7ffff,"[184, 55, 120]",0.507
6,891f1600183ffff,"[171, 51, 124]",0.474
7,891f160018bffff,"[182, 54, 121]",0.5
8,891f1600193ffff,"[161, 47, 126]",0.45
9,891f1600197ffff,"[166, 49, 125]",0.461
10,891f160019bffff,"[167, 49, 125]",0.466
11,891f16001c3ffff,"[190, 57, 118]",0.522
12,891f16001cbffff,"[203, 62, 113]",0.552
13,891f16001d3ffff,"[211, 66, 109]",0.573
14,891f16001dbffff,"[222, 74, 103]",0.602
15,891f1600237ffff,"[159, 47, 126]",0.448
16,891f160024bffff,"[153, 45, 127]",0.433
17,891f160026bffff,"[167, 49, 125]",0.468
18,891f160026fffff,"[182, 54, 121]",0.503
19,891f16002afffff,"[159, 47, 126]",0.446
20,891f16003c3ffff,"[171, 51, 124]",0.476
21,891f16003cbffff,"[179, 53, 122]",0.493
22,891f16003d3ffff,"[190, 57, 118]",0.522
23,891f16003d7ffff,"[181, 54, 121]",0.499
24,891f16003dbffff,"[166, 49, 125]",0.464
25,891f1600403ffff,"[211, 66, 109]",0.572
26,891f1600407ffff,"[182, 54, 121]",0.502
27,891f160040fffff,"[197, 60, 116]",0.538
28,891f1600413ffff,"[203, 62, 113]",0.553
29,891f1600417ffff,"[214, 68, 108]",0.58
30,891f160041bffff,"[187, 56, 119]",0.514
31,891f1600423ffff,"[189, 57, 119]",0.518
32,891f1600427ffff,"[202, 62, 114]",0.548
33,891f160042bffff,"[214, 68, 108]",0.578
34,891f160042fffff,"[224, 75, 102]",0.607
35,891f1600433ffff,"[174, 52, 123]",0.481
36,891f1600437ffff,"[182, 54, 121]",0.502
37,891f160043bffff,"[184, 55, 120]",0.505
38,891f1600443ffff,"[203, 62, 113]",0.551
39,891f1600447ffff,"[205, 63, 112]",0.556
40,891f160044bffff,"[215, 69, 107]",0.584
41,891f160044fffff,"[209, 66, 110]",0.57
42,891f1600453ffff,"[205, 63, 112]",0.556
43,891f1600457ffff,"[211, 66, 109]",0.574
44,891f160045bffff,"[224, 75, 102]",0.607
45,891f1600463ffff,"[229, 80, 99]",0.622
46,891f1600467ffff,"[226, 77, 101]",0.614
47,891f160046bffff,"[231, 82, 98]",0.632
48,891f1600473ffff,"[230, 81, 98]",0.625
49,891f1600477ffff,"[220, 72, 105]",0.596
50,891f160047bffff,"[232, 84, 97]",0.634
51,891f1600483ffff,"[209, 66, 110]",0.57
52,891f1600487ffff,"[215, 69, 107]",0.586
53,891f160048bffff,"[211, 66, 109]",0.572
54,891f160048fffff,"[198, 60, 115]",0.542
55,891f1600493ffff,"[185, 55, 120]",0.511
56,891f1600497ffff,"[195, 59, 116]",0.534
57,891f160049bffff,"[189, 57, 119]",0.516
58,891f16004a3ffff,"[209, 66, 110]",0.569
59,891f16004a7ffff,"[202, 62, 114]",0.548
60,891f16004abffff,"[218, 71, 105]",0.594
