,hex9,Value
0,891f1618003ffff,2381.4856
1,891f161800bffff,2337.3857
2,891f1618013ffff,2218.8733
3,891f1618017ffff,2436.877
4,891f161801bffff,2114.271
5,891f1618043ffff,1993.2245
6,891f1618047ffff,2232.3762
7,891f161804bffff,1742.0098
8,891f1618053ffff,1754.2356
9,891f1618057ffff,2046.0038
10,891f161805bffff,1712.8143
11,891f1618073ffff,2477.2773
12,891f161808bffff,1985.9738
13,891f16180c3ffff,1576.1959
14,891f16180c7ffff,1901.2494
15,891f16180cbffff,1495.1296
16,891f16180cfffff,1799.6183
17,891f16180d3ffff,1388.1974
18,891f16180d7ffff,1695.6075
19,891f16180dbffff,1259.2618
20,891f1618283ffff,1366.8931
21,891f1618287ffff,1728.9769
22,891f161828bffff,1249.4401
23,891f1618293ffff,1189.2683
24,891f1618297ffff,1507.9015
25,891f161829bffff,1071.9442
26,891f16182b3ffff,1910.7039
27,891f16182d3ffff,671.4747
28,891f16182d7ffff,1063.3145
29,891f16182dbffff,701.42566
30,891f1618443ffff,786.4476
31,891f161844bffff,568.93243
32,891f161844fffff,769.3291
33,891f1618453ffff,954.093
34,891f161845bffff,736.6807
35,891f161846bffff,1223.434
36,891f161846fffff,1492.6376
37,891f161847bffff,1100.3553
38,891f16184cbffff,1169.6947
39,891f16184dbffff,1434.7661
40,891f1618603ffff,650.0649
41,891f1618607ffff,756.3932
42,891f161860bffff,441.91348
43,891f161860fffff,687.0336
44,891f1618613ffff,448.23383
45,891f1618617ffff,472.7579
46,891f161861bffff,630.72675
47,891f1618623ffff,1247.9297
48,891f1618627ffff,1476.6686
49,891f161862bffff,1045.1927
50,891f161862fffff,1380.1758
51,891f1618633ffff,940.62573
52,891f1618637ffff,1206.0042
53,891f161863bffff,961.1577
54,891f1618647ffff,217.08546
55,891f1618657ffff,335.2736
56,891f1618663ffff,592.69775
57,891f1618667ffff,857.0459
58,891f161866bffff,561.36536
59,891f161866fffff,799.8246
60,891f1618673ffff,424.8841
61,891f1618677ffff,714.4858
62,891f1618683ffff,181.39737
63,891f1618687ffff,263.6745
64,891f161868bffff,355.39542
65,891f161868fffff,175.67386
66,891f1618693ffff,488.20486
67,891f1618697ffff,451.46454
68,891f161869bffff,483.0928
69,891f16186a3ffff,718.3285
70,891f16186a7ffff,1049.3615
71,891f16186abffff,662.5085
72,891f16186afffff,944.4403
73,891f16186b3ffff,546.96594
74,891f16186b7ffff,905.9621
75,891f16186bbffff,399.21213
76,891f16186c7ffff,558.45
77,891f16186d3ffff,791.79474
78,891f16186d7ffff,632.05426
79,891f16194a7ffff,1982.7274
80,891f16194b3ffff,2242.0637
81,891f16194b7ffff,2046.8031
82,891f1619507ffff,1060.4578
83,891f1619513ffff,931.63586
