,hex9,value
0,891f1600003ffff,5220.4277
1,891f160000bffff,5273.945
2,891f160000fffff,5465.6196
3,891f1600013ffff,4760.858
4,891f1600017ffff,5030.1934
5,891f160001bffff,4837.2974
6,891f1600027ffff,7050.2964
7,891f160002bffff,6424.83
8,891f160002fffff,7182.979
9,891f1600037ffff,6471.6104
10,891f160004bffff,4750.9307
11,891f1600053ffff,4463.1553
12,891f1600057ffff,4730.7236
13,891f160005bffff,4580.6763
14,891f1600063ffff,6354.794
15,891f1600067ffff,6574.138
16,891f160006fffff,6445.3613
17,891f1600077ffff,6299.507
18,891f1600083ffff,4185.337
19,891f1600087ffff,5028.6265
20,891f160008bffff,4361.0474
21,891f160008fffff,4844.8716
22,891f1600093ffff,4017.591
23,891f1600097ffff,4178.9688
24,891f160009bffff,3969.0803
25,891f16000a3ffff,5541.924
26,891f16000a7ffff,5800.6177
27,891f16000afffff,6191.09
28,891f16000b3ffff,5205.6343
29,891f16000b7ffff,5385.532
30,891f16000bbffff,5160.64
31,891f16000c3ffff,3777.6243
32,891f16000c7ffff,4404.9863
33,891f16000cbffff,3944.022
34,891f16000cfffff,4354.073
35,891f16000d3ffff,3501.314
36,891f16000d7ffff,3863.3472
37,891f16000dbffff,3499.0303
38,891f1600183ffff,6829.4307
39,891f1600187ffff,6916.502
40,891f160018bffff,6834.3325
41,891f1600193ffff,6342.447
42,891f1600197ffff,6682.1235
43,891f160019bffff,6226.2886
44,891f16001c3ffff,6507.06
45,891f16001c7ffff,6792.694
46,891f16001cbffff,6753.185
47,891f16001d3ffff,6064.687
48,891f16001d7ffff,6642.9077
49,891f16001dbffff,6320.432
50,891f1600203ffff,3526.597
51,891f1600207ffff,4171.9893
52,891f160020bffff,3216.5208
53,891f160020fffff,3774.0574
54,891f1600213ffff,3356.699
55,891f1600217ffff,3728.5137
56,891f160021bffff,3036.7864
57,891f1600223ffff,4845.759
58,891f1600227ffff,5422.842
59,891f160022bffff,4574.717
60,891f160022fffff,5162.5166
61,891f1600233ffff,4688.2285
62,891f1600237ffff,5180.8257
63,891f160023bffff,4361.6533
64,891f1600243ffff,2390.0305
65,891f1600247ffff,2931.0957
66,891f160024bffff,2206.684
67,891f160024fffff,2712.4187
68,891f1600253ffff,2130.6443
69,891f1600257ffff,2690.4333
70,891f160025bffff,1844.1366
71,891f1600263ffff,3762.4731
72,891f160026bffff,3604.2861
73,891f160026fffff,4089.1418
74,891f1600273ffff,3483.403
75,891f1600277ffff,3975.26
76,891f160027bffff,3251.4604
77,891f1600283ffff,3851.3508
78,891f1600287ffff,4284.1846
79,891f160028bffff,3354.4912
80,891f160028fffff,3980.2876
81,891f1600293ffff,3883.76
82,891f1600297ffff,4292.5625
83,891f160029bffff,3381.7534
84,891f16002afffff,5067.1025
