,hex9,value
0,891f1600003ffff,6534.571
1,891f160000bffff,6188.1636
2,891f160000fffff,6431.452
3,891f1600013ffff,6781.619
4,891f1600017ffff,7062.73
5,891f160001bffff,6239.0654
6,891f1600027ffff,7674.4053
7,891f160002bffff,6558.1587
8,891f160002fffff,7143.155
9,891f1600037ffff,7957.3604
10,891f160004bffff,4641.93
11,891f1600053ffff,5354.1074
12,891f1600057ffff,5826.6934
13,891f160005bffff,4856.45
14,891f1600063ffff,6000.4688
15,891f1600067ffff,6139.2
16,891f160006fffff,5693.5337
17,891f1600077ffff,6330.7505
18,891f1600083ffff,7564.387
19,891f1600087ffff,7629.4814
20,891f160008bffff,6969.72
21,891f160008fffff,7252.557
22,891f1600093ffff,7822.3804
23,891f1600097ffff,8234.99
24,891f160009bffff,7308.904
25,891f16000a3ffff,8285.557
26,891f16000a7ffff,8438.967
27,891f16000afffff,7992.9736
28,891f16000b3ffff,7924.799
29,891f16000b7ffff,8549.168
30,891f16000bbffff,7687.8423
31,891f16000c3ffff,6152.311
32,891f16000c7ffff,6497.0405
33,891f16000cbffff,5678.6504
34,891f16000cfffff,5900.529
35,891f16000d3ffff,6456.764
36,891f16000d7ffff,6824.694
37,891f16000dbffff,5984.3213
38,891f1600183ffff,10286.751
39,891f1600187ffff,10463.297
40,891f160018bffff,9525.617
41,891f1600193ffff,10261.41
42,891f1600197ffff,10608.854
43,891f160019bffff,9835.9375
44,891f16001c3ffff,8765.053
45,891f16001c7ffff,9324.452
46,891f16001cbffff,8114.196
47,891f16001d3ffff,8741.06
48,891f16001d7ffff,9162.461
49,891f16001dbffff,8274.401
50,891f1600203ffff,2840.9216
51,891f1600207ffff,3223.0205
52,891f160020bffff,2299.4583
53,891f160020fffff,2680.0564
54,891f1600213ffff,2920.3086
55,891f1600217ffff,3096.3171
56,891f160021bffff,2482.8196
57,891f1600223ffff,3669.0166
58,891f1600227ffff,4205.653
59,891f160022bffff,3287.4668
60,891f160022fffff,3815.6106
61,891f1600233ffff,3708.076
62,891f1600237ffff,4131.903
63,891f160023bffff,3249.1262
64,891f1600243ffff,1404.4243
65,891f1600247ffff,1785.4015
66,891f160024bffff,932.8222
67,891f160024fffff,1287.0374
68,891f1600253ffff,1671.7092
69,891f1600257ffff,1943.936
70,891f160025bffff,1164.6923
71,891f1600263ffff,2268.7903
72,891f160026bffff,1894.4073
73,891f160026fffff,2391.8015
74,891f1600273ffff,2246.9993
75,891f1600277ffff,2677.9304
76,891f160027bffff,1766.3202
77,891f1600283ffff,3802.7266
78,891f1600287ffff,4096.0957
79,891f160028bffff,3255.9895
80,891f160028fffff,3698.907
81,891f1600293ffff,4087.6658
82,891f1600297ffff,4302.299
83,891f160029bffff,3567.8484
84,891f16002afffff,4147.467
85,891f16002bbffff,3675.1904
86,891f16002c3ffff,2530.6968
87,891f16002c7ffff,2729.978
88,891f16002cbffff,2029.7062
89,891f16002cfffff,2213.1365
90,891f16002d3ffff,2891.4177
91,891f16002d7ffff,3039.6821
92,891f16002dbffff,2436.2341
93,891f1600343ffff,4641.5854
94,891f160034bffff,4238.982
95,891f1600353ffff,4616.333
96,891f160035bffff,4291.7627
97,891f1600383ffff,6457.584
98,891f160038bffff,6051.2207
99,891f1600393ffff,6519.51
100,891f1600397ffff,6997.7505
101,891f160039bffff,6133.565
102,891f16003c3ffff,5116.899
103,891f16003c7ffff,5616.7695
104,891f16003cbffff,4620.541
105,891f16003cfffff,5047.706
106,891f16003d3ffff,5089.9004
107,891f16003d7ffff,5634.0415
108,891f16003dbffff,4671.7554
109,891f1600403ffff,8567.489
110,891f1600407ffff,8716.843
111,891f160040bffff,8077.8506
112,891f160040fffff,8210.28
113,891f1600413ffff,8902.727
114,891f1600417ffff,9046.734
115,891f160041bffff,8257.887
116,891f1600423ffff,8634.825
117,891f1600427ffff,8900.13
118,891f160042bffff,8084.4062
119,891f160042fffff,8354.7295
120,891f1600433ffff,8923.996
121,891f1600437ffff,9156.015
122,891f160043bffff,8397.676
123,891f1600443ffff,7375.813
124,891f1600447ffff,7490.359
125,891f160044bffff,6909.3125
126,891f160044fffff,7008.782
127,891f1600453ffff,7802.892
128,891f1600457ffff,7869.1074
129,891f160045bffff,7307.89
130,891f1600463ffff,7417.807
131,891f1600467ffff,7612.671
132,891f160046bffff,6814.087
133,891f160046fffff,7060.1772
134,891f1600473ffff,7757.6177
135,891f1600477ffff,7861.208
136,891f160047bffff,7136.078
137,891f1600483ffff,9768.078
138,891f1600487ffff,9912.464
139,891f160048bffff,9261.888
140,891f160048fffff,9404.222
141,891f1600493ffff,10134.106
142,891f1600497ffff,10269.939
143,891f160049bffff,9644.378
144,891f16004a3ffff,9806.261
145,891f16004a7ffff,9979.51
146,891f16004abffff,9224.092
147,891f16004afffff,9447.681
148,891f16004b3ffff,10090.612
149,891f16004b7ffff,10286.497
150,891f16004bbffff,9566.903
151,891f16004c3ffff,8637.166
152,891f16004c7ffff,8569.8545
153,891f16004cbffff,8198.298
154,891f16004cfffff,8262.786
155,891f16004d3ffff,9077.776
156,891f16004d7ffff,9220.549
157,891f16004dbffff,8610.354
158,891f1600503ffff,10355.104
159,891f1600507ffff,10702.5205
160,891f160050bffff,9786.446
161,891f160050fffff,10167.918
162,891f1600513ffff,10570.548
163,891f1600517ffff,10897.126
164,891f160051bffff,10052.129
165,891f160052bffff,10197.727
166,891f160052fffff,10681.592
167,891f1600533ffff,11082.211
168,891f1600537ffff,11483.906
169,891f160053bffff,10481.044
170,891f1600543ffff,8981.804
171,891f1600547ffff,9274.398
172,891f160054bffff,8531.79
173,891f160054fffff,8928.006
174,891f1600553ffff,9184.751
175,891f1600557ffff,9447.758
176,891f160055bffff,8636.719
177,891f1600563ffff,9465.502
178,891f1600567ffff,9842.012
179,891f160056bffff,8928.482
180,891f160056fffff,9281.924
181,891f1600573ffff,9631.116
182,891f1600577ffff,9993.512
183,891f160057bffff,9105.18
184,891f1600583ffff,11213.339
185,891f1600587ffff,11655.842
186,891f160058bffff,10793.125
187,891f160058fffff,11112.537
188,891f1600593ffff,11422.806
189,891f1600597ffff,11757.722
190,891f160059bffff,11042.319
191,891f16005a3ffff,11759.914
192,891f16005a7ffff,12155.714
193,891f16005abffff,11249.063
194,891f16005afffff,11601.396
195,891f16005b3ffff,11934.991
196,891f16005b7ffff,12398.955
197,891f16005bbffff,11437.843
198,891f16005c3ffff,9977.105
199,891f16005c7ffff,10282.201
200,891f16005cbffff,9422.093
201,891f16005cfffff,9712.999
202,891f16005d3ffff,10227.494
203,891f16005d7ffff,10509.372
204,891f16005dbffff,9696.655
205,891f1600603ffff,5087.6255
206,891f1600607ffff,5174.179
207,891f160060bffff,4632.466
208,891f160060fffff,4633.7085
209,891f1600613ffff,5556.0635
210,891f1600617ffff,5555.4453
211,891f160061bffff,5058.5547
212,891f1600623ffff,4935.728
213,891f1600627ffff,5146.888
214,891f160062bffff,4413.728
215,891f160062fffff,4617.871
216,891f1600633ffff,5283.107
217,891f1600637ffff,5451.2764
218,891f160063bffff,4776.079
219,891f1600643ffff,4252.9697
220,891f1600647ffff,4217.0986
221,891f160064bffff,3969.829
222,891f160064fffff,3804.4695
223,891f1600653ffff,4755.9346
224,891f1600657ffff,4699.596
225,891f160065bffff,4409.0405
226,891f1600663ffff,3795.5667
227,891f1600667ffff,3891.4597
228,891f160066bffff,3290.1687
229,891f160066fffff,3399.0566
230,891f1600673ffff,4205.1216
231,891f1600677ffff,4275.849
232,891f160067bffff,3745.4263
233,891f1600683ffff,6409.6333
234,891f1600687ffff,6427.3105
235,891f160068bffff,5898.9624
236,891f160068fffff,5966.5737
237,891f1600693ffff,6826.816
238,891f1600697ffff,6836.641
239,891f160069bffff,6396.25
240,891f16006a3ffff,6147.7754
241,891f16006a7ffff,6304.7427
242,891f16006abffff,5641.02
243,891f16006afffff,5783.155
244,891f16006b3ffff,6521.0786
245,891f16006b7ffff,6649.0054
246,891f16006bbffff,6026.781
247,891f16006c3ffff,5618.6924
248,891f16006c7ffff,5521.3374
249,891f16006cbffff,5231.86
250,891f16006cfffff,5112.6025
251,891f16006d3ffff,6063.806
252,891f16006d7ffff,6008.3125
253,891f16006dbffff,5716.437
254,891f1601003ffff,4118.295
255,891f1601007ffff,3636.737
256,891f160100bffff,4551.0854
257,891f160100fffff,3963.809
258,891f1601013ffff,4291.302
259,891f1601017ffff,3763.6396
260,891f160101bffff,4672.9
261,891f1601023ffff,3124.2676
262,891f1601027ffff,2623.4514
263,891f160102bffff,3577.6392
264,891f160102fffff,3104.7207
265,891f1601033ffff,3114.2686
266,891f1601037ffff,2579.0435
267,891f160103bffff,3573.9338
268,891f1601043ffff,5740.7583
269,891f1601047ffff,5068.072
270,891f160104bffff,6024.7593
271,891f160104fffff,5512.7993
272,891f1601053ffff,5777.554
273,891f1601057ffff,4810.741
274,891f160105bffff,6056.1177
275,891f1601063ffff,4665.1074
276,891f1601067ffff,4026.8982
277,891f160106bffff,5043.7124
278,891f160106fffff,4630.205
279,891f1601073ffff,4565.567
280,891f1601077ffff,3965.3872
281,891f160107bffff,5023.047
282,891f1601083ffff,4206.465
283,891f1601087ffff,3787.735
284,891f160108bffff,4506.4272
285,891f160108fffff,3951.668
286,891f1601093ffff,4456.371
287,891f1601097ffff,3921.0522
288,891f160109bffff,4734.813
289,891f16010a3ffff,2883.1301
290,891f16010a7ffff,2062.382
291,891f16010abffff,3233.0164
292,891f16010afffff,2784.4387
293,891f16010b3ffff,3091.582
294,891f16010b7ffff,2556.3162
295,891f16010bbffff,3440.3193
296,891f16010c3ffff,5316.824
297,891f16010c7ffff,4845.5986
298,891f16010cbffff,5937.7266
299,891f16010cfffff,4991.3457
300,891f16010d3ffff,5484.397
301,891f16010d7ffff,5067.335
302,891f1601103ffff,1108.8801
303,891f1601107ffff,1151.2169
304,891f160110bffff,1556.712
305,891f160110fffff,1536.2438
306,891f1601113ffff,767.1758
307,891f1601117ffff,685.9365
308,891f160111bffff,1304.5529
309,891f1601123ffff,1942.87
310,891f1601127ffff,2273.4478
311,891f160112bffff,2137.9414
312,891f160112fffff,2414.5142
313,891f1601133ffff,1440.8433
314,891f1601137ffff,1831.8733
315,891f160113bffff,1658.3789
316,891f1601143ffff,2379.9897
317,891f1601147ffff,2124.8416
318,891f160114bffff,2859.7012
319,891f160114fffff,2645.54
320,891f1601153ffff,2157.933
321,891f1601157ffff,1884.9323
322,891f160115bffff,2751.1023
323,891f1601163ffff,2407.3655
324,891f1601167ffff,2487.0508
325,891f160116bffff,2861.3464
326,891f160116fffff,2856.0898
327,891f1601173ffff,1980.462
328,891f1601177ffff,2005.6846
329,891f160117bffff,2472.9065
330,891f1601183ffff,445.1753
331,891f1601187ffff,341.70425
332,891f160118bffff,682.5362
333,891f160118fffff,287.4904
334,891f1601197ffff,785.9036
335,891f160119bffff,836.21
336,891f16011a3ffff,1006.4302
337,891f16011a7ffff,1592.5729
338,891f16011abffff,962.88477
339,891f16011afffff,1395.7303
340,891f16011b3ffff,818.2815
341,891f16011b7ffff,1376.8512
342,891f16011bbffff,528.8081
343,891f16011c3ffff,1596.7253
344,891f16011c7ffff,1127.3363
345,891f16011cbffff,2141.8232
346,891f16011cfffff,1662.9493
347,891f16011d3ffff,1778.3848
348,891f16011d7ffff,1218.3419
349,891f16011dbffff,2124.876
350,891f1601203ffff,7624.303
351,891f1601207ffff,7076.333
352,891f160120bffff,7930.6025
353,891f160120fffff,7483.4956
354,891f1601213ffff,7393.7656
355,891f1601217ffff,6917.5923
356,891f160121bffff,7618.4004
357,891f1601223ffff,6685.904
358,891f1601227ffff,6303.027
359,891f160122bffff,7280.4526
360,891f160122fffff,6833.038
361,891f1601233ffff,6618.6265
