,hex9,Value
0,891f1618003ffff,2039.7721
1,891f161800bffff,2065.342
2,891f1618013ffff,1821.108
3,891f1618017ffff,2021.0188
4,891f161801bffff,1820.2166
5,891f1618043ffff,1503.3217
6,891f1618047ffff,1804.6144
7,891f161804bffff,1181.5737
8,891f1618053ffff,1430.1355
9,891f1618057ffff,1766.4559
10,891f161805bffff,1183.187
11,891f1618073ffff,2132.9045
12,891f161808bffff,1549.3668
13,891f16180c3ffff,1283.4242
14,891f16180c7ffff,1539.7404
15,891f16180cbffff,1343.9583
16,891f16180cfffff,1576.93
17,891f16180d3ffff,995.2497
18,891f16180d7ffff,1266.6754
19,891f16180dbffff,1065.8771
20,891f1618283ffff,789.54767
21,891f1618287ffff,1155.3673
22,891f161828bffff,633.00415
23,891f1618293ffff,629.32556
24,891f1618297ffff,950.438
25,891f161829bffff,482.37784
26,891f16182b3ffff,1338.5051
27,891f16182d3ffff,37.907345
28,891f16182d7ffff,434.0794
29,891f16182dbffff,38.05372
30,891f1618443ffff,130.42072
31,891f161844bffff,65.54908
32,891f161844fffff,199.43634
33,891f1618453ffff,429.71786
34,891f161845bffff,300.74194
35,891f161846bffff,722.0905
36,891f161846fffff,1001.50726
37,891f161847bffff,532.02527
38,891f16184cbffff,725.1377
39,891f16184dbffff,1042.8026
40,891f1618603ffff,406.5276
41,891f1618607ffff,625.68933
42,891f161860bffff,250.21767
43,891f161860fffff,436.86777
44,891f1618613ffff,153.62347
45,891f1618617ffff,362.10117
46,891f161861bffff,245.38187
47,891f1618623ffff,805.1307
48,891f1618627ffff,1093.2931
49,891f161862bffff,509.8201
50,891f161862fffff,838.33984
51,891f1618633ffff,841.9057
52,891f1618637ffff,1081.7264
53,891f161863bffff,577.7597
54,891f1618647ffff,63.119022
55,891f1618657ffff,75.18271
56,891f1618663ffff,50.441128
57,891f1618667ffff,294.20947
58,891f161866bffff,100.62041
59,891f161866fffff,209.1243
60,891f1618673ffff,55.464806
61,891f1618677ffff,198.1164
62,891f1618683ffff,211.83328
63,891f1618687ffff,66.6153
64,891f161868bffff,136.18361
65,891f161868fffff,80.90224
66,891f1618693ffff,536.9943
67,891f1618697ffff,315.52502
68,891f161869bffff,421.22275
69,891f16186a3ffff,528.61865
70,891f16186a7ffff,762.0779
71,891f16186abffff,561.84143
72,891f16186afffff,815.52875
73,891f16186b3ffff,223.24684
74,891f16186b7ffff,474.4083
