,hex9,value,color
0,891f1600003ffff,3142.9922,"[141, 41, 128]"
1,891f160000bffff,2914.8833,"[129, 37, 129]"
2,891f160000fffff,3215.637,"[145, 42, 128]"
3,891f1600013ffff,2888.751,"[127, 36, 129]"
4,891f1600017ffff,3231.288,"[146, 43, 128]"
5,891f160001bffff,2674.421,"[116, 32, 129]"
6,891f1600027ffff,5018.337,"[236, 88, 95]"
7,891f160002bffff,3911.5881,"[182, 54, 121]"
8,891f160002fffff,4705.952,"[222, 74, 103]"
9,891f1600037ffff,4963.3496,"[234, 85, 96]"
10,891f160004bffff,1491.9418,"[53, 15, 106]"
11,891f1600053ffff,1656.668,"[62, 15, 114]"
12,891f1600057ffff,2270.0098,"[96, 24, 127]"
13,891f160005bffff,1301.8872,"[43, 17, 94]"
14,891f1600063ffff,3525.1497,"[161, 47, 126]"
15,891f1600067ffff,3731.7532,"[172, 51, 123]"
16,891f160006fffff,3409.5493,"[154, 45, 127]"
17,891f1600077ffff,3687.758,"[171, 51, 124]"
18,891f1600083ffff,2449.246,"[105, 28, 128]"
19,891f1600087ffff,3308.2224,"[149, 44, 128]"
20,891f160008bffff,2578.0195,"[111, 30, 129]"
21,891f160008fffff,3088.7412,"[138, 40, 129]"
22,891f1600093ffff,2348.0825,"[99, 25, 127]"
23,891f1600097ffff,2906.6504,"[129, 37, 129]"
24,891f160009bffff,2226.6646,"[93, 23, 126]"
25,891f16000a3ffff,4323.7505,"[205, 63, 112]"
26,891f16000a7ffff,4660.954,"[221, 73, 104]"
27,891f16000afffff,4742.921,"[225, 76, 102]"
28,891f16000b3ffff,3736.0283,"[172, 51, 123]"
29,891f16000b7ffff,4356.591,"[206, 64, 112]"
30,891f16000bbffff,3519.836,"[161, 47, 126]"
31,891f16000c3ffff,1696.804,"[66, 15, 116]"
32,891f16000c7ffff,2453.0542,"[105, 28, 128]"
33,891f16000cbffff,1586.737,"[59, 15, 111]"
34,891f16000cfffff,2091.6948,"[87, 20, 125]"
35,891f16000d3ffff,1562.2458,"[57, 15, 110]"
36,891f16000d7ffff,2061.5151,"[85, 19, 125]"
37,891f16000dbffff,1328.7688,"[45, 16, 96]"
38,891f1600183ffff,6520.8286,"[254, 177, 121]"
