hex9,value
89196bb25b7ffff,7703
8919697aacfffff,9655
89196941933ffff,8585
89196ba0b57ffff,5273
8919697828bffff,6497
89196959457ffff,6667
89196b84dcfffff,1923
89196ba7583ffff,4415
89196bbb3cfffff,6908
8919694d2c3ffff,9330
891969790c3ffff,3180
89196bb9393ffff,8179
89196949453ffff,4428
891969799b3ffff,5598
89196ba74c3ffff,9694
89196bb5a63ffff,7131
89196ba069bffff,8666
89196b8453bffff,3097
89196bb8eb3ffff,3752
89196bbad2bffff,9636
89196bb6903ffff,9551
89196ba1a3bffff,7181
89196ba2083ffff,2170
8919694ac5bffff,7366
89196b3b49bffff,2743
89196b15593ffff,3672
89196baae6bffff,8807
89196bb76afffff,2593
89196959697ffff,9593
891969594afffff,3111
89196ba4aa7ffff,4046
89196ba4d97ffff,115
8919682ca17ffff,5588
89196bab38bffff,4664
891fa49263bffff,8224
89196ba1573ffff,5607
89196ba8c93ffff,8427
89196bb0203ffff,5880
89196b374bbffff,1897
89196948e87ffff,9554
89196b84e33ffff,6465
89196b96097ffff,1182
89196b16e63ffff,8032
8919694921bffff,2736
89196ba202bffff,5523
8919694866fffff,8949
89196b17143ffff,3341
89196b06937ffff,8239
8919694907bffff,8612
89196bae12fffff,5774
89196bb5897ffff,8777
89196ba4a87ffff,4438
8919694e417ffff,3565
89196b06193ffff,9616
89196ba02a3ffff,564
8919694990fffff,3473
89196ba1577ffff,4830
89196942a73ffff,6730
89196b36663ffff,7157
89196ba1137ffff,2195
8919697864bffff,8189
89196b8411bffff,1570
89196baad93ffff,3203
89196ba1693ffff,4964
8919697936fffff,5840
89196969973ffff,7144
8919697b357ffff,5835
89196958d8fffff,9977
89196b84033ffff,8645
89196b8cdbbffff,3305
8919694a80fffff,9916
8919694db6fffff,2451
89196bb5a83ffff,7372
89196940e63ffff,439
8919694c853ffff,4276
89196ba2e07ffff,7282
89196ba99afffff,2695
89196bb1277ffff,2934
89196978cdbffff,1188
89196bb5b97ffff,9000
89196bb454fffff,5456
8919694dc27ffff,3071
89196b163cfffff,9877
89196b94a2fffff,4619
89196b32257ffff,6201
89196b33477ffff,380
8919697abdbffff,5125
89196b06d4bffff,607
891969413c7ffff,8618
8919694e90fffff,6000
89196ba584bffff,6611
89196bb4a97ffff,2414
89196bad493ffff,2632
89196bbb60fffff,8436
89196b8c9d7ffff,5489
891fa49264fffff,5917
8919694cd27ffff,5718
891969604c3ffff,926
89196bac67bffff,6804
891fa496553ffff,689
89196b94333ffff,1595
89196ba218fffff,2508
89196b84bd3ffff,3945
89196b85b23ffff,3454
89196969283ffff,7722
89196b304afffff,2788
89196b84523ffff,1077
8919697b003ffff,7632
89196bb1ba3ffff,2755
89196ba8463ffff,2728
89196bba533ffff,4936
891969589d7ffff,2679
89196b06d1bffff,4696
89196bb5acbffff,8592
8919696a153ffff,5675
89196ba73a7ffff,5566
89196bb0b27ffff,1908
89196940843ffff,5024
89196ba1223ffff,3083
89196ba34cbffff,587
89196b163d3ffff,7583
89196ba8647ffff,2870
89196baf567ffff,6276
8919694f60fffff,772
89196b3246bffff,7729
89196b16b1bffff,39
89196978953ffff,1454
89196ba692fffff,8350
89196bb136fffff,5014
89196949917ffff,79
89196b06547ffff,2556
89196959b3bffff,9771
89196b1447bffff,5223
89196b8662fffff,9271
89196ba43c3ffff,2153
89196bb449bffff,7906
89196ba8223ffff,5123
89196ba6273ffff,1278
89196978903ffff,429
89196bb1623ffff,686
89196bab323ffff,9884
8919694a397ffff,3930
89196948e5bffff,6468
89196bb54d7ffff,8666
8919694eca7ffff,4862
8919694eb3bffff,7800
89196b06ed7ffff,2539
89196979dc7ffff,1334
89196ba3377ffff,6685
89196bab153ffff,7115
8919694e00bffff,5546
8919694f20fffff,439
89196ba4e3bffff,6082
89196b84e43ffff,507
89196ba9977ffff,6752
89196b84da3ffff,1781
89196b32557ffff,8737
891969602abffff,6892
89196b16333ffff,5348
8919696910fffff,3046
89196b14c23ffff,3172
89196b330d7ffff,5311
89196baf003ffff,1913
