,hex9,value,color
0,891f1600093ffff,4021.4463,"[252, 146, 101]"
1,891f1600097ffff,4087.7664,"[252, 144, 100]"
2,891f16000a3ffff,5499.743,"[244, 104, 91]"
3,891f16000a7ffff,5785.684,"[241, 97, 92]"
4,891f16000afffff,6246.4707,"[235, 86, 96]"
5,891f16000b7ffff,5336.2656,"[246, 110, 91]"
6,891f1600183ffff,6944.387,"[222, 74, 103]"
7,891f160018bffff,7006.6367,"[221, 73, 104]"
8,891f1600193ffff,6340.7495,"[234, 85, 96]"
9,891f1600197ffff,6758.5127,"[226, 77, 101]"
10,891f160019bffff,6105.4585,"[237, 89, 95]"
11,891f16001c3ffff,6572.3804,"[229, 80, 99]"
12,891f16001cbffff,6764.915,"[225, 76, 102]"
13,891f16001d3ffff,6062.257,"[238, 91, 94]"
14,891f16001dbffff,6288.3525,"[235, 86, 96]"
15,891f1600237ffff,5362.7153,"[245, 108, 91]"
16,891f160024bffff,2232.6826,"[254, 196, 136]"
17,891f160026bffff,3606.09,"[253, 157, 107]"
18,891f160026fffff,4100.2065,"[252, 144, 100]"
19,891f16002afffff,5237.1924,"[246, 112, 91]"
20,891f16003c3ffff,6118.399,"[237, 89, 95]"
21,891f16003cbffff,5793.8877,"[241, 97, 92]"
22,891f16003d3ffff,6197.464,"[236, 88, 95]"
23,891f16003d7ffff,6356.9316,"[234, 85, 96]"
24,891f16003dbffff,5594.42,"[243, 103, 91]"
25,891f1600403ffff,2566.6384,"[254, 187, 128]"
26,891f1600407ffff,2658.8843,"[254, 185, 127]"
27,891f160040fffff,2885.6782,"[254, 177, 121]"
28,891f1600413ffff,2192.0825,"[254, 196, 136]"
29,891f1600417ffff,2183.5698,"[254, 198, 137]"
30,891f160041bffff,1913.3822,"[253, 205, 144]"
31,891f1600423ffff,3300.0374,"[254, 166, 113]"
32,891f1600427ffff,3512.008,"[253, 161, 110]"
33,891f160042bffff,3582.0667,"[253, 159, 108]"
34,891f160042fffff,3798.1843,"[253, 153, 105]"
35,891f1600433ffff,2773.862,"[254, 181, 124]"
36,891f1600437ffff,3011.2268,"[254, 174, 118]"
37,891f160043bffff,3167.3384,"[254, 170, 116]"
38,891f1600443ffff,1640.7177,"[253, 212, 151]"
39,891f1600447ffff,2156.518,"[254, 198, 137]"
40,891f160044bffff,1684.8724,"[253, 210, 149]"
41,891f160044fffff,2083.8237,"[254, 199, 139]"
42,891f1600453ffff,1273.4398,"[253, 221, 159]"
43,891f1600457ffff,1819.1707,"[253, 207, 146]"
44,891f160045bffff,1208.6086,"[253, 223, 161]"
45,891f1600463ffff,3188.5342,"[254, 170, 116]"
46,891f1600467ffff,3558.0493,"[253, 159, 108]"
47,891f160046bffff,2746.5571,"[254, 181, 124]"
48,891f1600473ffff,2617.7842,"[254, 185, 127]"
49,891f1600477ffff,3213.926,"[254, 168, 115]"
50,891f160047bffff,2503.9365,"[254, 188, 130]"
51,891f1600483ffff,1360.1924,"[253, 220, 157]"
52,891f1600487ffff,1332.6818,"[253, 220, 157]"
53,891f160048bffff,1851.1923,"[253, 207, 146]"
54,891f160048fffff,1740.6476,"[253, 209, 147]"
55,891f1600493ffff,1047.4321,"[252, 227, 165]"
56,891f1600497ffff,875.6834,"[252, 232, 170]"
57,891f160049bffff,1570.0281,"[253, 214, 152]"
58,891f16004a3ffff,2046.3726,"[254, 201, 141]"
59,891f16004a7ffff,2355.607,"[254, 192, 133]"
60,891f16004abffff,2277.253,"[254, 194, 134]"
61,891f16004afffff,2517.379,"[254, 188, 130]"
62,891f16004b3ffff,1523.6769,"[253, 214, 152]"
63,891f16004b7ffff,1832.4203,"[253, 207, 146]"
64,891f16004bbffff,1822.3872,"[253, 207, 146]"
65,891f16004c3ffff,1377.7046,"[253, 220, 157]"
66,891f16004c7ffff,1820.0289,"[253, 207, 146]"
67,891f16004cbffff,991.0632,"[252, 229, 166]"
68,891f16004cfffff,1518.7487,"[253, 214, 152]"
69,891f16004d3ffff,1471.8213,"[253, 216, 154]"
70,891f16004d7ffff,1901.8146,"[253, 205, 144]"
71,891f16004dbffff,934.8272,"[252, 230, 168]"
72,891f1600503ffff,4524.532,"[251, 132, 96]"
73,891f1600507ffff,5014.011,"[248, 117, 92]"
74,891f160050bffff,4570.4756,"[250, 130, 95]"
75,891f160050fffff,4978.3447,"[248, 119, 92]"
76,891f1600513ffff,4101.9956,"[252, 144, 100]"
