hex9,value
89196ba4e0bffff,4648
89196baa143ffff,4368
89196bb9c5bffff,8446
89196b3220bffff,6108
89196bacc53ffff,5850
89196b33157ffff,49609
89196ba0213ffff,5386
89196b86e7bffff,9080
8919694d997ffff,1806
89196b844cbffff,1944
89196ba4b97ffff,8072
89196bb054fffff,7434
89196ba8a2bffff,1662
89196942e4bffff,558
89196b3000bffff,9183
8919697904bffff,3099
89196b8e983ffff,2618
89196bb4507ffff,1478
8919694c473ffff,8369
8919694a6dbffff,9455
8919696123bffff,5216
89196bb4b93ffff,4018
89196bace37ffff,4046
89196ba68cbffff,2130
89196ba4bb3ffff,5068
89196bb0c3bffff,6991
89196ba95a3ffff,1388
89196ba2a27ffff,5692
8919697b247ffff,9314
89196ba887bffff,1646
89196948b87ffff,5510
89196bb8c53ffff,4635
89196b33603ffff,5950
89196ba7123ffff,1410
89196b16d0bffff,9806
89196bb13b7ffff,6238
89196baf317ffff,9671
8919696a1c7ffff,8629
89196ba5287ffff,7513
89196b1694fffff,2825
89196ba046fffff,7220
89196b16b03ffff,2504
89196ba429bffff,5252
89196b06c6bffff,9484
8919694cdb3ffff,8749
8919694d2abffff,5861
89196bb0e4bffff,5644
89196ba0a23ffff,1024
89196b85e6bffff,5756
8919696a323ffff,6046
891fa492d0bffff,7841
89196978513ffff,5789
89196ba9203ffff,681
8919695929bffff,4165
891969592c7ffff,3891
89196941e0fffff,1029
89196bade73ffff,3020
89196bb9c1bffff,2185
8919694dc0bffff,4161
89196b85dabffff,9914
891969488b3ffff,1251
89196bb363bffff,3658
8919694d4a3ffff,3855
89196bb5d77ffff,2551
89196baf2abffff,6098
89196b301bbffff,520
89196b36547ffff,6215
8919696b013ffff,4198
89196bb300fffff,7268
891969790a7ffff,2456
89196940457ffff,6211
89196bba6afffff,9815
8919694e027ffff,6171
89196ba440fffff,2290
89196ba1a43ffff,8238
891969635c3ffff,8566
89196bb32bbffff,6158
89196ba44a7ffff,6373
8919682cbc3ffff,8706
8919694b0cfffff,7655
89196b8596fffff,5361
89196b16c9bffff,7599
8919694d25bffff,5179
89196baf10bffff,184
8919694e12fffff,8320
89196968203ffff,7128
8919696a36fffff,8806
8919694d5dbffff,7867
89196baf63bffff,9284
89196b06137ffff,2755
89196ba7613ffff,8775
89196bac40bffff,4015
89196bb60dbffff,399
89196ba6e6bffff,6468
89196ba4c1bffff,7355
89196ba7423ffff,5542
89196bb9b57ffff,9186
8919696869bffff,8668
89196ba0bcfffff,1120
89196bab2afffff,360
89196ba6c07ffff,3168
89196969c03ffff,5224
89196b32e53ffff,6892
89196ba32abffff,5985
891fa496097ffff,2850
89196b0658bffff,9599
89196bba4c7ffff,7847
89196ba1bbbffff,1926
89196bbb193ffff,130
89196bb9b53ffff,1747
89196bb59dbffff,4521
89196bb0e57ffff,6259
89196b324bbffff,760
8919694e417ffff,9726
89196bb5b7bffff,8005
89196979533ffff,4425
8919696accbffff,9362
89196b14a73ffff,7909
89196bb25cfffff,7819
89196945273ffff,9673
89196badd2fffff,4480
89196959977ffff,8065
89196ba0d83ffff,5457
89196ba8927ffff,1005
8919694b123ffff,1636
89196ba2987ffff,2427
89196bb8393ffff,1954
89196ba9913ffff,9288
8919694aa23ffff,5949
89196bac93bffff,5178
89196b943a7ffff,8776
8919695b3cbffff,4574
