,hex9,value
0   ,8919694ab37ffff,7663
1   ,89196bb6ec3ffff,1873
2   ,89196bb93a3ffff,873
3   ,89196ba914bffff,7037
4   ,89196b84e9bffff,8994
5   ,8919694eb73ffff,6912
6   ,89196bb22d7ffff,2990
7   ,8919696912fffff,1746
8   ,89196bb596fffff,3813
9   ,8919696049bffff,6459
10  ,89196baea0bffff,5264
11  ,89196bae953ffff,1156
12  ,89196bac967ffff,3321
13  ,8919694b017ffff,7787
14  ,89196baedb7ffff,7441
15  ,891969418bbffff,2797
16  ,89196b85d93ffff,173
17  ,89196bb9b57ffff,9143
18  ,8919697916bffff,785
19  ,89196ba94a3ffff,1867
20  ,89196b059afffff,2447
21  ,89196ba735bffff,1180
22  ,89196b1458bffff,547
23  ,891969594b7ffff,5676
24  ,89196bb637bffff,5478
25  ,89196b14c6bffff,6901
26  ,8919697ab2fffff,5940
27  ,89196bb4e2bffff,4734
28  ,8919694e20bffff,843
29  ,89196bb10bbffff,5618
30  ,89196bb960fffff,148
31  ,89196b84b83ffff,7550
32  ,891fa493403ffff,4643
33  ,89196ba5e9bffff,9879
34  ,8919694a413ffff,6948
35  ,89196b06db7ffff,4843
36  ,8919696a51bffff,4891
37  ,89196b8ed23ffff,3690
38  ,8919696128bffff,1748
39  ,89196ba2887ffff,106
40  ,89196bb7387ffff,6488
41  ,89196b3055bffff,3293
42  ,89196b86ca7ffff,9238
43  ,8919694b377ffff,822
44  ,89196948e6bffff,8228
45  ,8919697a8cfffff,9632
46  ,89196b1680fffff,4778
47  ,89196ba0803ffff,7460
48  ,89196bb48afffff,665
49  ,89196bb0c47ffff,6781
50  ,89196bb48d7ffff,4707
51  ,89196bb1057ffff,5597
52  ,89196b96ca3ffff,4219
53  ,8919696a10bffff,9111
54  ,89196ba2d07ffff,3022
55  ,89196ba768fffff,6969
56  ,89196b160a7ffff,2484
57  ,8919694a38bffff,5974
58  ,8919696348fffff,1992
59  ,89196ba88afffff,6597
60  ,8919697ac6fffff,8543
61  ,8919694e1a7ffff,5709
62  ,89196ba5e1bffff,5924
63  ,8919696340fffff,9564
64  ,89196948aabffff,7753
65  ,891fa49353bffff,5100
66  ,89196ba1c63ffff,9480
67  ,89196ba2e53ffff,5701
68  ,89196badb63ffff,1392
69  ,89196b965d3ffff,9189
70  ,89196ba8867ffff,5270
71  ,89196b0412fffff,2651
72  ,89196bb137bffff,1724
73  ,89196b85a2bffff,871
74  ,89196bae8cbffff,7398
75  ,89196ba6483ffff,8126
76  ,89196b04a03ffff,5790
77  ,89196ba934bffff,3389
78  ,89196961087ffff,705
79  ,8919694e67bffff,9555
80  ,89196bb2a4bffff,2743
81  ,89196baccd3ffff,2428
82  ,89196b30457ffff,6561
83  ,8919696ac47ffff,8173
84  ,89196b862d3ffff,7214
85  ,89196b16b8fffff,6483
86  ,89196b3366fffff,3468
87  ,89196ba0e6fffff,8785
88  ,89196ba8097ffff,6810
89  ,8919694a0c7ffff,2537
90  ,89196ba1a77ffff,7702
91  ,89196b14d5bffff,6680
92  ,891fa4960dbffff,5742
93  ,8919694f47bffff,9724
94  ,89196badd4bffff,8510
95  ,89196b94e43ffff,1683
