hex9,latitude,longitude,value
89bceadb3b7ffff,439768.28493383137,121886.89099253589,289
89ba02b2813ffff,476133.4307140434,108360.02115559769,742
89a692dac4fffff,425144.1168304182,127917.41835577773,676
89b23253233ffff,481654.9962924438,51765.66729519745,562
89d8b3ab577ffff,468583.3356083124,85643.08794038295,483
89d09a1b0afffff,434395.56954092544,85504.12797986947,347
89e7428c6a3ffff,452050.80657372554,97035.69645908,131
8922ab8c3d3ffff,432770.4022777452,115396.30680863452,399
8976e6190c3ffff,446582.65665933234,50020.85169168969,397
89dc8a0b637ffff,412067.9502680159,82251.49790538414,66
8949b1113b3ffff,469242.1681776287,62719.94932777602,107
89f2b0549d7ffff,462153.45804108743,52366.472447227134,713
89b1ad48e7bffff,460651.8349006454,80344.23424677097,991
8976e68b69bffff,458822.33761657786,56140.7852684431,400
896d4ed5083ffff,466929.2591680875,57152.251604214514,871
892c415150fffff,411885.3145928752,106252.3782669557,82
89c18d643cbffff,436893.5109721623,106004.02632327157,663
8921157499bffff,418451.91923837445,106440.0426780989,134
89e0997b30bffff,409909.2669378865,114365.07316992886,174
89f0d256113ffff,443049.62201936473,108246.7796670435,492
89c34596073ffff,469403.45527074486,85613.9405095877,431
89ce0adb4d3ffff,410262.7213603329,64900.67454334956,468
898d5d0138bffff,446385.5836902354,121781.48369319986,874
89f29040cc7ffff,421829.15956021874,114776.22847900161,698
892a425351bffff,448594.2553566586,109732.4552403681,209
89b395152dbffff,419242.49313826906,53380.0711950794,8
89cac349cafffff,421787.59658493963,107521.74743800957,181
896a188a1d7ffff,480054.93773532414,81566.4172045791,43
890cdd712b3ffff,452935.16690784786,61039.11248545852,23
897d33c1277ffff,453590.22052282037,48580.7714335287,629
89d99e36297ffff,417106.860924329,78806.72117200945,972
8988d2b88cbffff,471961.6017718534,50967.912557411386,108
89b75c02ba7ffff,461130.72450441547,80539.01048577271,685
896751d0b67ffff,434328.7665460973,49429.86255561684,521
8940ccd1dabffff,415111.8550089951,117461.31735737174,798
893131ce2b3ffff,408645.9202548985,68158.24892704003,285
89d33490c83ffff,480478.1131334311,104107.34816700952,145
89e8d93250fffff,470037.75018844724,123948.08792427997,64
8906c9372c7ffff,425581.17126544216,119471.25737896116,864
89ec4c7aad3ffff,426881.0763538084,91575.53304147863,442
89c3a471d9bffff,430786.0369388239,127563.40203992253,193
8900eda930bffff,437493.24983390584,89118.23471119537,539
89e8332ea4bffff,441293.9025007406,88829.79102356217,152
8909594cc13ffff,421311.3814587168,121876.39850247167,128
891b1d5a1bbffff,418084.45667867374,72493.61674289498,794
89e024d43cfffff,417176.8740880896,69543.0401793381,59
89878d4290fffff,482226.172842689,119068.87396201248,55
890191cd22fffff,472068.41011701594,111120.1069839656,54
8952544724fffff,470537.1852938217,97607.84846652157,723
89030021a8bffff,481053.4761460625,98353.73420436576,392
896e8e416a7ffff,411130.158239758,88450.4343279704,654
891b0981ac7ffff,420604.3197104493,130099.62999792118,250
890325218d3ffff,472408.09289450763,47142.86098582273,714
8900c2a45c7ffff,440004.9699155257,129684.22459173852,424
