hex_address,latitude,longitude,value
89f17137607ffff,412113.3887650276,55483.113409907484,146
897521882cfffff,453051.1714846387,102418.97811998377,198
89de1ece90fffff,442025.66513408074,87071.9232911366,400
89f212c2bcbffff,422556.94956255815,58527.86203501903,16
89032489367ffff,433171.33733453095,103904.28279151053,504
8999b30916fffff,457188.9970054966,127423.0151249129,794
89ecaba35cbffff,420367.0089225546,94276.47747757396,837
89005624443ffff,431364.2508793979,109464.64356878167,181
894e068d26fffff,478100.1941982488,69993.2895535689,402
89f14826183ffff,436221.99100971303,94157.55088594978,169
8917065988bffff,411180.65286520775,66031.70631403726,355
89f162054c7ffff,425792.6834471004,84990.19809916822,322
895db362443ffff,441376.04576893174,129798.59505842671,789
895d762c4b3ffff,423519.49677030137,65192.225026624656,772
8964aa8e1cfffff,478096.06712186727,127536.97984293193,480
89c5868c03bffff,406765.86272589857,109396.03539560802,124
8900daa4c2bffff,412284.20128101466,96595.77813838643,318
89eac0849c3ffff,416090.5218818458,128343.10538917326,80
89e91514ccfffff,426171.4564269629,80172.42736751592,252
8910214e6b7ffff,439678.06722383207,95982.0469152226,574
89986a0066fffff,420315.8622472987,128342.09100147468,999
8923940e9d7ffff,451482.961544862,102805.15595099705,140
8986ab5732bffff,444238.46646828356,77484.06543105641,932
8903220f267ffff,455488.97511531657,89876.85604850654,144
8901ac359c3ffff,457633.3720278915,97601.66071025457,982
892f09cd4afffff,462994.02025397157,127225.55352949272,592
891096db5b3ffff,438528.67102946277,94726.46785976949,522
89649e0e85bffff,453620.92701990367,123578.04848207452,687
89f2aed881bffff,407424.84973604686,60153.967755636346,510
89978509ec3ffff,428954.318413669,128736.95459247037,615
891482d13a7ffff,415127.3803876418,83647.78707522864,324
8984d4cd377ffff,438107.695451357,127865.8880189324,762
891a0645ebbffff,465249.7150716416,68533.43140055613,465
898241c8523ffff,454675.868305531,46442.17264510939,173
894d6b79b57ffff,427339.22919784946,129898.88921656493,739
89394db105bffff,476418.08011106704,48427.25389913707,721
8923285a0bbffff,428182.88969669037,130332.40845536123,580
894a0284a07ffff,424956.5752128119,121629.87576594215,884
895b4cad0afffff,425331.87118563656,50025.9524657817,783
89a22dd130fffff,410956.89758602343,78351.76303585211,973
8922e531867ffff,472810.1965800065,92887.87724456322,972
89ea8642943ffff,471481.7873182139,100797.8212914756,37
89f19161373ffff,461413.92181006353,116924.97392735406,8
89383650d87ffff,460473.64836527454,60114.54488886679,693
891c2bcb58fffff,422328.7439896123,99938.18014047903,436
897db686547ffff,422107.27155570756,121847.03724898353,135
89076d476a7ffff,415501.57610472623,48224.87661773218,609
8903992b01bffff,418422.92476817063,104441.92578943179,494
8969ab92c0bffff,408411.8397189675,101812.02968529073,236
89f203c869bffff,473320.04569923796,80501.01501728478,599
8932537421bffff,464438.0121542274,56680.985703432714,214
89f21a288cfffff,409581.99590328505,82135.73174684566,140
89daa532b2fffff,468228.6878045872,53991.64578106937,547
89eacd8d00bffff,479771.86837819644,120966.2446446365,157
89a30930037ffff,408434.3900181406,107869.76703019993,705
890a5dd1c7bffff,469548.6512955609,110082.22491755978,454
89806c7954fffff,478798.3868580208,46388.24290854662,605
89cb09c7227ffff,453205.6684965142,61254.34270496083,237
8926c21a3a3ffff,458424.3668376274,127879.83368078337,618
89791905a03ffff,480055.8090121581,111644.92740892745,423
89e41e102c3ffff,466142.41209470906,96940.82026142275,390
897acc8dcdbffff,415253.488904818,72939.45401633455,565
89b45a0305bffff,429321.466251481,90376.277304332,910
89e52041377ffff,456415.9398668866,90845.19299710947,381
89110e0eec7ffff,480358.3383958433,90214.55617372191,728
899e8419d9bffff,424069.53177327994,84048.71931546944,453
89604c040afffff,479167.6316007351,129666.47321254009,355
8916cc6b54fffff,424211.90919558844,91073.23932321125,604
89a14b6e5cbffff,407721.5354579137,82835.13929465579,598
89d26b4f18bffff,463282.1335971025,50641.967847913176,184
89596dd63cfffff,454835.60194810334,106032.241215989,722
891eb54ee5bffff,419176.6896843036,108549.53117578314,10
892d7652237ffff,420975.50499563327,110376.35520955067,638
8922a24dc6bffff,477851.3958609314,63741.414758178886,296
89a925a2ab3ffff,476246.45367732213,107227.26006175193,601
89ec926184fffff,446700.4117762347,58813.25529935371,704
