,hex9,value
0 ,8919694155bffff,1584
1    ,891fa492423ffff,7876
2    ,89196960437ffff,770
3    ,89196b84d93ffff,5297
4    ,89196ba1983ffff,9016
5    ,89196b05d4bffff,5421
6    ,89196ba0a23ffff,7359
7    ,8919696334bffff,5457
8    ,89196bb510bffff,9311
9    ,89196bada23ffff,3774
10   ,8919694f4b3ffff,5667
11   ,89196ba041bffff,6009
12   ,8919694a483ffff,551
13   ,89196ba8507ffff,1917
14   ,89196bb52c7ffff,3789
15   ,89196bb0943ffff,4806
16   ,89196979023ffff,1440
17   ,8919682dd27ffff,9978
18   ,89196ba6a8bffff,7841
19   ,89196949057ffff,6936
20   ,89196949987ffff,3670
21   ,89196ba242fffff,1959
22   ,8919696b5b7ffff,5720
23   ,8919694e4cfffff,162
24   ,8919682ca8fffff,6265
25   ,89196bace67ffff,4264
26   ,89196ba14abffff,7428
27   ,8919694ab03ffff,2736
28   ,89196979d67ffff,7747
29   ,89196bb6543ffff,2355
30   ,89196bab147ffff,6565
31   ,89196940c73ffff,6551
32   ,89196b326c7ffff,5524
33   ,89196968a8bffff,2237
34   ,89196baa5afffff,6712
35   ,8919694a1bbffff,1847
36   ,8919694f5cbffff,7535
37   ,89196bb5c37ffff,8103
38   ,89196bb7237ffff,9144
39   ,89196ba898bffff,4529
40   ,89196bb8203ffff,6622
41   ,891969692a7ffff,6312
42   ,89196ba9907ffff,3072
43   ,89196baeadbffff,321
44   ,8919694e653ffff,2899
45   ,89196949ba3ffff,5850
46   ,8919694801bffff,5727
47   ,89196ba84a7ffff,9579
48   ,8919694f283ffff,7824
49   ,89196ba8537ffff,8179
50   ,891fa496547ffff,3207
51   ,89196ba334bffff,3025
52   ,8919696334bffff,8049
53   ,891969613d7ffff,2227
54   ,89196ba34d3ffff,8402
55   ,89196bbb187ffff,9119
56   ,89196bb6a43ffff,1881
57   ,89196ba26d7ffff,5226
58   ,89196978987ffff,8061
59   ,8919697ad4fffff,6530
60   ,89196b33113ffff,8475
61   ,8919694cb6bffff,2631
62   ,8919682cb8fffff,9924
63   ,89196bb5bc3ffff,9321
64   ,89196b9635bffff,6289
65   ,89196bae56fffff,1775
66   ,89196b328b3ffff,6375
67   ,89196940bb3ffff,5181
68   ,8919694124fffff,1446
69   ,891969605d3ffff,3547
70   ,89196bb507bffff,3762
71   ,8919694e1abffff,728
72   ,89196941c6fffff,4188
73   ,8919694e813ffff,1377
74   ,89196ba8973ffff,431
75   ,8919694cac7ffff,2998
76   ,89196b16b0fffff,4258
77   ,89196b17307ffff,3436
78   ,891969401a3ffff,6560
79   ,89196b32c47ffff,2239
80   ,8919694ca93ffff,272
81   ,89196bb6867ffff,5066
82   ,89196b845a7ffff,4578
83   ,89196bb44cfffff,7684
84   ,89196bb562fffff,2334
85   ,89196b858dbffff,3193
86   ,89196948ecbffff,4832
87   ,89196b17103ffff,4774
88   ,89196bab507ffff,501
89   ,89196959e17ffff,1862
90   ,89196968463ffff,1051
91   ,89196bb2bd3ffff,4167
92   ,89196bb1d27ffff,7136
93   ,89196b364c3ffff,2781
94   ,89196bbab8fffff,3718
95   ,89196968657ffff,5766
96   ,89196b04a67ffff,2231
97   ,89196ba6027ffff,2129
98   ,8919694d493ffff,3073
99   ,89196bba343ffff,9551
100  ,8919694038fffff,7297
101  ,8919694c14fffff,2106
102  ,89196963057ffff,878
103  ,89196baa26bffff,2892
104  ,89196b84d0fffff,7590
105  ,89196baeb43ffff,5482
106  ,89196ba36c7ffff,6563
107  ,891969485cfffff,9015
108  ,89196bb2a3bffff,1480
109  ,89196ba4ad7ffff,8457
110  ,89196b960b7ffff,6436
111  ,89196bb532fffff,4728
112  ,89196948d17ffff,6677
113  ,89196969d7bffff,662
114  ,89196978ba3ffff,4263
115  ,89196b84db7ffff,512
116  ,89196bb6827ffff,1443
117  ,89196b85a17ffff,4027
118  ,8919694f293ffff,3916
119  ,89196bb0567ffff,8737
120  ,89196bb021bffff,5622
121  ,89196941b5bffff,4221
122  ,89196ba636fffff,6876
123  ,89196bb5343ffff,1850
124  ,89196949b63ffff,1247
125  ,89196b0649bffff,8474
126  ,89196bb63a7ffff,216
127  ,89196ba1483ffff,45
128  ,89196963537ffff,3830
129  ,89196bb048bffff,4644
130  ,89196bb81a7ffff,1874
131  ,89196ba6a63ffff,2708
132  ,89196ba5e0bffff,8435
133  ,89196ba16d7ffff,6450
134  ,89196940b8fffff,812
135  ,89196978ccfffff,8690
136  ,8919695b3d7ffff,5197
137  ,89196b96407ffff,8249
138  ,89196942b63ffff,9973
139  ,89196948453ffff,8173
140  ,89196ba2d9bffff,4263
141  ,89196bb13afffff,4540
142  ,89196bb305bffff,8517
143  ,89196ba094fffff,9571
144  ,8919696310fffff,6691
145  ,89196ba2033ffff,4386
146  ,89196bb732fffff,4128
147  ,89196945b4fffff,5022
148  ,89196b1633bffff,2820
149  ,8919694a4d3ffff,9784
150  ,8919694d5c3ffff,8394
151  ,89196b162a3ffff,4522
152  ,89196b96bc3ffff,4439
153  ,89196bbb26fffff,378
154  ,89196b16c33ffff,5213
155  ,89196bb625bffff,9047
156  ,89196badda3ffff,6570
157  ,89196b86a83ffff,6072
158  ,89196bb5a73ffff,726
159  ,891969493abffff,8688
160  ,89196bb236bffff,2020
161  ,89196b16837ffff,1804
162  ,89196b16a2bffff,786
163  ,89196959a8bffff,6411
164  ,89196ba1203ffff,1100
165  ,8919697996bffff,7853
166  ,89196ba9cb3ffff,1901
167  ,8919696101bffff,8671
168  ,89196ba4313ffff,718
169  ,89196bad827ffff,9179
170  ,89196bade2fffff,6545
171  ,89196ba853bffff,2919
172  ,89196ba35dbffff,3395
173  ,89196b8406bffff,6994
174  ,89196943213ffff,1320
175  ,89196bb9c23ffff,3215
176  ,89196bac8a7ffff,4838
177  ,89196ba91d7ffff,9861
178  ,89196badd4fffff,5335
179  ,89196ba15cbffff,7797
180  ,89196ba4073ffff,3671
181  ,89196ba5d1bffff,6486
182  ,8919696b647ffff,6577
183  ,89196bae107ffff,6285
184  ,89196ba5e93ffff,2979
185  ,89196b143b7ffff,1337
186  ,89196b14a07ffff,9757
187  ,891969480dbffff,7634
188  ,89196baa203ffff,2601
189  ,8919694cd8bffff,9447
190  ,89196968677ffff,3336
191  ,89196ba6abbffff,9972
192  ,89196b84aa7ffff,3996
193  ,89196b94e4fffff,4810
194  ,89196baf45bffff,9860
195  ,8919695b2a3ffff,608
196  ,89196ba232bffff,505
197  ,89196ba2247ffff,5211
198  ,89196960103ffff,6818
199  ,89196b845bbffff,9977
200  ,89196ba684bffff,6539
201  ,89196979087ffff,3470
202  ,89196ba0c03ffff,6349
203  ,89196b32a9bffff,1190
204  ,8919694e57bffff,1056
205  ,89196bab0abffff,4011
206  ,891fa492423ffff,4952
207  ,89196bb91d7ffff,1637
