hex9,value
891969494b3ffff,6201
89196bb429bffff,1272
89196bb25c3ffff,3608
8919697ab0fffff,8865
89196b0587bffff,3469
89196ba9c8bffff,9483
89196ba2387ffff,9739
89196b300c3ffff,4196
89196bb8ea3ffff,1517
89196bb0e8bffff,7728
89196b1696bffff,4402
89196bbb343ffff,7945
89196bb0dabffff,7862
89196ba354fffff,5917
89196bb0b1bffff,1047
8919694f13bffff,2440
89196bac097ffff,669
89196b0404fffff,9516
89196969857ffff,3920
89196b14493ffff,3167
89196bb49afffff,1708
89196bb1d97ffff,8921
89196ba3073ffff,3502
89196969aa7ffff,3822
89196bb31d3ffff,9631
8919694cba3ffff,3916
891fa492283ffff,7383
89196ba4a4fffff,3308
89196bb823bffff,9896
89196949693ffff,4871
89196941207ffff,6127
89196bb766bffff,5274
89196bb6913ffff,7156
89196bae5cbffff,9531
89196ba454fffff,7661
89196badc8bffff,946
89196b8623bffff,4164
89196bb1923ffff,9763
89196b86e07ffff,7918
89196ba120fffff,5303
89196b1716fffff,4405
89196ba7167ffff,5187
8919696b15bffff,974
8919694f22fffff,3080
89196ba1e13ffff,1717
89196948ca7ffff,1763
89196b0639bffff,4860
89196bb9d4bffff,6797
89196bab23bffff,6638
89196bbb30fffff,2925
891969498dbffff,3531
89196ba6db7ffff,3131
89196b16963ffff,2782
89196baeb57ffff,4598
89196ba4367ffff,6214
8919694a087ffff,9848
89196b304cbffff,8890
89196b1425bffff,2061
89196b3008bffff,9041
89196ba2e2bffff,424
89196ba5853ffff,4823
89196bb800fffff,5068
891969590d7ffff,2512
89196bb7153ffff,2606
89196bb992bffff,7880
89196bb404fffff,4356
89196bb904fffff,2090
89196baf437ffff,3437
89196bb6a6fffff,3768
8919682cb97ffff,1046
89196bb125bffff,3647
89196949c63ffff,3559
8919694c18fffff,2727
89196bbb24fffff,996
8919694b4a3ffff,9848
89196969d0fffff,3053
89196bac643ffff,8060
89196ba4117ffff,5899
8919694aebbffff,2322
89196b04d03ffff,3568
89196b063bbffff,4993
89196bb8a03ffff,7323
89196ba55dbffff,537
89196949bd3ffff,6154
89196ba0053ffff,3587
89196b3268bffff,872
89196963023ffff,8121
89196ba2343ffff,4690
89196b1730fffff,2168
89196bb495bffff,5259
89196b360afffff,1976
89196969a4bffff,8330
89196bb2083ffff,4695
89196bb4627ffff,4855
89196bb4a67ffff,2554
89196bba80bffff,7141
89196bb16b7ffff,6509
89196bade53ffff,3931
89196b842abffff,6769
8919694de93ffff,2876
89196bb2d4fffff,5492
89196bb8d07ffff,398
89196b86677ffff,9730
8919696ac13ffff,8805
89196bb350bffff,7815
89196942a57ffff,9877
89196bbb44bffff,9833
89196bba5d3ffff,8406
89196ba664fffff,978
89196949bc7ffff,5514
89196ba0a0bffff,4439
89196bb8c33ffff,1098
89196b8691bffff,2610
89196941247ffff,3893
89196b85923ffff,5490
89196bb6897ffff,6013
891969401cfffff,4307
8919696a523ffff,7806
8919682c9afffff,4454
89196bb848bffff,5792
89196978a2bffff,200
89196ba4edbffff,5853
89196b8659bffff,2399
89196ba85bbffff,1697
89196ba832bffff,9448
89196bbb513ffff,3648
89196bb6197ffff,6736
89196bb3453ffff,2590
8919696b393ffff,7418
891969495dbffff,200
89196ba84a3ffff,7896
89196bb5b4fffff,3557
89196b86523ffff,2952
89196ba5447ffff,1829
89196ba8bafffff,4172
89196ba13b3ffff,6145
89196962067ffff,4079
89196ba201bffff,7539
89196bb1597ffff,6023
8919696a253ffff,4756
89196b86653ffff,4939
89196959497ffff,4436
89196bbaa07ffff,3273
89196979d6fffff,2910
89196bbb44bffff,8299
89196b336d7ffff,178
89196bb1dabffff,9350
89196bb8ecfffff,4050
89196bb834fffff,129
8919694e9cbffff,4648
8919694d3a3ffff,4681
89196bb5027ffff,5949
89196ba0c5bffff,2089
8919696a00fffff,955
8919694cdafffff,9218
89196bb74dbffff,5404
89196b14ad3ffff,1078
89196bb693bffff,594
8919694c1cfffff,1648
89196ba14d3ffff,8370
89196948e8bffff,6164
891969411b3ffff,6283
89196bb33a7ffff,5039
89196ba28b3ffff,9903
89196bad19bffff,3889
89196ba5ecfffff,201
8919694e1a7ffff,4644
89196b14177ffff,1868
8919694a857ffff,1979
89196bb93d3ffff,7321
89196942a6bffff,2445
89196b06a07ffff,5921
89196961327ffff,9493
89196bb83b7ffff,8768
89196b065b3ffff,2320
89196b14e43ffff,1979
89196b96d67ffff,8124
89196bba183ffff,805
89196969963ffff,6095
89196940e6fffff,4512
89196ba1ba3ffff,2365
89196ba18d7ffff,9940
891969413cbffff,4203
89196bb0877ffff,5234
89196b04153ffff,2083
89196b04d83ffff,65
89196ba244bffff,1771
89196943137ffff,7483
891969594a3ffff,5796
89196bb0a6fffff,5642
89196ba6d3bffff,6705
89196baed1bffff,8239
89196b33477ffff,8261
89196b3254bffff,2408
89196bb02cfffff,1951
89196ba7293ffff,9033
89196bad68bffff,2220
89196b0401bffff,515
89196979137ffff,8777
89196ba44dbffff,2296
89196b8614bffff,9698
89196ba0a37ffff,4109
891969418c7ffff,7212
89196baa937ffff,1878
89196bbb53bffff,1720
89196b04517ffff,3677
89196ba24dbffff,1125
8919694f25bffff,6235
89196bb5657ffff,7796
89196b15cabffff,2485
89196ba65c7ffff,8027
89196bb1323ffff,7921
89196ba0897ffff,2041
89196940acfffff,9545
8919694ee2bffff,9148
89196bb301bffff,4820
89196978123ffff,2392
89196bb0c83ffff,6033
89196badb87ffff,7462
8919694c43bffff,2275
89196b16bdbffff,9942
891fa4926a3ffff,8534
89196ba2ca7ffff,8187
89196ba5d7bffff,6387
89196ba03b3ffff,4644
8919696011bffff,8421
89196978c13ffff,1826
89196b84227ffff,2335
89196940023ffff,761
89196b84bbbffff,5820
89196b86db3ffff,6666
89196ba05bbffff,8816
89196b301b3ffff,2824
89196b841cfffff,9929
89196b32577ffff,525
89196bb0b53ffff,7013
89196b8438fffff,2346
89196ba4e1bffff,1427
89196bb8187ffff,6342
89196ba4dd7ffff,3856
8919694f44fffff,4952
8919694986fffff,5485
89196b0427bffff,3774
89196941e57ffff,4590
89196bb80d7ffff,3385
89196940cd7ffff,191
8919696a1bbffff,7462
89196b16257ffff,4111
89196baf307ffff,7898
89196ba43a3ffff,9583
891969686b3ffff,3207
891969415c3ffff,1067
8919696a1d7ffff,7643
89196baf303ffff,5394
891fa496453ffff,3908
89196baead7ffff,7726
89196962e7bffff,3819
89196ba40c3ffff,9531
89196bad327ffff,5222
89196b16083ffff,8019
89196b86373ffff,3988
8919696061bffff,5060
89196b8696fffff,7499
89196b85833ffff,8259
89196ba9a27ffff,5687
89196ba24d3ffff,7147
89196b86d63ffff,5751
89196ba8e2fffff,2762
8919697a947ffff,3622
89196941a3bffff,7036
89196ba7443ffff,9887
89196969aafffff,1588
89196b86c93ffff,5121
8919694d52bffff,4086
89196bb0c57ffff,9330
8919694a55bffff,2346
8919697844bffff,9746
