,hex9,color,fuzzy
0,891f1600003ffff,"[226, 77, 101]",0.616
1,891f160000bffff,"[225, 76, 102]",0.612
2,891f160000fffff,"[226, 77, 101]",0.613
3,891f1600013ffff,"[234, 85, 96]",0.64
4,891f1600017ffff,"[235, 86, 96]",0.644
5,891f160001bffff,"[230, 81, 98]",0.626
6,891f1600027ffff,"[224, 75, 102]",0.606
7,891f160002bffff,"[221, 73, 104]",0.6
8,891f160002fffff,"[221, 73, 104]",0.6
9,891f1600037ffff,"[228, 78, 100]",0.618
10,891f160004bffff,"[232, 84, 97]",0.635
11,891f1600053ffff,"[234, 85, 96]",0.64
12,891f1600057ffff,"[230, 81, 98]",0.625
13,891f160005bffff,"[236, 88, 95]",0.646
14,891f1600063ffff,"[221, 73, 104]",0.598
15,891f1600067ffff,"[221, 73, 104]",0.598
16,891f160006fffff,"[224, 75, 102]",0.607
17,891f1600077ffff,"[221, 73, 104]",0.598
18,891f1600083ffff,"[247, 113, 91]",0.706
19,891f1600087ffff,"[239, 94, 93]",0.661
20,891f160008bffff,"[241, 97, 92]",0.67
21,891f160008fffff,"[238, 93, 93]",0.659
22,891f1600093ffff,"[248, 117, 92]",0.711
23,891f1600097ffff,"[248, 117, 92]",0.714
24,891f160009bffff,"[247, 113, 91]",0.707
25,891f16000a3ffff,"[238, 93, 93]",0.659
26,891f16000a7ffff,"[236, 88, 95]",0.645
27,891f16000afffff,"[230, 81, 98]",0.629
28,891f16000b3ffff,"[240, 96, 93]",0.664
29,891f16000b7ffff,"[240, 96, 93]",0.667
30,891f16000bbffff,"[238, 93, 93]",0.659
31,891f16000c3ffff,"[245, 106, 91]",0.688
32,891f16000c7ffff,"[237, 89, 95]",0.652
33,891f16000cbffff,"[243, 101, 92]",0.676
34,891f16000cfffff,"[236, 88, 95]",0.647
35,891f16000d3ffff,"[248, 117, 92]",0.713
36,891f16000d7ffff,"[246, 110, 91]",0.697
37,891f16000dbffff,"[246, 112, 91]",0.703
38,891f1600183ffff,"[239, 94, 93]",0.661
39,891f1600187ffff,"[241, 97, 92]",0.671
40,891f160018bffff,"[226, 77, 101]",0.614
41,891f1600193ffff,"[238, 93, 93]",0.657
42,891f1600197ffff,"[243, 103, 91]",0.683
43,891f160019bffff,"[234, 85, 96]",0.64
44,891f16001c3ffff,"[232, 84, 97]",0.635
45,891f16001c7ffff,"[226, 77, 101]",0.614
46,891f16001cbffff,"[226, 77, 101]",0.615
47,891f16001d3ffff,"[237, 89, 95]",0.65
48,891f16001d7ffff,"[230, 81, 98]",0.626
49,891f16001dbffff,"[230, 81, 98]",0.627
50,891f1600203ffff,"[235, 86, 96]",0.642
51,891f1600207ffff,"[234, 85, 96]",0.639
52,891f160020bffff,"[241, 97, 92]",0.668
53,891f160020fffff,"[238, 91, 94]",0.655
54,891f1600213ffff,"[240, 96, 93]",0.666
55,891f1600217ffff,"[231, 82, 98]",0.629
56,891f160021bffff,"[242, 99, 92]",0.675
57,891f1600223ffff,"[241, 97, 92]",0.669
58,891f1600227ffff,"[241, 97, 92]",0.67
59,891f160022bffff,"[243, 101, 92]",0.678
60,891f160022fffff,"[245, 106, 91]",0.691
61,891f1600233ffff,"[236, 88, 95]",0.648
62,891f1600237ffff,"[239, 94, 93]",0.661
63,891f160023bffff,"[238, 91, 94]",0.653
64,891f1600243ffff,"[248, 119, 92]",0.718
65,891f1600247ffff,"[244, 104, 91]",0.686
66,891f160024bffff,"[249, 125, 93]",0.729
67,891f160024fffff,"[249, 123, 93]",0.725
68,891f1600253ffff,"[249, 121, 92]",0.722
69,891f1600257ffff,"[247, 115, 92]",0.708
70,891f160025bffff,"[248, 117, 92]",0.714
71,891f1600263ffff,"[245, 108, 91]",0.692
72,891f160026bffff,"[248, 117, 92]",0.711
73,891f160026fffff,"[249, 121, 92]",0.719
74,891f1600273ffff,"[239, 94, 93]",0.662
75,891f1600277ffff,"[242, 99, 92]",0.672
76,891f160027bffff,"[245, 108, 91]",0.694
77,891f1600283ffff,"[243, 101, 92]",0.676
78,891f1600287ffff,"[237, 89, 95]",0.651
79,891f160028bffff,"[244, 104, 91]",0.684
80,891f160028fffff,"[239, 94, 93]",0.66
81,891f1600293ffff,"[245, 106, 91]",0.688
82,891f1600297ffff,"[240, 96, 93]",0.665
83,891f160029bffff,"[245, 106, 91]",0.69
84,891f16002afffff,"[238, 91, 94]",0.654
85,891f16002bbffff,"[237, 89, 95]",0.649
86,891f16002c3ffff,"[245, 106, 91]",0.689
87,891f16002c7ffff,"[244, 104, 91]",0.686
88,891f16002cbffff,"[249, 121, 92]",0.722
89,891f16002cfffff,"[248, 119, 92]",0.716
90,891f16002d3ffff,"[241, 97, 92]",0.672
91,891f16002d7ffff,"[241, 97, 92]",0.669
92,891f16002dbffff,"[246, 110, 91]",0.698
93,891f1600343ffff,"[240, 96, 93]",0.667
94,891f160034bffff,"[248, 117, 92]",0.714
95,891f1600353ffff,"[242, 99, 92]",0.672
96,891f160035bffff,"[243, 103, 91]",0.681
97,891f1600383ffff,"[226, 77, 101]",0.614
98,891f160038bffff,"[225, 76, 102]",0.613
