,hex9,color,fuzzy
0,891f1600093ffff,"[212, 67, 109]",0.576
1,891f1600097ffff,"[222, 74, 103]",0.605
2,891f16000a3ffff,"[243, 101, 92]",0.679
3,891f16000a7ffff,"[248, 117, 92]",0.712
4,891f16000afffff,"[252, 142, 99]",0.763
5,891f16000b7ffff,"[232, 84, 97]",0.634
6,891f1600183ffff,"[215, 69, 107]",0.586
7,891f160018bffff,"[230, 81, 98]",0.628
8,891f1600193ffff,"[203, 62, 113]",0.554
9,891f1600197ffff,"[206, 64, 112]",0.561
10,891f160019bffff,"[214, 68, 108]",0.581
11,891f16001c3ffff,"[242, 99, 92]",0.673
12,891f16001cbffff,"[248, 117, 92]",0.714
13,891f16001d3ffff,"[248, 117, 92]",0.712
14,891f16001dbffff,"[251, 136, 97]",0.753
15,891f1600237ffff,"[239, 94, 93]",0.66
16,891f160024bffff,"[217, 70, 106]",0.586
17,891f160026bffff,"[239, 94, 93]",0.66
18,891f160026fffff,"[247, 115, 92]",0.71
19,891f16002afffff,"[237, 89, 95]",0.649
20,891f16003c3ffff,"[245, 106, 91]",0.691
21,891f16003cbffff,"[247, 115, 92]",0.709
22,891f16003d3ffff,"[249, 125, 93]",0.729
23,891f16003d7ffff,"[248, 117, 92]",0.714
24,891f16003dbffff,"[241, 97, 92]",0.67
25,891f1600403ffff,"[239, 94, 93]",0.663
26,891f1600407ffff,"[220, 72, 105]",0.594
27,891f160040fffff,"[229, 80, 99]",0.623
28,891f1600413ffff,"[236, 88, 95]",0.648
29,891f1600417ffff,"[243, 101, 92]",0.678
30,891f160041bffff,"[220, 72, 105]",0.597
31,891f1600423ffff,"[224, 75, 102]",0.606
32,891f1600427ffff,"[232, 84, 97]",0.636
33,891f160042bffff,"[240, 96, 93]",0.666
34,891f160042fffff,"[246, 112, 91]",0.7
35,891f1600433ffff,"[212, 67, 109]",0.574
36,891f1600437ffff,"[220, 72, 105]",0.595
37,891f160043bffff,"[218, 71, 105]",0.592
38,891f1600443ffff,"[228, 78, 100]",0.619
39,891f1600447ffff,"[231, 82, 98]",0.629
40,891f160044bffff,"[235, 86, 96]",0.644
41,891f160044fffff,"[234, 85, 96]",0.638
42,891f1600453ffff,"[230, 81, 98]",0.628
43,891f1600457ffff,"[237, 89, 95]",0.651
44,891f160045bffff,"[241, 97, 92]",0.669
45,891f1600463ffff,"[247, 115, 92]",0.709
46,891f1600467ffff,"[247, 113, 91]",0.706
47,891f160046bffff,"[248, 119, 92]",0.717
48,891f1600473ffff,"[246, 112, 91]",0.702
49,891f1600477ffff,"[243, 101, 92]",0.679
50,891f160047bffff,"[247, 115, 92]",0.709
51,891f1600483ffff,"[243, 101, 92]",0.676
52,891f1600487ffff,"[245, 108, 91]",0.695
53,891f160048bffff,"[241, 97, 92]",0.671
54,891f160048fffff,"[236, 88, 95]",0.645
55,891f1600493ffff,"[228, 78, 100]",0.621
56,891f1600497ffff,"[236, 88, 95]",0.648
57,891f160049bffff,"[228, 78, 100]",0.618
58,891f16004a3ffff,"[242, 99, 92]",0.673
59,891f16004a7ffff,"[237, 89, 95]",0.65
60,891f16004abffff,"[245, 108, 91]",0.693
61,891f16004afffff,"[241, 97, 92]",0.67
62,891f16004b3ffff,"[245, 106, 91]",0.688
63,891f16004b7ffff,"[245, 108, 91]",0.694
64,891f16004bbffff,"[241, 97, 92]",0.668
65,891f16004c3ffff,"[246, 112, 91]",0.702
66,891f16004c7ffff,"[242, 99, 92]",0.673
67,891f16004cbffff,"[248, 119, 92]",0.718
68,891f16004cfffff,"[247, 113, 91]",0.705
69,891f16004d3ffff,"[232, 84, 97]",0.635
70,891f16004d7ffff,"[236, 88, 95]",0.646
71,891f16004dbffff,"[245, 108, 91]",0.695
72,891f1600503ffff,"[220, 72, 105]",0.596
73,891f1600507ffff,"[238, 91, 94]",0.654
74,891f160050bffff,"[245, 106, 91]",0.69
75,891f160050fffff,"[222, 74, 103]",0.605
76,891f1600513ffff,"[224, 75, 102]",0.606
77,891f1600517ffff,"[231, 82, 98]",0.633
78,891f160051bffff,"[238, 93, 93]",0.656
79,891f1600533ffff,"[241, 97, 92]",0.672
80,891f1600537ffff,"[238, 93, 93]",0.658
81,891f160053bffff,"[235, 86, 96]",0.644
82,891f1600543ffff,"[247, 115, 92]",0.71
83,891f1600547ffff,"[245, 108, 91]",0.695
84,891f160054bffff,"[242, 99, 92]",0.676
85,891f160054fffff,"[241, 97, 92]",0.671
86,891f1600553ffff,"[246, 110, 91]",0.696
87,891f1600557ffff,"[243, 103, 91]",0.681
88,891f160055bffff,"[242, 99, 92]",0.675
89,891f1600563ffff,"[238, 91, 94]",0.655
90,891f1600567ffff,"[241, 97, 92]",0.67
91,891f160056bffff,"[247, 113, 91]",0.706
92,891f160056fffff,"[250, 128, 94]",0.736
93,891f1600573ffff,"[240, 96, 93]",0.665
94,891f1600577ffff,"[239, 94, 93]",0.663
95,891f160057bffff,"[244, 104, 91]",0.686
96,891f1600583ffff,"[238, 93, 93]",0.66
97,891f1600587ffff,"[239, 94, 93]",0.663
98,891f160058bffff,"[241, 97, 92]",0.669
99,891f160058fffff,"[232, 84, 97]",0.635
100,891f1600593ffff,"[238, 93, 93]",0.659
101,891f1600597ffff,"[238, 93, 93]",0.66
102,891f160059bffff,"[238, 93, 93]",0.657
103,891f16005a3ffff,"[239, 94, 93]",0.661
104,891f16005a7ffff,"[246, 112, 91]",0.7
105,891f16005abffff,"[243, 103, 91]",0.68
106,891f16005afffff,"[245, 106, 91]",0.688
107,891f16005b3ffff,"[246, 112, 91]",0.7
108,891f16005b7ffff,"[248, 117, 92]",0.714
109,891f16005bbffff,"[243, 103, 91]",0.683
110,891f16005c3ffff,"[245, 108, 91]",0.692
111,891f16005c7ffff,"[243, 103, 91]",0.683
112,891f16005cbffff,"[243, 103, 91]",0.682
113,891f16005cfffff,"[243, 101, 92]",0.677
114,891f16005d3ffff,"[245, 108, 91]",0.693
115,891f16005d7ffff,"[245, 108, 91]",0.694
116,891f16005dbffff,"[245, 108, 91]",0.695
117,891f1600603ffff,"[244, 104, 91]",0.684
118,891f1600607ffff,"[245, 108, 91]",0.693
119,891f160060bffff,"[241, 97, 92]",0.67
120,891f160060fffff,"[243, 103, 91]",0.683
121,891f1600613ffff,"[245, 106, 91]",0.688
122,891f1600617ffff,"[245, 106, 91]",0.688
123,891f160061bffff,"[238, 91, 94]",0.654
124,891f1600643ffff,"[230, 81, 98]",0.628
