,hex9,value
0,891f1600093ffff,53.979416
1,891f1600097ffff,53.704487
2,891f16000a3ffff,42.323822
3,891f16000a7ffff,41.408108
4,891f16000afffff,35.510563
5,891f16000b7ffff,44.913353
6,891f1600183ffff,50.010143
7,891f160018bffff,45.01654
8,891f1600193ffff,52.978127
9,891f1600197ffff,54.379993
10,891f160019bffff,49.0408
11,891f16001c3ffff,37.0
12,891f16001cbffff,33.15278
13,891f16001d3ffff,40.82535
14,891f16001dbffff,36.72148
15,891f1600237ffff,13.577921
16,891f160024bffff,27.91553
17,891f160026bffff,14.164085
18,891f160026fffff,9.056789
19,891f16002afffff,16.815174
20,891f16003c3ffff,14.501044
21,891f16003cbffff,13.540322
22,891f16003d3ffff,16.776474
23,891f16003d7ffff,14.21501
24,891f16003dbffff,17.003523
25,891f1600403ffff,51.241844
26,891f1600407ffff,51.745903
27,891f160040fffff,56.07495
28,891f1600413ffff,47.436558
29,891f1600417ffff,47.19729
30,891f160041bffff,53.4
31,891f1600423ffff,56.91587
32,891f1600427ffff,57.509373
33,891f160042bffff,58.513035
34,891f160042fffff,56.56602
35,891f1600433ffff,51.99575
36,891f1600437ffff,53.060307
37,891f160043bffff,56.584267
38,891f1600443ffff,62.46474
39,891f1600447ffff,61.64443
40,891f160044bffff,66.465355
41,891f160044fffff,64.62604
42,891f1600453ffff,58.538986
43,891f1600457ffff,57.500866
44,891f160045bffff,63.855366
45,891f1600463ffff,58.46701
46,891f1600467ffff,56.727573
47,891f160046bffff,58.90317
48,891f1600473ffff,61.009937
49,891f1600477ffff,59.28885
50,891f160047bffff,62.24421
51,891f1600483ffff,39.011684
52,891f1600487ffff,38.46113
53,891f160048bffff,43.687584
54,891f160048fffff,42.927784
55,891f1600493ffff,35.138924
56,891f1600497ffff,34.204544
57,891f160049bffff,39.922848
58,891f16004a3ffff,43.785015
59,891f16004a7ffff,44.907547
60,891f16004abffff,47.27324
61,891f16004afffff,48.334194
62,891f16004b3ffff,38.86844
63,891f16004b7ffff,39.73177
64,891f16004bbffff,43.10981
65,891f16004c3ffff,50.25674
66,891f16004c7ffff,48.68333
67,891f16004cbffff,55.325294
68,891f16004cfffff,53.828876
69,891f16004d3ffff,46.312283
70,891f16004d7ffff,44.177925
71,891f16004dbffff,51.810123
72,891f1600503ffff,61.45644
73,891f1600507ffff,63.46228
74,891f160050bffff,58.55888
75,891f160050fffff,58.914192
76,891f1600513ffff,57.251392
77,891f1600517ffff,60.223553
78,891f160051bffff,59.158398
79,891f1600533ffff,65.070854
80,891f1600537ffff,65.56712
81,891f160053bffff,59.333332
82,891f1600543ffff,54.445374
83,891f1600547ffff,54.143745
84,891f160054bffff,52.560246
85,891f160054fffff,51.012566
86,891f1600553ffff,58.264637
87,891f1600557ffff,58.495407
88,891f160055bffff,55.10765
89,891f1600563ffff,50.088745
90,891f1600567ffff,51.07821
91,891f160056bffff,45.254974
92,891f160056fffff,45.82117
93,891f1600573ffff,54.201405
94,891f1600577ffff,55.14669
95,891f160057bffff,49.695053
96,891f1600583ffff,50.8475
97,891f1600587ffff,54.59541
98,891f160058bffff,52.265186
99,891f160058fffff,55.285236
100,891f1600593ffff,44.20838
101,891f1600597ffff,52.43091
102,891f160059bffff,47.3848
103,891f16005a3ffff,59.938805
104,891f16005a7ffff,58.647213
105,891f16005abffff,63.373676
106,891f16005afffff,63.159782
107,891f16005b3ffff,56.473057
108,891f16005b7ffff,54.61499
109,891f16005bbffff,58.814377
110,891f16005c3ffff,51.811913
111,891f16005c7ffff,54.220284
112,891f16005cbffff,54.913406
113,891f16005cfffff,56.882378
114,891f16005d3ffff,46.68918
115,891f16005d7ffff,49.254833
116,891f16005dbffff,49.863564
117,891f1600603ffff,56.15578
118,891f1600607ffff,54.454792
119,891f160060bffff,54.304913
120,891f160060fffff,52.50315
121,891f1600613ffff,60.885498
122,891f1600617ffff,57.778957
123,891f160061bffff,59.295765
