,hex9,value,color
0,891f1600093ffff,21223.28,"[22, 14, 58]"
1,891f1600097ffff,21231.389,"[22, 14, 58]"
2,891f16000a3ffff,22518.74,"[7, 5, 27]"
3,891f16000a7ffff,22737.916,"[5, 4, 23]"
4,891f16000afffff,23265.08,"[1, 1, 11]"
5,891f16000b7ffff,22309.121,"[10, 7, 34]"
6,891f1600183ffff,23232.414,"[2, 2, 13]"
7,891f160018bffff,23487.453,"[1, 0, 7]"
8,891f1600193ffff,22635.793,"[6, 5, 25]"
9,891f1600197ffff,22888.781,"[4, 3, 19]"
10,891f160019bffff,22643.697,"[6, 5, 25]"
11,891f16001c3ffff,23450.252,"[1, 0, 7]"
12,891f16001cbffff,23717.756,"[0, 0, 3]"
13,891f16001d3ffff,22947.201,"[4, 3, 19]"
14,891f16001dbffff,23253.111,"[1, 1, 11]"
15,891f1600237ffff,20624.11,"[31, 17, 75]"
16,891f160024bffff,17890.049,"[80, 18, 123]"
17,891f160026bffff,18062.209,"[77, 17, 122]"
18,891f160026fffff,18229.035,"[74, 16, 121]"
19,891f16002afffff,20816.469,"[28, 16, 70]"
20,891f16003c3ffff,21310.855,"[21, 14, 56]"
21,891f16003cbffff,20817.965,"[28, 16, 70]"
22,891f16003d3ffff,21699.621,"[16, 12, 47]"
23,891f16003d7ffff,21648.314,"[17, 12, 49]"
24,891f16003dbffff,21034.662,"[24, 15, 63]"
25,891f1600403ffff,19611.467,"[48, 16, 101]"
26,891f1600407ffff,19793.777,"[45, 16, 96]"
27,891f160040fffff,20138.41,"[38, 17, 87]"
28,891f1600413ffff,19157.836,"[57, 15, 110]"
29,891f1600417ffff,19292.316,"[53, 15, 106]"
30,891f160041bffff,19543.277,"[50, 16, 103]"
31,891f1600423ffff,20449.383,"[34, 17, 80]"
32,891f1600427ffff,20593.236,"[31, 17, 75]"
33,891f160042bffff,20753.0,"[30, 16, 73]"
34,891f160042fffff,20944.803,"[26, 16, 65]"
35,891f1600433ffff,19929.023,"[42, 17, 92]"
36,891f1600437ffff,20104.139,"[40, 17, 89]"
37,891f160043bffff,20316.99,"[35, 17, 82]"
38,891f1600443ffff,20265.13,"[37, 17, 85]"
39,891f1600447ffff,20394.938,"[34, 17, 80]"
40,891f160044bffff,20647.182,"[31, 17, 75]"
41,891f160044fffff,20735.213,"[30, 16, 73]"
42,891f1600453ffff,19781.318,"[45, 16, 96]"
43,891f1600457ffff,19901.494,"[43, 17, 94]"
44,891f160045bffff,20185.22,"[38, 17, 87]"
45,891f1600463ffff,20935.41,"[27, 16, 68]"
46,891f1600467ffff,21020.002,"[26, 16, 65]"
47,891f160046bffff,21221.684,"[22, 14, 58]"
48,891f1600473ffff,20504.441,"[32, 17, 77]"
49,891f1600477ffff,20597.668,"[31, 17, 75]"
50,891f160047bffff,20826.928,"[28, 16, 70]"
51,891f1600483ffff,18340.666,"[72, 16, 120]"
52,891f1600487ffff,18477.797,"[69, 15, 118]"
53,891f160048bffff,18676.371,"[66, 15, 116]"
54,891f160048fffff,18812.26,"[64, 15, 115]"
55,891f1600493ffff,17865.012,"[80, 18, 123]"
56,891f1600497ffff,17990.066,"[77, 17, 122]"
57,891f160049bffff,18207.086,"[74, 16, 121]"
58,891f16004a3ffff,19151.225,"[57, 15, 110]"
59,891f16004a7ffff,19310.803,"[53, 15, 106]"
60,891f16004abffff,19433.318,"[52, 16, 104]"
61,891f16004afffff,19618.492,"[48, 16, 101]"
62,891f16004b3ffff,18636.676,"[66, 15, 116]"
63,891f16004b7ffff,18786.365,"[64, 15, 115]"
64,891f16004bbffff,18978.783,"[60, 15, 113]"
65,891f16004c3ffff,18954.193,"[60, 15, 113]"
66,891f16004c7ffff,18999.107,"[60, 15, 113]"
67,891f16004cbffff,19336.152,"[53, 15, 106]"
