,hex9,color,fuzzy
35,891f16000d3ffff,"[65, 65, 134]",0.801466601353628
37,891f16000dbffff,"[66, 64, 133]",0.8041627601145507
52,891f160020bffff,"[67, 59, 131]",0.8203759127939764
54,891f1600213ffff,"[66, 61, 132]",0.812331119401446
56,891f160021bffff,"[68, 57, 130]",0.8306908270497624
64,891f1600243ffff,"[71, 44, 123]",0.8678079935628155
65,891f1600247ffff,"[69, 54, 129]",0.8367563910605138
66,891f160024bffff,"[71, 40, 120]",0.8783302053742353
67,891f160024fffff,"[69, 50, 127]",0.8493062118222183
68,891f1600253ffff,"[71, 39, 119]",0.8826941055821849
69,891f1600257ffff,"[69, 50, 127]",0.850567948673256
70,891f160025bffff,"[72, 34, 115]",0.8991367140039587
74,891f1600273ffff,"[66, 64, 133]",0.805059607126305
76,891f160027bffff,"[67, 60, 132]",0.8183707375012585
79,891f160028bffff,"[66, 61, 132]",0.8124578245157363
83,891f160029bffff,"[66, 62, 133]",0.8108932533739622
86,891f16002c3ffff,"[71, 44, 123]",0.8668300662967494
87,891f16002c7ffff,"[69, 54, 129]",0.8374966730653399
88,891f16002cbffff,"[71, 37, 117]",0.892593426144862
89,891f16002cfffff,"[70, 47, 124]",0.8612631504411963
90,891f16002d3ffff,"[71, 44, 123]",0.8683215745338206
91,891f16002d7ffff,"[69, 53, 128]",0.8396555668328413
92,891f16002dbffff,"[72, 35, 116]",0.8951303060951024
109,891f1600403ffff,"[69, 50, 127]",0.8482744900971202
111,891f160040bffff,"[70, 48, 125]",0.8566326403596406
112,891f160040fffff,"[69, 53, 128]",0.8398872435589393
113,891f1600413ffff,"[70, 48, 125]",0.8578625497106487
115,891f160041bffff,"[72, 35, 116]",0.8957410938432545
123,891f1600443ffff,"[72, 30, 112]",0.9093564129073036
124,891f1600447ffff,"[71, 40, 120]",0.8817848795989874
125,891f160044bffff,"[72, 32, 113]",0.9086585476748174
126,891f160044fffff,"[71, 39, 119]",0.884444998321955
127,891f1600453ffff,"[71, 24, 106]",0.9316823843266713
128,891f1600457ffff,"[72, 33, 114]",0.9031934756890984
129,891f160045bffff,"[71, 22, 105]",0.9345455078511514
130,891f1600463ffff,"[67, 59, 131]",0.8219252348696758
132,891f160046bffff,"[69, 52, 127]",0.844549627913743
134,891f1600473ffff,"[69, 50, 127]",0.8473389883784362
135,891f1600477ffff,"[66, 62, 133]",0.8103960054982091
136,891f160047bffff,"[70, 47, 124]",0.8609160112549838
137,891f1600483ffff,"[69, 52, 127]",0.8465457052326215
138,891f1600487ffff,"[67, 59, 131]",0.8215944922696043
139,891f160048bffff,"[69, 50, 127]",0.8468960621338576
140,891f160048fffff,"[65, 65, 134]",0.8036839477078054
141,891f1600493ffff,"[72, 32, 113]",0.9056856852777577
142,891f1600497ffff,"[71, 38, 118]",0.8864887914305346
143,891f160049bffff,"[70, 49, 126]",0.8539960256787149
151,891f16004c3ffff,"[72, 26, 108]",0.9244154804493369
152,891f16004c7ffff,"[72, 32, 113]",0.9053588028488054
153,891f16004cbffff,"[71, 17, 99]",0.9481221462163004
154,891f16004cfffff,"[72, 28, 110]",0.91757346740639
155,891f16004d3ffff,"[72, 26, 108]",0.9228259275446083
156,891f16004d7ffff,"[71, 38, 118]",0.8864280529947742
157,891f16004dbffff,"[71, 15, 98]",0.9537535911190989
205,891f1600603ffff,"[68, 55, 129]",0.8320329612169562
206,891f1600607ffff,"[67, 58, 131]",0.8253088382210133
207,891f160060bffff,"[66, 61, 132]",0.8122802319003855
208,891f160060fffff,"[66, 64, 133]",0.8041208139382507
209,891f1600613ffff,"[70, 47, 124]",0.8608947655654692
210,891f1600617ffff,"[70, 49, 126]",0.8528851348794909
211,891f160061bffff,"[68, 55, 129]",0.8325965745815833
216,891f1600633ffff,"[66, 61, 132]",0.8125615794646112
219,891f1600643ffff,"[66, 62, 133]",0.8085403737334915
220,891f1600647ffff,"[68, 55, 129]",0.8315866066119624
221,891f160064bffff,"[67, 58, 131]",0.824335067550894
222,891f160064fffff,"[69, 52, 127]",0.8438051687147728
224,891f1600657ffff,"[67, 60, 132]",0.8167905104326892
226,891f1600663ffff,"[68, 57, 130]",0.8286347872118884
227,891f1600667ffff,"[66, 64, 133]",0.8069257212891934
228,891f160066bffff,"[70, 47, 124]",0.8591462315448755
229,891f160066fffff,"[69, 54, 129]",0.8366119812049612
230,891f1600673ffff,"[67, 60, 132]",0.8169628346679823
