,hex9,value,color
0,891f1600093ffff,2.4475837,"[252, 243, 181]"
1,891f1600097ffff,1.3333334,"[251, 250, 189]"
2,891f16000a3ffff,1.0,"[251, 252, 191]"
3,891f16000a7ffff,2.1799273,"[252, 245, 183]"
4,891f16000afffff,1.0,"[251, 252, 191]"
5,891f16000b7ffff,1.8073674,"[251, 249, 187]"
6,891f1600183ffff,1.5,"[251, 250, 189]"
7,891f160018bffff,1.5,"[251, 250, 189]"
8,891f1600193ffff,1.5088401,"[251, 250, 189]"
9,891f1600197ffff,2.3647509,"[252, 245, 183]"
10,891f160019bffff,1.0,"[251, 252, 191]"
11,891f16001c3ffff,1.0,"[251, 252, 191]"
12,891f16001cbffff,1.2281426,"[251, 252, 191]"
13,891f16001d3ffff,1.2857143,"[251, 250, 189]"
14,891f16001dbffff,1.562899,"[251, 249, 187]"
15,891f1600237ffff,4.307326,"[252, 232, 170]"
16,891f160024bffff,15.855914,"[253, 155, 106]"
17,891f160026bffff,5.3489976,"[253, 225, 163]"
18,891f160026fffff,1.7625118,"[251, 249, 187]"
19,891f16002afffff,1.25,"[251, 252, 191]"
20,891f16003c3ffff,3.0980577,"[252, 240, 177]"
21,891f16003cbffff,6.085334,"[253, 220, 157]"
22,891f16003d3ffff,1.0,"[251, 252, 191]"
23,891f16003d7ffff,3.25,"[252, 238, 176]"
24,891f16003dbffff,1.9688982,"[251, 247, 185]"
25,891f1600403ffff,1.91514,"[251, 247, 185]"
26,891f1600407ffff,5.817792,"[253, 221, 159]"
27,891f160040fffff,2.5465696,"[252, 243, 181]"
28,891f1600413ffff,2.2154152,"[252, 245, 183]"
29,891f1600417ffff,6.0084705,"[253, 220, 157]"
30,891f160041bffff,1.0828427,"[251, 252, 191]"
31,891f1600423ffff,8.495547,"[254, 203, 142]"
32,891f1600427ffff,8.007839,"[253, 207, 146]"
33,891f160042bffff,5.7332506,"[253, 221, 159]"
34,891f160042fffff,3.6539218,"[252, 236, 174]"
35,891f1600433ffff,10.975698,"[254, 187, 128]"
36,891f1600437ffff,12.151919,"[254, 179, 123]"
37,891f160043bffff,6.9580135,"[253, 214, 152]"
38,891f1600443ffff,6.0678678,"[253, 220, 157]"
39,891f1600447ffff,2.0913823,"[251, 247, 185]"
40,891f160044bffff,10.34701,"[254, 192, 133]"
41,891f160044fffff,6.1896553,"[253, 220, 157]"
42,891f1600453ffff,7.7827797,"[253, 209, 147]"
43,891f1600457ffff,2.5566444,"[252, 243, 181]"
44,891f160045bffff,11.187033,"[254, 187, 128]"
45,891f1600463ffff,1.0,"[251, 252, 191]"
46,891f1600467ffff,1.9090909,"[251, 247, 185]"
47,891f160046bffff,1.0,"[251, 252, 191]"
48,891f1600473ffff,1.0,"[251, 252, 191]"
49,891f1600477ffff,2.7439547,"[252, 241, 179]"
50,891f160047bffff,2.125,"[252, 245, 183]"
51,891f1600483ffff,8.626321,"[254, 203, 142]"
52,891f1600487ffff,12.091122,"[254, 179, 123]"
53,891f160048bffff,3.5174806,"[252, 236, 174]"
54,891f160048fffff,6.7227206,"[253, 216, 154]"
55,891f1600493ffff,11.328208,"[254, 185, 127]"
56,891f1600497ffff,14.00531,"[254, 166, 113]"
57,891f160049bffff,6.17652,"[253, 220, 157]"
58,891f16004a3ffff,15.54062,"[253, 157, 107]"
59,891f16004a7ffff,17.193998,"[252, 146, 101]"
60,891f16004abffff,10.69968,"[254, 188, 130]"
61,891f16004afffff,15.045358,"[253, 161, 110]"
62,891f16004b3ffff,15.998082,"[253, 153, 105]"
63,891f16004b7ffff,18.329964,"[251, 138, 98]"
64,891f16004bbffff,10.79312,"[254, 188, 130]"
65,891f16004c3ffff,2.1321902,"[252, 245, 183]"
66,891f16004c7ffff,1.0,"[251, 252, 191]"
67,891f16004cbffff,7.2130036,"[253, 212, 151]"
68,891f16004cfffff,3.6959276,"[252, 236, 174]"
69,891f16004d3ffff,3.452939,"[252, 238, 176]"
70,891f16004d7ffff,1.8085948,"[251, 249, 187]"
71,891f16004dbffff,6.277356,"[253, 218, 156]"
72,891f1600503ffff,8.487696,"[254, 203, 142]"
73,891f1600507ffff,3.1092892,"[252, 240, 177]"
74,891f160050bffff,9.158094,"[254, 199, 139]"
75,891f160050fffff,5.7059164,"[253, 221, 159]"
76,891f1600513ffff,7.722904,"[253, 209, 147]"
77,891f1600517ffff,7.112925,"[253, 212, 151]"
78,891f160051bffff,11.225069,"[254, 185, 127]"
79,891f1600533ffff,2.0738776,"[251, 247, 185]"
80,891f1600537ffff,2.2178712,"[252, 245, 183]"
81,891f160053bffff,1.5364919,"[251, 250, 189]"
82,891f1600543ffff,3.0111601,"[252, 240, 177]"
83,891f1600547ffff,4.6679244,"[252, 229, 166]"
84,891f160054bffff,1.6666666,"[251, 249, 187]"
85,891f160054fffff,1.5214689,"[251, 250, 189]"
86,891f1600553ffff,7.646679,"[253, 209, 147]"
87,891f1600557ffff,7.812364,"[253, 209, 147]"
88,891f160055bffff,3.5148592,"[252, 236, 174]"
89,891f1600563ffff,4.230087,"[252, 232, 170]"
90,891f1600567ffff,1.7000297,"[251, 249, 187]"
91,891f160056bffff,3.4975588,"[252, 236, 174]"
92,891f160056fffff,1.1818181,"[251, 252, 191]"
93,891f1600573ffff,7.5437417,"[253, 210, 149]"
94,891f1600577ffff,3.028203,"[252, 240, 177]"
95,891f160057bffff,4.03345,"[252, 234, 172]"
96,891f1600583ffff,1.0,"[251, 252, 191]"
97,891f1600587ffff,1.7311819,"[251, 249, 187]"
98,891f160058bffff,4.052407,"[252, 232, 170]"
99,891f160058fffff,3.8448625,"[252, 234, 172]"
100,891f1600593ffff,1.0,"[251, 252, 191]"
101,891f1600597ffff,1.0,"[251, 252, 191]"
102,891f160059bffff,3.4352279,"[252, 238, 176]"
103,891f16005a3ffff,7.089627,"[253, 212, 151]"
104,891f16005a7ffff,8.680704,"[254, 203, 142]"
105,891f16005abffff,5.96643,"[253, 221, 159]"
106,891f16005afffff,5.9110956,"[253, 221, 159]"
107,891f16005b3ffff,3.0111601,"[252, 240, 177]"
108,891f16005b7ffff,5.24312,"[253, 225, 163]"
109,891f16005bbffff,5.567435,"[253, 223, 161]"
110,891f16005c3ffff,13.328547,"[254, 172, 117]"
111,891f16005c7ffff,9.4692135,"[254, 198, 137]"
112,891f16005cbffff,11.813223,"[254, 181, 124]"
113,891f16005cfffff,11.39508,"[254, 185, 127]"
