,hex9,value
0,891f1600003ffff,3.1534607
1,891f160000bffff,2.1893308
2,891f160000fffff,1.6071478
3,891f1600013ffff,3.2867222
4,891f1600017ffff,1.0690356
5,891f160001bffff,1.8808193
6,891f1600027ffff,1.3477184
7,891f160002bffff,1.6200376
8,891f160002fffff,1.5760354
9,891f1600037ffff,1.5510956
10,891f160004bffff,1.6051525
11,891f1600053ffff,2.5634005
12,891f1600057ffff,1.2665523
13,891f160005bffff,3.0354445
14,891f1600063ffff,1.0
15,891f1600067ffff,1.368112
16,891f160006fffff,1.9920511
17,891f1600077ffff,1.646151
18,891f1600083ffff,1.4142135
19,891f1600087ffff,2.828427
20,891f160008bffff,2.0449734
21,891f160008fffff,1.3459401
22,891f1600093ffff,2.9543352
23,891f1600097ffff,2.124766
24,891f160009bffff,1.8339533
25,891f16000a3ffff,1.1380712
26,891f16000a7ffff,4.0471625
27,891f16000afffff,1.1656854
28,891f16000b3ffff,1.0
29,891f16000b7ffff,2.4595428
30,891f16000bbffff,1.7533789
31,891f16000c3ffff,2.0088546
32,891f16000c7ffff,2.1645434
33,891f16000cbffff,1.6231226
34,891f16000cfffff,1.0662742
35,891f16000d3ffff,1.7652372
36,891f16000d7ffff,1.51496
37,891f16000dbffff,4.4653387
38,891f1600183ffff,3.2399285
39,891f1600187ffff,1.0
40,891f160018bffff,12.533473
41,891f1600193ffff,9.9992075
42,891f1600197ffff,2.1694543
43,891f160019bffff,12.693533
44,891f16001c3ffff,2.2216177
45,891f16001c7ffff,11.18034
46,891f16001cbffff,1.7650672
47,891f16001d3ffff,2.026439
48,891f16001d7ffff,7.154059
49,891f16001dbffff,2.7561917
50,891f1600203ffff,4.2590165
51,891f1600207ffff,2.0195596
52,891f160020bffff,5.211374
53,891f160020fffff,2.558246
54,891f1600213ffff,2.4220445
55,891f1600217ffff,4.6488104
56,891f160021bffff,5.9934297
57,891f1600223ffff,2.5840156
58,891f1600227ffff,5.754513
59,891f160022bffff,2.768239
60,891f160022fffff,3.3228602
61,891f1600233ffff,2.7332911
62,891f1600237ffff,2.9510257
63,891f160023bffff,3.334104
64,891f1600243ffff,9.1195965
65,891f1600247ffff,11.285267
66,891f160024bffff,5.821003
67,891f160024fffff,8.35925
68,891f1600253ffff,5.3300943
69,891f1600257ffff,4.112867
70,891f160025bffff,8.050261
71,891f1600263ffff,5.470344
72,891f160026bffff,9.23799
73,891f160026fffff,4.767429
74,891f1600273ffff,8.019941
75,891f1600277ffff,2.3780804
76,891f160027bffff,10.9846115
77,891f1600283ffff,6.26181
78,891f1600287ffff,3.4975622
79,891f160028bffff,5.744324
80,891f160028fffff,3.7947872
81,891f1600293ffff,8.534023
82,891f1600297ffff,2.7147427
83,891f160029bffff,9.117475
84,891f16002afffff,1.1406482
85,891f16002bbffff,1.0
86,891f16002c3ffff,10.485404
87,891f16002c7ffff,7.6345706
88,891f16002cbffff,5.7388763
89,891f16002cfffff,3.0929108
90,891f16002d3ffff,16.08282
91,891f16002d7ffff,13.914071
92,891f16002dbffff,14.280843
93,891f1600343ffff,11.951373
94,891f160034bffff,1.8944271
95,891f1600353ffff,6.980557
96,891f160035bffff,8.468438
97,891f1600383ffff,1.7125899
98,891f160038bffff,7.015023
99,891f1600393ffff,1.5612255
100,891f1600397ffff,1.6446698
101,891f160039bffff,5.1010203
102,891f16003c3ffff,2.1073005
103,891f16003c7ffff,2.1407936
104,891f16003cbffff,2.0020537
105,891f16003cfffff,1.0
106,891f16003d3ffff,1.0
107,891f16003d7ffff,4.4902215
108,891f16003dbffff,2.6605597
109,891f1600403ffff,4.050838
110,891f1600407ffff,11.502174
111,891f160040bffff,1.0828427
112,891f160040fffff,4.6624827
113,891f1600413ffff,3.9495952
114,891f1600417ffff,10.94313
115,891f160041bffff,1.9032422
116,891f1600423ffff,2.1813972
117,891f1600427ffff,9.38028
118,891f160042bffff,1.8694334
119,891f160042fffff,6.2444024
120,891f1600433ffff,7.4219637
121,891f1600437ffff,7.641987
122,891f160043bffff,5.6360016
123,891f1600443ffff,9.505131
124,891f1600447ffff,3.3635046
125,891f160044bffff,9.87605
126,891f160044fffff,11.790282
127,891f1600453ffff,10.300754
128,891f1600457ffff,4.2296696
129,891f160045bffff,3.2740476
130,891f1600463ffff,2.224697
131,891f1600467ffff,2.0771792
132,891f160046bffff,1.6601887
133,891f160046fffff,1.1118152
134,891f1600473ffff,1.0
135,891f1600477ffff,3.9533792
136,891f160047bffff,4.0023017
137,891f1600483ffff,15.849075
138,891f1600487ffff,16.448286
139,891f160048bffff,5.1201296
140,891f160048fffff,12.039665
141,891f1600493ffff,17.022924
142,891f1600497ffff,18.775648
143,891f160049bffff,11.556657
144,891f16004a3ffff,2.564932
145,891f16004a7ffff,8.460072
146,891f16004abffff,5.8471403
147,891f16004afffff,6.0433674
148,891f16004b3ffff,10.042589
149,891f16004b7ffff,10.58472
150,891f16004bbffff,8.78221
151,891f16004c3ffff,4.393594
152,891f16004c7ffff,2.1825526
153,891f16004cbffff,12.365761
154,891f16004cfffff,7.377562
155,891f16004d3ffff,4.7975807
156,891f16004d7ffff,3.1208591
157,891f16004dbffff,12.356201
158,891f1600503ffff,6.444044
159,891f1600507ffff,10.744537
160,891f160050bffff,3.146024
161,891f160050fffff,7.5752134
162,891f1600513ffff,11.761058
163,891f1600517ffff,14.412637
164,891f160051bffff,4.0501995
165,891f160052bffff,11.970607
166,891f160052fffff,4.4770656
167,891f1600533ffff,6.7418857
168,891f1600537ffff,8.250304
169,891f160053bffff,5.523811
170,891f1600543ffff,3.557184
171,891f1600547ffff,6.146562
172,891f160054bffff,2.141418
173,891f160054fffff,2.5583007
174,891f1600553ffff,9.79852
175,891f1600557ffff,2.2422519
176,891f160055bffff,7.475029
177,891f1600563ffff,13.344841
178,891f1600567ffff,13.708315
179,891f160056bffff,6.5956416
180,891f160056fffff,5.602667
181,891f1600573ffff,10.397315
182,891f1600577ffff,11.938579
183,891f160057bffff,5.9747734
184,891f1600583ffff,13.143623
185,891f1600587ffff,13.062863
186,891f160058bffff,7.016162
187,891f160058fffff,16.485706
188,891f1600593ffff,8.927832
189,891f1600597ffff,11.009775
190,891f160059bffff,9.187129
191,891f16005a3ffff,1.8479515
192,891f16005a7ffff,1.934363
193,891f16005abffff,6.8535204
194,891f16005afffff,5.0318136
195,891f16005b3ffff,4.3995657
196,891f16005b7ffff,3.0632973
197,891f16005bbffff,9.892073
198,891f16005c3ffff,6.1097097
199,891f16005c7ffff,3.6158233
200,891f16005cbffff,12.36458
201,891f16005cfffff,4.165537
202,891f16005d3ffff,10.165479
203,891f16005d7ffff,2.5264232
204,891f16005dbffff,12.832595
205,891f1600603ffff,5.6527696
206,891f1600607ffff,8.716949
207,891f160060bffff,8.501775
208,891f160060fffff,13.647381
209,891f1600613ffff,2.947246
210,891f1600617ffff,2.3634694
211,891f160061bffff,2.3883007
212,891f1600623ffff,12.300229
213,891f1600627ffff,4.7878475
214,891f160062bffff,8.272884
215,891f160062fffff,8.71485
216,891f1600633ffff,12.815964
217,891f1600637ffff,4.614903
218,891f160063bffff,13.951348
219,891f1600643ffff,2.2599697
220,891f1600647ffff,3.5036893
221,891f160064bffff,2.436893
222,891f160064fffff,2.1275725
223,891f1600653ffff,5.0512533
224,891f1600657ffff,2.0798192
