,hex9,value
0,891f1600003ffff,5.944285
1,891f160000bffff,12.582495
2,891f160000fffff,10.242701
3,891f1600013ffff,6.0672097
4,891f1600017ffff,3.0
5,891f160001bffff,10.377538
6,891f1600027ffff,38.965782
7,891f160002bffff,26.535973
8,891f160002fffff,39.962257
9,891f1600037ffff,33.678562
10,891f160004bffff,3.1231248
11,891f1600053ffff,6.967414
12,891f1600057ffff,11.819898
13,891f160005bffff,2.2880518
14,891f1600063ffff,30.463093
15,891f1600067ffff,32.87661
16,891f160006fffff,28.388638
17,891f1600077ffff,25.924614
18,891f1600083ffff,1.0
19,891f1600087ffff,14.142136
20,891f160008bffff,5.6027846
21,891f160008fffff,8.935338
22,891f1600093ffff,4.6607294
23,891f1600097ffff,5.4440885
24,891f160009bffff,3.2975092
25,891f16000a3ffff,28.825304
26,891f16000a7ffff,33.447124
27,891f16000afffff,30.171167
28,891f16000b3ffff,19.416489
29,891f16000b7ffff,27.9755
30,891f16000bbffff,14.671561
31,891f16000c3ffff,3.416202
32,891f16000c7ffff,5.3043413
33,891f16000cbffff,3.175366
34,891f16000cfffff,4.595776
35,891f16000d3ffff,2.1100268
36,891f16000d7ffff,3.0134912
37,891f16000dbffff,6.8709745
38,891f1600183ffff,56.047497
39,891f1600187ffff,58.463665
40,891f160018bffff,54.002716
41,891f1600193ffff,46.96257
42,891f1600197ffff,55.13462
43,891f160019bffff,42.754707
44,891f16001c3ffff,46.746765
45,891f16001c7ffff,53.009434
46,891f16001cbffff,40.39282
47,891f16001d3ffff,39.007378
48,891f16001d7ffff,50.080708
49,891f16001dbffff,36.869396
50,891f1600203ffff,2.3395553
51,891f1600207ffff,11.048523
52,891f160020bffff,1.7765902
53,891f160020fffff,7.8706307
54,891f1600213ffff,2.1646116
55,891f1600217ffff,5.445449
56,891f160021bffff,3.3077624
57,891f1600223ffff,22.27904
58,891f1600227ffff,29.494661
59,891f160022bffff,23.277441
60,891f160022fffff,32.075672
61,891f1600233ffff,13.339402
62,891f1600237ffff,20.259287
63,891f160023bffff,16.142054
64,891f1600243ffff,11.664279
65,891f1600247ffff,4.0895195
66,891f160024bffff,4.404623
67,891f160024fffff,6.655966
68,891f1600253ffff,17.316694
69,891f1600257ffff,8.038239
70,891f160025bffff,10.186635
71,891f1600263ffff,8.698504
72,891f160026bffff,5.2534785
73,891f160026fffff,14.611059
74,891f1600273ffff,3.6033623
75,891f1600277ffff,12.9339
76,891f160027bffff,1.921329
77,891f1600283ffff,4.286001
78,891f1600287ffff,2.0655215
79,891f160028bffff,5.078251
80,891f160028fffff,2.8071847
81,891f1600293ffff,12.729718
82,891f1600297ffff,6.127023
83,891f160029bffff,12.7155695
84,891f16002afffff,14.084669
85,891f16002bbffff,2.0
86,891f16002c3ffff,18.87814
87,891f16002c7ffff,8.27792
88,891f16002cbffff,23.158176
89,891f16002cfffff,12.449409
90,891f16002d3ffff,25.849722
91,891f16002d7ffff,14.727082
92,891f16002dbffff,29.626566
93,891f1600343ffff,41.974964
94,891f160034bffff,44.59624
95,891f1600353ffff,35.92546
96,891f160035bffff,38.98928
97,891f1600383ffff,44.720554
98,891f160038bffff,40.32893
99,891f1600393ffff,40.53146
100,891f1600397ffff,42.358166
101,891f160039bffff,38.116222
102,891f16003c3ffff,27.046762
103,891f16003c7ffff,35.336395
104,891f16003cbffff,27.277578
105,891f16003cfffff,30.697798
106,891f16003d3ffff,21.344078
107,891f16003d7ffff,31.74581
108,891f16003dbffff,18.961842
109,891f1600403ffff,9.436905
110,891f1600407ffff,17.987984
111,891f160040bffff,3.1438723
112,891f160040fffff,8.850525
113,891f1600413ffff,7.6818705
114,891f1600417ffff,17.173573
115,891f160041bffff,2.661575
116,891f1600423ffff,8.69474
