,hex9,value
0,891f1600003ffff,22.36447
1,891f160000bffff,15.982718
2,891f160000fffff,21.600138
3,891f1600013ffff,26.448446
4,891f1600017ffff,32.091324
5,891f160001bffff,15.635295
6,891f1600027ffff,54.74602
7,891f160002bffff,31.867027
8,891f160002fffff,48.402134
9,891f1600037ffff,55.91983
10,891f160004bffff,1.3448876
11,891f1600053ffff,5.7824183
12,891f1600057ffff,7.7414255
13,891f160005bffff,4.448923
14,891f1600063ffff,24.0
15,891f1600067ffff,28.844946
16,891f160006fffff,28.570765
17,891f1600077ffff,27.280354
18,891f1600083ffff,43.734413
19,891f1600087ffff,43.382023
20,891f160008bffff,31.205702
21,891f160008fffff,35.867393
22,891f1600093ffff,45.5212
23,891f1600097ffff,54.669342
24,891f160009bffff,39.90204
25,891f16000a3ffff,58.254215
26,891f16000a7ffff,62.44873
27,891f16000afffff,55.010124
28,891f16000b3ffff,49.648766
29,891f16000b7ffff,63.10635
30,891f16000bbffff,44.697857
31,891f16000c3ffff,22.552557
32,891f16000c7ffff,21.800667
33,891f16000cbffff,16.284399
34,891f16000cfffff,12.301508
35,891f16000d3ffff,29.92327
36,891f16000d7ffff,31.775314
37,891f16000dbffff,25.405855
38,891f1600183ffff,102.56636
39,891f1600187ffff,106.21205
40,891f160018bffff,88.31637
41,891f1600193ffff,100.259186
42,891f1600197ffff,108.03177
43,891f160019bffff,91.66046
44,891f16001c3ffff,72.066795
45,891f16001c7ffff,84.31489
46,891f16001cbffff,60.956264
47,891f16001d3ffff,69.57864
48,891f16001d7ffff,80.44748
49,891f16001dbffff,61.413715
50,891f1600203ffff,3.248797
51,891f1600207ffff,2.76681
52,891f160020bffff,8.626089
53,891f160020fffff,2.2693467
54,891f1600213ffff,5.9553094
55,891f1600217ffff,1.0
56,891f160021bffff,11.934003
57,891f1600223ffff,17.023415
58,891f1600227ffff,28.159693
59,891f160022bffff,15.27222
60,891f160022fffff,25.63863
61,891f1600233ffff,12.9609585
62,891f1600237ffff,22.749516
63,891f160023bffff,8.1009865
64,891f1600243ffff,20.272854
65,891f1600247ffff,15.787839
66,891f160024bffff,13.585066
67,891f160024fffff,21.63688
68,891f1600253ffff,19.86069
69,891f1600257ffff,18.777771
70,891f160025bffff,10.70274
71,891f1600263ffff,11.32854
72,891f160026bffff,19.682749
73,891f160026fffff,19.463558
74,891f1600273ffff,5.639187
75,891f1600277ffff,6.0398088
76,891f160027bffff,15.7001705
77,891f1600283ffff,13.832756
78,891f1600287ffff,6.988373
79,891f160028bffff,12.383476
80,891f160028fffff,9.994695
81,891f1600293ffff,16.653746
82,891f1600297ffff,7.327981
83,891f160029bffff,14.071042
84,891f16002afffff,20.351809
85,891f16002bbffff,6.0
86,891f16002c3ffff,7.2813783
87,891f16002c7ffff,12.446045
88,891f16002cbffff,15.715472
89,891f16002cfffff,16.579777
90,891f16002d3ffff,2.5121112
91,891f16002d7ffff,7.0135636
92,891f16002dbffff,9.559896
93,891f1600343ffff,40.453533
94,891f160034bffff,38.689587
95,891f1600353ffff,37.06603
96,891f160035bffff,35.048077
97,891f1600383ffff,43.764668
98,891f160038bffff,42.107265
99,891f1600393ffff,40.26749
100,891f1600397ffff,47.970352
101,891f160039bffff,36.720985
102,891f16003c3ffff,35.663567
103,891f16003c7ffff,40.808178
104,891f16003cbffff,33.528275
105,891f16003cfffff,40.759987
106,891f16003d3ffff,28.639238
107,891f16003d7ffff,35.36208
108,891f16003dbffff,29.380163
109,891f1600403ffff,13.913111
110,891f1600407ffff,23.88327
111,891f160040bffff,14.5395155
112,891f160040fffff,19.638714
113,891f1600413ffff,10.266724
114,891f1600417ffff,19.947342
115,891f160041bffff,1.3480388
116,891f1600423ffff,40.47525
117,891f1600427ffff,51.35872
118,891f160042bffff,37.916813
119,891f160042fffff,47.63924
120,891f1600433ffff,34.604523
121,891f1600437ffff,45.668766
122,891f160043bffff,29.950304
123,891f1600443ffff,19.00307
124,891f1600447ffff,17.500986
125,891f160044bffff,29.037304
126,891f160044fffff,26.226295
127,891f1600453ffff,13.255926
128,891f1600457ffff,8.885557
129,891f160045bffff,23.720428
130,891f1600463ffff,31.490728
131,891f1600467ffff,36.806015
132,891f160046bffff,33.43291
133,891f160046fffff,37.961994
134,891f1600473ffff,21.326319
