,hex9,value
0,891f1655aa3ffff,2806.275
1,891f1655aa7ffff,2252.188
2,891f1655bd3ffff,1745.9441
3,891f1655bd7ffff,1219.2307
4,891f1655b8bffff,679.30005
5,891f1655ab7ffff,2419.7688
6,891f1655a87ffff,3544.081
7,891f1655ab3ffff,3007.0664
8,891f1655a93ffff,3810.864
9,891f1655a97ffff,3740.5652
10,891f165584bffff,3407.9448
11,891f165584fffff,2415.827
12,891f165586bffff,1879.7141
13,891f165586fffff,1321.867
14,891f1655b9bffff,815.3713
15,891f165587bffff,2048.4277
16,891f1655863ffff,1518.6565
17,891f1655867ffff,998.969
18,891f1655b93ffff,429.82465
19,891f1655847ffff,2179.1155
20,891f1655873ffff,1745.4827
21,891f1655877ffff,1246.0792
22,891f1655e87ffff,1035.4995
23,891f1655eb3ffff,1446.4185
24,891f1655eb7ffff,1882.8828
25,891f165582bffff,718.7764
26,891f165580bffff,2043.0947
27,891f165580fffff,1514.594
28,891f165583bffff,997.897
29,891f1655823ffff,457.051
30,891f165581bffff,2156.9143
31,891f1655803ffff,1804.9026
32,891f1655807ffff,1265.6255
33,891f1655833ffff,738.1844
34,891f1655837ffff,212.25406
35,891f1655857ffff,2422.9727
36,891f1655c6bffff,2041.4673
37,891f1655c6fffff,2057.7114
38,891f165589bffff,2041.7394
39,891f1655c7bffff,1698.1569
40,891f1655c63ffff,1704.1613
41,891f1655c67ffff,1722.2859
42,891f1655893ffff,1901.3549
43,891f1655c73ffff,1255.3623
44,891f1655c77ffff,1261.3931
45,891f1655167ffff,209.326
46,891f1655e93ffff,238.29794
47,891f1655177ffff,449.18292
48,891f165512bffff,192.081
49,891f165513bffff,488.37888
50,891f1655123ffff,291.25217
51,891f1655133ffff,486.32483
52,891f16551abffff,153.21765
53,891f16551afffff,554.2897
54,891f165722bffff,1092.5033
55,891f1657227ffff,1512.6201
56,891f1657237ffff,1065.3776
57,891f16573cbffff,1544.7898
58,891f165723bffff,576.0967
59,891f1657223ffff,1006.6507
60,891f1657207ffff,173.95184
61,891f1657233ffff,623.7469
62,891f1657217ffff,304.65933
63,891f16572abffff,184.78964
64,891f16572afffff,654.2917
65,891f16572a3ffff,246.9669
66,891f1657287ffff,629.7514
67,891f16572b3ffff,186.3163
68,891f16572b7ffff,228.99307
69,891f1655817ffff,1409.6222
70,891f16558abffff,1031.8751
71,891f16558afffff,522.6863
72,891f165588fffff,1991.6295
73,891f16558a3ffff,927.5448
74,891f16558a7ffff,399.367
75,891f1655883ffff,2102.9456
76,891f1655887ffff,1797.154
77,891f16558b3ffff,1292.5121
78,891f16558b7ffff,823.7284
79,891f1655e97ffff,661.67365
80,891f1655c4bffff,1020.8121
81,891f1655c4fffff,1447.7085
82,891f165512fffff,203.98486
83,891f1655c5bffff,576.5008
84,891f1655c43ffff,998.58075
85,891f1655c47ffff,1250.9691
86,891f1655127ffff,147.9221
87,891f1655c53ffff,497.90894
88,891f1655c57ffff,804.53564
89,891f1655897ffff,1771.4783
90,891f1655d4bffff,1539.0077
