,hex9,value,color
0,891f1600093ffff,42.561573,"[158, 46, 126]"
1,891f1600097ffff,42.61382,"[158, 46, 126]"
2,891f16000a3ffff,56.029152,"[85, 19, 125]"
3,891f16000a7ffff,58.40406,"[72, 16, 120]"
4,891f16000afffff,63.51378,"[42, 17, 92]"
5,891f16000b7ffff,54.03573,"[96, 24, 127]"
6,891f1600183ffff,67.219536,"[23, 15, 60]"
7,891f160018bffff,68.50075,"[18, 13, 51]"
8,891f1600193ffff,61.080322,"[55, 15, 108]"
9,891f1600197ffff,64.84527,"[34, 17, 80]"
10,891f160019bffff,59.548298,"[66, 15, 116]"
11,891f16001c3ffff,65.85776,"[30, 16, 73]"
12,891f16001cbffff,68.255264,"[20, 13, 53]"
13,891f16001d3ffff,60.757626,"[57, 15, 110]"
14,891f16001dbffff,63.54415,"[42, 17, 92]"
15,891f1600237ffff,36.72277,"[190, 57, 118]"
16,891f160024bffff,1.7331359,"[251, 249, 187]"
17,891f160026bffff,12.939792,"[254, 179, 123]"
18,891f160026fffff,18.02793,"[252, 146, 101]"
19,891f16002afffff,36.77975,"[190, 57, 118]"
20,891f16003c3ffff,44.85514,"[145, 42, 128]"
21,891f16003cbffff,40.5763,"[169, 50, 124]"
22,891f16003d3ffff,47.03595,"[133, 38, 129]"
23,891f16003d7ffff,47.894142,"[129, 37, 129]"
24,891f16003dbffff,40.111454,"[171, 51, 124]"
25,891f1600403ffff,27.98515,"[234, 85, 96]"
26,891f1600407ffff,28.722046,"[230, 81, 98]"
27,891f160040fffff,32.911346,"[211, 66, 109]"
28,891f1600413ffff,23.902315,"[245, 108, 91]"
29,891f1600417ffff,24.064064,"[245, 106, 91]"
30,891f160041bffff,29.413559,"[228, 78, 100]"
31,891f1600423ffff,34.779335,"[202, 62, 114]"
32,891f1600427ffff,36.51037,"[192, 58, 117]"
33,891f160042bffff,37.960087,"[184, 55, 120]"
34,891f160042fffff,39.73277,"[174, 52, 123]"
35,891f1600433ffff,29.572058,"[226, 77, 101]"
36,891f1600437ffff,31.560064,"[218, 71, 105]"
37,891f160043bffff,33.726883,"[206, 64, 112]"
38,891f1600443ffff,38.539173,"[181, 54, 121]"
39,891f1600447ffff,37.786026,"[184, 55, 120]"
40,891f160044bffff,43.47035,"[153, 45, 127]"
41,891f160044fffff,42.226765,"[159, 47, 126]"
42,891f1600453ffff,34.79426,"[202, 62, 114]"
43,891f1600457ffff,33.523262,"[208, 65, 111]"
44,891f160045bffff,40.20731,"[171, 51, 124]"
45,891f1600463ffff,40.89608,"[167, 49, 125]"
46,891f1600467ffff,41.018772,"[166, 49, 125]"
47,891f160046bffff,45.54145,"[141, 41, 128]"
48,891f1600473ffff,37.611618,"[185, 55, 120]"
49,891f1600477ffff,37.117218,"[189, 57, 119]"
50,891f160047bffff,41.621433,"[163, 48, 126]"
51,891f1600483ffff,15.44714,"[253, 162, 111]"
52,891f1600487ffff,15.426177,"[253, 162, 111]"
53,891f160048bffff,19.780954,"[251, 134, 96]"
54,891f160048fffff,19.686419,"[251, 134, 96]"
55,891f1600493ffff,11.235735,"[254, 188, 130]"
56,891f1600497ffff,11.00017,"[254, 190, 131]"
57,891f160049bffff,16.052423,"[253, 159, 108]"
58,891f16004a3ffff,21.93998,"[249, 121, 92]"
59,891f16004a7ffff,23.884623,"[245, 108, 91]"
60,891f16004abffff,24.658262,"[243, 103, 91]"
61,891f16004afffff,26.64571,"[238, 93, 93]"
62,891f16004b3ffff,16.746841,"[253, 153, 105]"
63,891f16004b7ffff,18.589727,"[252, 142, 99]"
64,891f16004bbffff,20.222925,"[251, 132, 96]"
65,891f16004c3ffff,26.666605,"[238, 91, 94]"
66,891f16004c7ffff,24.757341,"[243, 103, 91]"
67,891f16004cbffff,31.705103,"[217, 70, 106]"
68,891f16004cfffff,29.9743,"[225, 76, 102]"
69,891f16004d3ffff,22.526316,"[248, 117, 92]"
70,891f16004d7ffff,20.466919,"[250, 130, 95]"
71,891f16004dbffff,27.723732,"[235, 86, 96]"
72,891f1600503ffff,42.7468,"[156, 46, 127]"
73,891f1600507ffff,46.974667,"[133, 38, 129]"
74,891f160050bffff,44.27072,"[148, 43, 128]"
75,891f160050fffff,47.631413,"[130, 37, 129]"
76,891f1600513ffff,38.135185,"[182, 54, 121]"
77,891f1600517ffff,42.079247,"[161, 47, 126]"
78,891f160051bffff,39.222237,"[176, 52, 123]"
79,891f1600533ffff,50.862797,"[111, 30, 129]"
80,891f1600537ffff,54.681717,"[91, 22, 126]"
81,891f160053bffff,50.769608,"[113, 31, 129]"
82,891f1600543ffff,43.758163,"[151, 44, 127]"
83,891f1600547ffff,46.118202,"[138, 40, 129]"
84,891f160054bffff,44.65935,"[146, 43, 128]"
85,891f160054fffff,48.148773,"[127, 36, 129]"
86,891f1600553ffff,38.502007,"[181, 54, 121]"
87,891f1600557ffff,41.2575,"[164, 48, 125]"
88,891f160055bffff,41.830906,"[161, 47, 126]"
89,891f1600563ffff,54.112556,"[94, 23, 127]"
90,891f1600567ffff,57.314037,"[77, 17, 122]"
91,891f160056bffff,56.36359,"[83, 19, 124]"
92,891f160056fffff,59.033646,"[67, 15, 117]"
93,891f1600573ffff,49.210136,"[121, 34, 129]"
94,891f1600577ffff,52.568592,"[104, 27, 128]"
95,891f160057bffff,51.203682,"[110, 30, 129]"
96,891f1600583ffff,33.21086,"[209, 66, 110]"
97,891f1600587ffff,38.369312,"[181, 54, 121]"
98,891f160058bffff,33.388092,"[208, 65, 111]"
99,891f160058fffff,37.44499,"[185, 55, 120]"
100,891f1600593ffff,26.748241,"[238, 91, 94]"
101,891f1600597ffff,37.107952,"[189, 57, 119]"
102,891f160059bffff,28.762243,"[230, 81, 98]"
103,891f16005a3ffff,47.00826,"[133, 38, 129]"
104,891f16005a7ffff,51.712852,"[108, 29, 128]"
105,891f16005abffff,46.306282,"[137, 40, 129]"
106,891f16005afffff,51.071667,"[111, 30, 129]"
107,891f16005b3ffff,42.859318,"[156, 46, 127]"
108,891f16005b7ffff,47.75449,"[129, 37, 129]"
