,hex9,value,color
0,891f1600093ffff,47.06223,"[254, 179, 123]"
1,891f1600097ffff,46.6179,"[254, 181, 124]"
2,891f16000a3ffff,35.047237,"[254, 199, 139]"
3,891f16000a7ffff,34.196274,"[254, 199, 139]"
4,891f16000afffff,28.284271,"[253, 210, 149]"
5,891f16000b7ffff,37.649605,"[254, 194, 134]"
6,891f1600183ffff,42.73964,"[254, 187, 128]"
7,891f160018bffff,37.755665,"[254, 194, 134]"
8,891f1600193ffff,45.798065,"[254, 181, 124]"
9,891f1600197ffff,47.118904,"[254, 179, 123]"
10,891f160019bffff,42.0,"[254, 188, 130]"
11,891f16001c3ffff,30.0,"[253, 207, 146]"
12,891f16001cbffff,26.12745,"[253, 212, 151]"
13,891f16001d3ffff,33.73728,"[254, 201, 141]"
14,891f16001dbffff,29.58404,"[253, 207, 146]"
15,891f1600237ffff,14.303502,"[252, 232, 170]"
16,891f160024bffff,47.99374,"[254, 177, 121]"
17,891f160026bffff,36.14223,"[254, 198, 137]"
18,891f160026fffff,31.633045,"[253, 205, 144]"
19,891f16002afffff,16.695814,"[252, 229, 166]"
20,891f16003c3ffff,9.570731,"[252, 240, 177]"
21,891f16003cbffff,10.086265,"[252, 240, 177]"
22,891f16003d3ffff,12.506402,"[252, 234, 172]"
23,891f16003d7ffff,9.963981,"[252, 240, 177]"
24,891f16003dbffff,13.816845,"[252, 232, 170]"
25,891f1600403ffff,64.51079,"[253, 151, 104]"
26,891f1600407ffff,61.738594,"[253, 155, 106]"
27,891f160040fffff,59.257645,"[253, 159, 108]"
28,891f1600413ffff,69.259636,"[252, 144, 100]"
29,891f1600417ffff,66.876884,"[252, 147, 102]"
30,891f160041bffff,67.76668,"[252, 146, 101]"
31,891f1600423ffff,54.488457,"[254, 168, 115]"
32,891f1600427ffff,53.112904,"[254, 170, 116]"
33,891f160042bffff,51.918663,"[254, 172, 117]"
34,891f160042fffff,49.49199,"[254, 175, 120]"
35,891f1600433ffff,59.73851,"[253, 159, 108]"
36,891f1600437ffff,57.91696,"[253, 162, 111]"
37,891f160043bffff,56.387768,"[253, 164, 112]"
38,891f1600443ffff,64.4409,"[253, 151, 104]"
39,891f1600447ffff,60.529594,"[253, 157, 107]"
40,891f160044bffff,63.42638,"[253, 153, 105]"
41,891f160044fffff,59.58613,"[253, 159, 108]"
42,891f1600453ffff,69.202995,"[252, 144, 100]"
43,891f1600457ffff,65.44557,"[253, 149, 103]"
44,891f160045bffff,68.16493,"[252, 146, 101]"
45,891f1600463ffff,51.97477,"[254, 172, 117]"
46,891f1600467ffff,50.037197,"[254, 175, 120]"
47,891f160046bffff,53.01564,"[254, 170, 116]"
48,891f1600473ffff,57.536434,"[253, 162, 111]"
49,891f1600477ffff,54.50426,"[254, 168, 115]"
50,891f160047bffff,56.220123,"[253, 164, 112]"
51,891f1600483ffff,76.662,"[250, 130, 95]"
52,891f1600487ffff,74.447754,"[251, 134, 96]"
53,891f160048bffff,74.39684,"[251, 134, 96]"
54,891f160048fffff,71.768394,"[251, 138, 98]"
55,891f1600493ffff,81.549774,"[249, 123, 93]"
56,891f1600497ffff,79.42784,"[250, 127, 94]"
57,891f160049bffff,79.253525,"[250, 127, 94]"
58,891f16004a3ffff,67.40438,"[252, 146, 101]"
59,891f16004a7ffff,66.118385,"[252, 147, 102]"
60,891f16004abffff,64.74741,"[253, 151, 104]"
61,891f16004afffff,62.745857,"[253, 153, 105]"
62,891f16004b3ffff,72.55548,"[251, 138, 98]"
63,891f16004b7ffff,71.230515,"[252, 140, 99]"
64,891f16004bbffff,69.38411,"[252, 144, 100]"
65,891f16004c3ffff,75.40852,"[251, 132, 96]"
66,891f16004c7ffff,73.09272,"[251, 136, 97]"
67,891f16004cbffff,73.90598,"[251, 136, 97]"
68,891f16004cfffff,70.53356,"[252, 142, 99]"
69,891f16004d3ffff,80.58453,"[249, 125, 93]"
70,891f16004d7ffff,77.60142,"[250, 128, 94]"
71,891f16004dbffff,78.84267,"[250, 127, 94]"
72,891f1600503ffff,56.00227,"[253, 164, 112]"
73,891f1600507ffff,56.71721,"[253, 164, 112]"
74,891f160050bffff,51.35348,"[254, 172, 117]"
75,891f160050fffff,51.835915,"[254, 172, 117]"
76,891f1600513ffff,60.03996,"[253, 159, 108]"
77,891f1600517ffff,60.80081,"[253, 157, 107]"
78,891f160051bffff,55.693146,"[254, 166, 113]"
79,891f1600533ffff,58.330067,"[253, 161, 110]"
80,891f1600537ffff,59.868656,"[253, 159, 108]"
81,891f160053bffff,52.333332,"[254, 172, 117]"
82,891f1600543ffff,47.170193,"[254, 179, 123]"
83,891f1600547ffff,46.888622,"[254, 179, 123]"
84,891f160054bffff,45.316364,"[254, 183, 125]"
85,891f160054fffff,43.74114,"[254, 185, 127]"
86,891f1600553ffff,52.100063,"[254, 172, 117]"
87,891f1600557ffff,51.25125,"[254, 172, 117]"
88,891f160055bffff,47.89517,"[254, 177, 121]"
89,891f1600563ffff,43.02495,"[254, 187, 128]"
90,891f1600567ffff,44.056194,"[254, 185, 127]"
91,891f160056bffff,38.113377,"[254, 194, 134]"
92,891f160056fffff,38.81818,"[254, 192, 133]"
93,891f1600573ffff,47.05297,"[254, 179, 123]"
94,891f1600577ffff,48.13683,"[254, 177, 121]"
95,891f160057bffff,42.481766,"[254, 187, 128]"
96,891f1600583ffff,68.07705,"[252, 146, 101]"
97,891f1600587ffff,68.93331,"[252, 144, 100]"
98,891f160058bffff,64.39362,"[253, 151, 104]"
99,891f160058fffff,64.725,"[253, 151, 104]"
100,891f1600593ffff,72.8578,"[251, 138, 98]"
101,891f1600597ffff,72.06247,"[251, 138, 98]"
102,891f160059bffff,68.60247,"[252, 144, 100]"
103,891f16005a3ffff,66.32172,"[252, 147, 102]"
104,891f16005a7ffff,67.55648,"[252, 146, 101]"
105,891f16005abffff,61.761906,"[253, 155, 106]"
106,891f16005afffff,62.968185,"[253, 153, 105]"
107,891f16005b3ffff,70.045456,"[252, 142, 99]"
108,891f16005b7ffff,71.536446,"[252, 140, 99]"
109,891f16005bbffff,65.535995,"[253, 149, 103]"
110,891f16005c3ffff,60.388817,"[253, 157, 107]"
111,891f16005c7ffff,60.02365,"[253, 159, 108]"
112,891f16005cbffff,56.362457,"[253, 164, 112]"
113,891f16005cfffff,55.80818,"[253, 164, 112]"
114,891f16005d3ffff,65.24196,"[253, 149, 103]"
115,891f16005d7ffff,64.64911,"[253, 151, 104]"
116,891f16005dbffff,61.2854,"[253, 157, 107]"
117,891f1600603ffff,58.892277,"[253, 161, 110]"
118,891f1600607ffff,56.369724,"[253, 164, 112]"
119,891f160060bffff,58.93829,"[253, 161, 110]"
120,891f160060fffff,56.310623,"[253, 164, 112]"
121,891f1600613ffff,63.163616,"[253, 153, 105]"
122,891f1600617ffff,58.66784,"[253, 161, 110]"
123,891f160061bffff,63.258152,"[253, 153, 105]"
124,891f1600643ffff,64.83043,"[253, 151, 104]"
125,891f1600647ffff,60.069824,"[253, 159, 108]"
126,891f160064bffff,66.461105,"[252, 147, 102]"
127,891f160064fffff,61.131912,"[253, 157, 107]"
128,891f1600653ffff,69.16478,"[252, 144, 100]"
129,891f1600657ffff,63.952126,"[253, 151, 104]"
130,891f160065bffff,70.05696,"[252, 142, 99]"
131,891f1600673ffff,56.69158,"[253, 164, 112]"
132,891f160067bffff,57.415527,"[253, 162, 111]"
133,891f1600683ffff,67.663765,"[252, 146, 101]"
134,891f1600687ffff,63.285572,"[253, 153, 105]"
135,891f160068bffff,67.601776,"[252, 146, 101]"
136,891f160068fffff,63.132336,"[253, 153, 105]"
137,891f1600693ffff,72.17802,"[251, 138, 98]"
138,891f1600697ffff,67.67523,"[252, 146, 101]"
139,891f160069bffff,71.98909,"[251, 138, 98]"
140,891f16006a3ffff,55.171368,"[254, 166, 113]"
141,891f16006abffff,56.544533,"[253, 164, 112]"
142,891f16006b3ffff,58.7611,"[253, 161, 110]"
143,891f16006b7ffff,54.81066,"[254, 166, 113]"
