hex9,value
896d424951bffff,5
89588d52d97ffff,5
8956510a24fffff,5
899160175cbffff,5
8956510a24fffff,5
89d226d3277ffff,10
89d5580a847ffff,10
89d79664397ffff,5
892e928032bffff,5
891a1459253ffff,15
894240d0cbbffff,15
8934a96e0cfffff,5
89330b4eaabffff,20
8944464066fffff,65
8902dcc43abffff,5
8904a9342a3ffff,25
8907053499bffff,30
89c89650e67ffff,5
89bee2ca8abffff,30
89c10b4838fffff,50
89b198b2b6bffff,35
89dc4ea0593ffff,35
89da1039a93ffff,80
89e09021b93ffff,45
89cf632890fffff,20
891892c2133ffff,70
8921525633bffff,60
891e63096d3ffff,25
8916c5d36afffff,75
89272954917ffff,80
8940137586bffff,45
894db1b0957ffff,50
8948e1d703bffff,55
893c0db4b0bffff,45
8936a98dcc7ffff,55
89470a4f407ffff,10
8939918e86fffff,45
893a0000c1bffff,20
892f252f2b3ffff,25
89eaec2d653ffff,40
89e894a3687ffff,65
89f36408a57ffff,55
89e70c6208bffff,10
89f094096a7ffff,55
893fb43068fffff,20
89eef5b1383ffff,10
89e75dba673ffff,50
89e98ea5573ffff,45
89ed769a6abffff,40
89e562a7443ffff,45
89e894a3687ffff,15
89f094096a7ffff,10
89eaec2d653ffff,5
899aa86e947ffff,10
89e914d254fffff,15
89ec00b050bffff,15
898ea08f5d3ffff,60
89830868a6fffff,75
899eb024043ffff,25
898da99742bffff,60
8984c195c67ffff,60
8989a968a2fffff,70
890326233abffff,80
890326233abffff,100
89830868a6fffff,75
89991a95b17ffff,15
8992a430b37ffff,40
897b2098d03ffff,40
899ca665ecbffff,65
898ea08f5d3ffff,25
898da99742bffff,65
89871e1b447ffff,25
890326233abffff,20
890326233abffff,10
890326233abffff,80
890326233abffff,85
890326233abffff,30
890326233abffff,15
890326233abffff,25
890326233abffff,105
890326233abffff,15
890326233abffff,85
890326233abffff,35
890326233abffff,50
89cd2a9a67bffff,15
89180844153ffff,55
8927b041ab7ffff,65
892e928032bffff,50
89cfa312d43ffff,30
89d75c6c53bffff,45
89d80d336d7ffff,35
89d5580a847ffff,35
8922e0d0ccfffff,80
8925326c66fffff,135
890e4bd900bffff,70
891e63096d3ffff,100
8914aa30ccfffff,75
893fb43068fffff,120
890326233abffff,15
8992a430b37ffff,5
899ca665ecbffff,5
894240d0cbbffff,105
8934a96e0cfffff,75
891093b761bffff,75
8927b041ab7ffff,155
892f252f2b3ffff,10
893a0000c1bffff,75
8944464066fffff,80
8936a98dcc7ffff,85
892c9bda297ffff,100
8940137586bffff,95
89f36408a57ffff,85
89e562a7443ffff,125
89f0cbc466bffff,135
89e98ea5573ffff,50
89470a4f407ffff,10
894240d0cbbffff,130
89330b4eaabffff,95
8934a96e0cfffff,65
89e894a3687ffff,10
89e12599a0fffff,140
89eef5b1383ffff,180
8992a430b37ffff,90
898da99742bffff,15
899ca665ecbffff,125
89ec00b050bffff,55
89ee46c292fffff,155
89e75dba673ffff,35
89ed769a6abffff,135
89991a95b17ffff,150
899160175cbffff,145
899aa86e947ffff,60
898b43ae56bffff,120
89961e55923ffff,105
89871e1b447ffff,100
89947150457ffff,95
