hex9,value
8919682c923ffff,5
8919682c92bffff,15
8919682c92fffff,5
8919682c933ffff,5
8919682c937ffff,0
8919682c967ffff,50
8919682c9afffff,0
89196940047ffff,0
89196940053ffff,0
89196940067ffff,0
89196940073ffff,0
89196940077ffff,0
89196940083ffff,5
8919694008bffff,10
891969400c3ffff,20
891969400c7ffff,10
891969400d3ffff,70
891969400d7ffff,65
89196940103ffff,0
8919694010fffff,0
89196940117ffff,0
8919694014bffff,0
8919694014fffff,40
8919694016bffff,0
89196940173ffff,0
8919694017bffff,10
89196940187ffff,0
8919694018fffff,0
891969401b3ffff,5
891969401bbffff,0
89196940213ffff,0
89196940243ffff,0
89196940247ffff,0
8919694024bffff,0
8919694024fffff,0
8919694025bffff,5
8919694028fffff,0
89196940303ffff,15
89196940307ffff,85
8919694030fffff,0
89196940317ffff,60
89196940323ffff,120
89196940327ffff,0
8919694032bffff,95
8919694032fffff,95
89196940333ffff,135
89196940337ffff,0
8919694033bffff,100
89196940367ffff,5
89196940377ffff,55
89196940387ffff,0
89196940393ffff,0
89196940397ffff,0
891969403a3ffff,80
891969403a7ffff,10
891969403abffff,45
891969403afffff,55
891969403b3ffff,45
891969403b7ffff,40
891969403bbffff,65
8919694040bffff,0
89196940437ffff,0
8919694043bffff,0
8919694044bffff,0
8919694046bffff,5
8919694046fffff,0
891969404b7ffff,0
89196940507ffff,0
8919694053bffff,0
891969405a7ffff,5
891969405d3ffff,0
891969405dbffff,0
8919694060fffff,0
89196940613ffff,0
8919694061bffff,40
89196940633ffff,5
89196940653ffff,40
89196940657ffff,0
89196940683ffff,0
89196940687ffff,20
89196940693ffff,0
89196940697ffff,10
891969406a7ffff,75
891969406b3ffff,20
891969406b7ffff,5
891969406bbffff,15
891969406c3ffff,105
891969406c7ffff,55
891969406cbffff,110
891969406cfffff,50
891969406d3ffff,5
891969406dbffff,35
8919694080bffff,0
8919694081bffff,5
89196940847ffff,0
8919694084fffff,0
89196940a17ffff,0
89196940a23ffff,0
89196940a2bffff,0
89196940a33ffff,0
89196940a3bffff,0
89196940a67ffff,0
89196940a6bffff,0
89196940a6fffff,0
89196940a77ffff,0
89196940aa3ffff,0
89196940aabffff,0
89196940aafffff,0
89196940ab7ffff,0
89196940ad3ffff,10
89196940b97ffff,0
89196940c07ffff,0
89196940c0fffff,0
89196940c6bffff,0
89196940c77ffff,0
89196940ca3ffff,0
89196940d97ffff,0
89196940e4bffff,20
89196940e5bffff,25
89196940ed3ffff,0
89196940edbffff,0
89196941027ffff,30
89196941037ffff,10
89196941077ffff,0
8919694108bffff,0
8919694109bffff,10
891969410afffff,0
891969410b3ffff,0
891969410b7ffff,0
89196941103ffff,45
8919694110bffff,35
8919694110fffff,30
89196941117ffff,0
8919694111bffff,10
89196941127ffff,0
89196941137ffff,0
89196941143ffff,110
89196941147ffff,65
8919694114bffff,0
89196941153ffff,80
89196941157ffff,70
8919694115bffff,25
89196941173ffff,0
8919694118fffff,0
891969411a3ffff,0
891969411a7ffff,5
891969411afffff,0
891969411b3ffff,10
891969411b7ffff,0
891969411bbffff,0
891969411c3ffff,20
891969411c7ffff,20
891969411cbffff,65
891969411cfffff,80
891969411d3ffff,0
891969411d7ffff,0
89196941217ffff,0
89196941323ffff,5
89196941327ffff,10
8919694132bffff,90
8919694132fffff,215
89196941337ffff,0
8919694133bffff,0
8919694134fffff,0
89196941363ffff,80
89196941367ffff,85
8919694136bffff,110
8919694136fffff,120
89196941373ffff,0
89196941377ffff,5
8919694137bffff,0
891969413b3ffff,0
89196941403ffff,0
89196941407ffff,50
8919694140fffff,55
89196941417ffff,15
89196941423ffff,0
8919694142bffff,5
89196941433ffff,35
8919694143bffff,65
89196941467ffff,0
8919694146bffff,0
8919694146fffff,0
89196941473ffff,0
89196941477ffff,45
891969414a3ffff,0
891969414abffff,50
891969414afffff,25
891969414b3ffff,5
89196941503ffff,25
89196941507ffff,0
8919694150fffff,0
89196941513ffff,0
89196941517ffff,0
8919694151bffff,35
89196941523ffff,0
89196941527ffff,5
89196941533ffff,0
89196941537ffff,15
8919694153bffff,0
89196941543ffff,0
89196941547ffff,0
8919694154fffff,0
89196941557ffff,0
89196941563ffff,5
8919694156bffff,0
8919694156fffff,0
89196941573ffff,0
8919694157bffff,0
89196941583ffff,0
8919694158bffff,0
89196941593ffff,0
8919694159bffff,0
891969415abffff,5
891969415afffff,0
891969415bbffff,0
891969415c7ffff,0
891969415cfffff,0
891969415d7ffff,5
89196941603ffff,5
89196941607ffff,0
8919694160bffff,10
8919694160fffff,45
8919694161bffff,5
89196941633ffff,0
89196941657ffff,0
89196941673ffff,0
891969416a3ffff,0
891969416abffff,0
891969416b7ffff,0
891969416c3ffff,0
891969416c7ffff,15
891969416cfffff,20
89196941803ffff,0
89196941883ffff,0
89196941887ffff,0
89196941893ffff,5
89196941897ffff,0
8919694189bffff,15
8919694196fffff,0
89196941987ffff,0
89196941a23ffff,0
89196941a27ffff,0
89196941a2bffff,0
89196941a2fffff,5
89196941a4bffff,70
89196941a4fffff,25
89196941a5bffff,55
89196941a67ffff,5
89196941a6bffff,30
89196941a6fffff,0
89196941b03ffff,0
89196941b0bffff,0
89196941b17ffff,0
89196941b1bffff,0
89196941b4bffff,0
89196941b53ffff,0
89196941b57ffff,0
89196941b5bffff,0
89196941ba3ffff,0
89196941ba7ffff,5
89196941bcfffff,0
89196941c27ffff,0
89196941c43ffff,5
89196941c47ffff,5
89196941c53ffff,0
89196941c63ffff,0
89196941c67ffff,15
89196941c73ffff,0
89196941c7bffff,0
89196941ca7ffff,0
89196941cb7ffff,0
89196941ccbffff,0
89196941ccfffff,0
89196941cdbffff,0
89196941d33ffff,5
89196941d37ffff,0
89196941d4bffff,0
89196941d4fffff,0
89196941d73ffff,0
89196941d77ffff,0
89196941d7bffff,0
89196941d87ffff,0
89196941d93ffff,15
89196941d97ffff,55
89196941da3ffff,15
89196941da7ffff,30
89196941dabffff,0
89196941dafffff,5
89196941db3ffff,0
89196941db7ffff,0
89196941dd3ffff,0
89196941e03ffff,0
89196941e43ffff,110
89196941e47ffff,15
89196941e4bffff,185
89196941e4fffff,100
89196941e53ffff,25
89196941e5bffff,110
89196941e67ffff,0
89196941e77ffff,0
89196941e8bffff,0
89196941e9bffff,0
89196941ecbffff,0
8919694230bffff,0
89196942323ffff,0
8919694232bffff,0
89196942343ffff,0
89196942347ffff,0
89196942357ffff,0
8919694235bffff,0
89196942363ffff,0
8919694236fffff,0
89196942373ffff,0
8919694237bffff,0
8919694282bffff,0
8919694283bffff,0
89196942843ffff,0
89196942847ffff,0
8919694284bffff,0
8919694284fffff,0
89196942853ffff,0
89196942857ffff,0
8919694285bffff,0
8919694286bffff,0
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,0
891969429d7ffff,0
89196942a0bffff,0
89196942a13ffff,10
89196942a17ffff,5
89196942a1bffff,10
89196942a43ffff,5
89196942a47ffff,0
89196942a4bffff,0
89196942a53ffff,45
89196942a57ffff,45
89196942a83ffff,0
89196942a87ffff,0
89196942a8bffff,5
89196942a8fffff,0
89196942a97ffff,0
89196942abbffff,5
89196942ac3ffff,0
89196942acbffff,5
89196942acfffff,55
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,5
89196942b87ffff,0
89196942b8bffff,0
89196942b8fffff,0
89196942b93ffff,0
89196942b9bffff,0
89196942ba3ffff,0
89196942babffff,0
89196942bbbffff,0
89196942bc7ffff,0
89196942e0bffff,0
89196942e0fffff,0
89196942e2fffff,5
89196942e33ffff,0
89196942e43ffff,0
89196942e47ffff,0
89196942e4fffff,0
89196942e57ffff,0
89196942e73ffff,10
89196942e77ffff,0
89196943033ffff,0
89196943037ffff,0
8919694303bffff,0
89196943063ffff,0
89196943067ffff,0
8919694306fffff,0
89196943077ffff,0
891969430a3ffff,0
891969430afffff,0
891969430b7ffff,0
89196943103ffff,0
8919694316bffff,5
89196943173ffff,0
8919694317bffff,0
89196943183ffff,0
8919694318fffff,0
89196943193ffff,0
89196943197ffff,0
8919694320fffff,0
89196943233ffff,0
8919694323bffff,5
89196943243ffff,0
89196943247ffff,0
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,0
89196943327ffff,10
8919694332bffff,0
89196943337ffff,5
89196943363ffff,0
89196943367ffff,0
8919694337bffff,0
89196943387ffff,0
89196943393ffff,0
891969433a3ffff,0
891969433a7ffff,0
891969433afffff,25
891969433b7ffff,0
891969433c3ffff,0
891969433cfffff,0
891969433d7ffff,0
89196943513ffff,0
89196943517ffff,0
8919694351bffff,0
89196943543ffff,0
89196943547ffff,0
