hex9,value
8919682c923ffff,40
8919682c92bffff,220
8919682c92fffff,150
8919682c933ffff,25
8919682c937ffff,10
8919682c967ffff,270
8919682c9afffff,50
89196940047ffff,5
89196940053ffff,10
89196940067ffff,5
89196940073ffff,5
89196940077ffff,10
89196940083ffff,5
8919694008bffff,100
891969400c3ffff,125
891969400c7ffff,80
891969400d3ffff,525
891969400d7ffff,365
89196940103ffff,10
8919694010fffff,5
89196940117ffff,15
8919694014bffff,5
8919694014fffff,325
8919694016bffff,15
89196940173ffff,5
8919694017bffff,75
89196940187ffff,30
8919694018fffff,15
891969401b3ffff,35
891969401bbffff,65
89196940213ffff,5
89196940243ffff,5
89196940247ffff,5
8919694024bffff,55
8919694024fffff,15
8919694025bffff,70
8919694028fffff,5
89196940303ffff,205
89196940307ffff,440
8919694030fffff,45
89196940317ffff,300
89196940323ffff,610
89196940327ffff,105
8919694032bffff,560
8919694032fffff,680
89196940333ffff,620
89196940337ffff,255
8919694033bffff,465
89196940367ffff,110
89196940377ffff,370
89196940387ffff,25
89196940393ffff,20
89196940397ffff,5
891969403a3ffff,405
891969403a7ffff,130
891969403abffff,225
891969403afffff,580
891969403b3ffff,240
891969403b7ffff,365
891969403bbffff,250
8919694040bffff,5
89196940437ffff,5
8919694043bffff,5
8919694044bffff,5
8919694046bffff,35
8919694046fffff,15
891969404b7ffff,5
89196940507ffff,10
8919694053bffff,5
891969405a7ffff,20
891969405d3ffff,5
891969405dbffff,10
8919694060fffff,10
89196940613ffff,5
8919694061bffff,275
89196940633ffff,10
89196940653ffff,140
89196940657ffff,30
89196940683ffff,70
89196940687ffff,225
89196940693ffff,15
89196940697ffff,135
891969406a7ffff,330
891969406b3ffff,125
891969406b7ffff,20
891969406bbffff,55
891969406c3ffff,560
891969406c7ffff,385
891969406cbffff,440
891969406cfffff,445
891969406d3ffff,145
891969406dbffff,255
8919694080bffff,15
8919694081bffff,25
89196940847ffff,30
8919694084fffff,30
89196940a17ffff,5
89196940a23ffff,20
89196940a2bffff,5
89196940a33ffff,15
89196940a3bffff,15
89196940a67ffff,20
89196940a6bffff,5
89196940a6fffff,30
89196940a77ffff,10
89196940aa3ffff,25
89196940aabffff,15
89196940aafffff,15
89196940ab7ffff,30
89196940ad3ffff,55
89196940b97ffff,10
89196940c07ffff,5
89196940c0fffff,10
89196940c6bffff,5
89196940c77ffff,5
89196940ca3ffff,10
89196940d97ffff,5
89196940e4bffff,95
89196940e5bffff,190
89196940ed3ffff,10
89196940edbffff,70
89196941027ffff,155
89196941037ffff,80
89196941077ffff,5
8919694108bffff,5
8919694109bffff,125
891969410afffff,30
891969410b3ffff,10
891969410b7ffff,25
89196941103ffff,295
8919694110bffff,195
8919694110fffff,95
89196941117ffff,50
8919694111bffff,125
89196941127ffff,5
89196941137ffff,5
89196941143ffff,430
89196941147ffff,425
8919694114bffff,10
89196941153ffff,475
89196941157ffff,580
8919694115bffff,130
89196941173ffff,10
8919694118fffff,10
891969411a3ffff,70
891969411a7ffff,40
891969411afffff,10
891969411b3ffff,70
891969411b7ffff,10
891969411bbffff,20
891969411c3ffff,150
891969411c7ffff,170
891969411cbffff,460
891969411cfffff,620
891969411d3ffff,15
891969411d7ffff,25
89196941217ffff,5
89196941323ffff,65
89196941327ffff,85
8919694132bffff,535
8919694132fffff,1170
89196941337ffff,5
8919694133bffff,15
8919694134fffff,5
89196941363ffff,585
89196941367ffff,645
8919694136bffff,655
8919694136fffff,710
89196941373ffff,5
89196941377ffff,55
8919694137bffff,15
891969413b3ffff,5
89196941403ffff,10
89196941407ffff,520
8919694140fffff,485
89196941417ffff,90
89196941423ffff,10
8919694142bffff,80
89196941433ffff,265
8919694143bffff,405
89196941467ffff,105
8919694146bffff,5
8919694146fffff,35
89196941473ffff,10
89196941477ffff,220
891969414a3ffff,10
891969414abffff,205
891969414afffff,165
891969414b3ffff,35
89196941503ffff,155
89196941507ffff,5
8919694150fffff,95
89196941513ffff,55
89196941517ffff,30
8919694151bffff,215
89196941523ffff,10
89196941527ffff,55
89196941533ffff,30
89196941537ffff,75
8919694153bffff,10
89196941543ffff,30
89196941547ffff,10
8919694154fffff,30
89196941557ffff,30
89196941563ffff,15
8919694156bffff,15
8919694156fffff,15
89196941573ffff,60
8919694157bffff,25
89196941583ffff,5
8919694158bffff,5
89196941593ffff,10
8919694159bffff,10
891969415abffff,60
891969415afffff,15
891969415bbffff,5
891969415c7ffff,15
891969415cfffff,50
891969415d7ffff,20
89196941603ffff,60
89196941607ffff,15
8919694160bffff,135
8919694160fffff,345
8919694161bffff,135
89196941633ffff,5
89196941657ffff,15
89196941673ffff,5
891969416a3ffff,10
891969416abffff,5
891969416b7ffff,5
891969416c3ffff,60
891969416c7ffff,170
891969416cfffff,130
89196941803ffff,5
89196941883ffff,25
89196941887ffff,20
89196941893ffff,105
89196941897ffff,45
8919694189bffff,175
8919694196fffff,40
89196941987ffff,5
89196941a23ffff,10
89196941a27ffff,40
89196941a2bffff,50
89196941a2fffff,65
89196941a4bffff,370
89196941a4fffff,115
89196941a5bffff,315
89196941a67ffff,50
89196941a6bffff,265
89196941a6fffff,100
89196941b03ffff,50
89196941b0bffff,5
89196941b17ffff,30
