hex9,value
8919682c923ffff,20
8919682c92bffff,120
8919682c92fffff,70
8919682c933ffff,15
8919682c937ffff,0
8919682c967ffff,130
8919682c9afffff,20
89196940047ffff,0
89196940053ffff,5
89196940067ffff,0
89196940073ffff,0
89196940077ffff,0
89196940083ffff,5
8919694008bffff,45
891969400c3ffff,65
891969400c7ffff,40
891969400d3ffff,265
891969400d7ffff,190
89196940103ffff,5
8919694010fffff,0
89196940117ffff,0
8919694014bffff,0
8919694014fffff,165
8919694016bffff,5
89196940173ffff,0
8919694017bffff,30
89196940187ffff,15
8919694018fffff,5
891969401b3ffff,20
891969401bbffff,30
89196940213ffff,5
89196940243ffff,0
89196940247ffff,0
8919694024bffff,25
8919694024fffff,10
8919694025bffff,40
8919694028fffff,0
89196940303ffff,100
89196940307ffff,205
8919694030fffff,25
89196940317ffff,145
89196940323ffff,305
89196940327ffff,45
8919694032bffff,270
8919694032fffff,340
89196940333ffff,285
89196940337ffff,85
8919694033bffff,240
89196940367ffff,55
89196940377ffff,180
89196940387ffff,15
89196940393ffff,5
89196940397ffff,0
891969403a3ffff,205
891969403a7ffff,70
891969403abffff,115
891969403afffff,275
891969403b3ffff,125
891969403b7ffff,180
891969403bbffff,130
8919694040bffff,0
89196940437ffff,0
8919694043bffff,0
8919694044bffff,0
8919694046bffff,15
8919694046fffff,10
891969404b7ffff,0
89196940507ffff,5
8919694053bffff,0
891969405a7ffff,5
891969405d3ffff,0
891969405dbffff,0
8919694060fffff,0
89196940613ffff,5
8919694061bffff,145
89196940633ffff,5
89196940653ffff,65
89196940657ffff,10
89196940683ffff,40
89196940687ffff,110
89196940693ffff,5
89196940697ffff,65
891969406a7ffff,160
891969406b3ffff,65
891969406b7ffff,10
891969406bbffff,25
891969406c3ffff,290
891969406c7ffff,200
891969406cbffff,210
891969406cfffff,220
891969406d3ffff,60
891969406dbffff,130
8919694080bffff,5
8919694081bffff,10
89196940847ffff,15
8919694084fffff,10
89196940a17ffff,0
89196940a23ffff,5
89196940a2bffff,0
89196940a33ffff,5
89196940a3bffff,10
89196940a67ffff,10
89196940a6bffff,0
89196940a6fffff,5
89196940a77ffff,10
89196940aa3ffff,0
89196940aabffff,5
89196940aafffff,5
89196940ab7ffff,10
89196940ad3ffff,20
89196940b97ffff,5
89196940c07ffff,0
89196940c0fffff,0
89196940c6bffff,0
89196940c77ffff,0
89196940ca3ffff,5
89196940d97ffff,0
89196940e4bffff,50
89196940e5bffff,95
89196940ed3ffff,5
89196940edbffff,30
89196941027ffff,85
89196941037ffff,40
89196941077ffff,0
8919694108bffff,0
8919694109bffff,65
891969410afffff,0
891969410b3ffff,0
891969410b7ffff,15
89196941103ffff,145
8919694110bffff,100
8919694110fffff,45
89196941117ffff,25
8919694111bffff,65
89196941127ffff,0
89196941137ffff,0
89196941143ffff,220
89196941147ffff,205
8919694114bffff,5
89196941153ffff,250
89196941157ffff,285
8919694115bffff,55
89196941173ffff,0
8919694118fffff,5
891969411a3ffff,30
891969411a7ffff,20
891969411afffff,5
891969411b3ffff,30
891969411b7ffff,5
891969411bbffff,10
891969411c3ffff,75
891969411c7ffff,85
891969411cbffff,225
891969411cfffff,305
891969411d3ffff,5
891969411d7ffff,0
89196941217ffff,0
89196941323ffff,30
89196941327ffff,40
8919694132bffff,265
8919694132fffff,600
89196941337ffff,0
8919694133bffff,5
8919694134fffff,5
89196941363ffff,280
89196941367ffff,325
8919694136bffff,315
8919694136fffff,370
89196941373ffff,0
89196941377ffff,25
8919694137bffff,5
891969413b3ffff,0
89196941403ffff,5
89196941407ffff,225
8919694140fffff,240
89196941417ffff,45
89196941423ffff,0
8919694142bffff,45
89196941433ffff,140
8919694143bffff,200
89196941467ffff,60
8919694146bffff,0
8919694146fffff,15
89196941473ffff,5
89196941477ffff,110
891969414a3ffff,5
891969414abffff,115
891969414afffff,85
891969414b3ffff,10
89196941503ffff,75
89196941507ffff,0
8919694150fffff,45
89196941513ffff,25
89196941517ffff,20
8919694151bffff,105
89196941523ffff,0
89196941527ffff,25
89196941533ffff,10
89196941537ffff,30
8919694153bffff,0
89196941543ffff,20
89196941547ffff,5
8919694154fffff,10
89196941557ffff,20
89196941563ffff,0
8919694156bffff,5
8919694156fffff,10
89196941573ffff,25
8919694157bffff,10
89196941583ffff,0
8919694158bffff,0
89196941593ffff,5
8919694159bffff,0
891969415abffff,20
891969415afffff,10
891969415bbffff,0
891969415c7ffff,5
891969415cfffff,20
891969415d7ffff,10
89196941603ffff,35
89196941607ffff,0
8919694160bffff,65
8919694160fffff,165
8919694161bffff,65
89196941633ffff,0
89196941657ffff,10
89196941673ffff,0
891969416a3ffff,0
891969416abffff,0
891969416b7ffff,0
891969416c3ffff,30
891969416c7ffff,90
891969416cfffff,65
89196941803ffff,5
89196941883ffff,15
89196941887ffff,5
89196941893ffff,50
89196941897ffff,15
8919694189bffff,80
8919694196fffff,15
89196941987ffff,0
89196941a23ffff,5
89196941a27ffff,20
89196941a2bffff,30
89196941a2fffff,25
89196941a4bffff,160
89196941a4fffff,60
89196941a5bffff,155
89196941a67ffff,20
89196941a6bffff,140
89196941a6fffff,45
89196941b03ffff,20
89196941b0bffff,0
89196941b17ffff,20
89196941b1bffff,15
89196941b4bffff,35
89196941b53ffff,5
89196941b57ffff,0
89196941b5bffff,20
89196941ba3ffff,0
89196941ba7ffff,35
89196941bcfffff,10
89196941c27ffff,5
89196941c43ffff,15
89196941c47ffff,35
89196941c53ffff,10
89196941c63ffff,20
89196941c67ffff,80
89196941c73ffff,30
89196941c7bffff,5
89196941ca7ffff,0
89196941cb7ffff,0
89196941ccbffff,0
89196941ccfffff,0
89196941cdbffff,10
89196941d33ffff,30
89196941d37ffff,10
89196941d4bffff,0
89196941d4fffff,10
89196941d73ffff,0
89196941d77ffff,0
89196941d7bffff,10
89196941d87ffff,10
89196941d93ffff,70
89196941d97ffff,185
89196941da3ffff,70
89196941da7ffff,60
89196941dabffff,15
89196941dafffff,65
89196941db3ffff,30
89196941db7ffff,0
89196941dd3ffff,0
89196941e03ffff,5
89196941e43ffff,285
89196941e47ffff,20
89196941e4bffff,375
89196941e4fffff,250
89196941e53ffff,65
89196941e5bffff,290
89196941e67ffff,10
89196941e77ffff,0
89196941e8bffff,0
89196941e9bffff,0
89196941ecbffff,5
8919694230bffff,5
89196942323ffff,0
8919694232bffff,0
89196942343ffff,10
89196942347ffff,0
89196942357ffff,5
8919694235bffff,10
89196942363ffff,0
8919694236fffff,0
89196942373ffff,40
8919694237bffff,10
8919694282bffff,0
8919694283bffff,10
89196942843ffff,0
89196942847ffff,5
8919694284bffff,5
8919694284fffff,25
89196942853ffff,10
89196942857ffff,0
8919694285bffff,0
8919694286bffff,0
8919694286fffff,0
891969428c3ffff,0
891969428c7ffff,0
891969428cfffff,0
8919694299bffff,0
891969429cfffff,10
891969429d7ffff,0
89196942a0bffff,10
89196942a13ffff,20
89196942a17ffff,30
89196942a1bffff,45
89196942a43ffff,40
89196942a47ffff,15
89196942a4bffff,10
89196942a53ffff,140
89196942a57ffff,155
89196942a83ffff,10
89196942a87ffff,10
89196942a8bffff,20
89196942a8fffff,0
89196942a97ffff,0
89196942abbffff,30
89196942ac3ffff,0
89196942acbffff,20
89196942acfffff,220
89196942b0bffff,0
89196942b33ffff,0
89196942b83ffff,115
89196942b87ffff,40
89196942b8bffff,25
89196942b8fffff,0
89196942b93ffff,0
89196942b9bffff,5
89196942ba3ffff,5
89196942babffff,0
89196942bbbffff,5
89196942bc7ffff,5
89196942e0bffff,10
89196942e0fffff,15
89196942e2fffff,10
89196942e33ffff,0
89196942e43ffff,20
89196942e47ffff,30
89196942e4fffff,0
89196942e57ffff,15
89196942e73ffff,70
89196942e77ffff,25
89196943033ffff,10
89196943037ffff,0
8919694303bffff,25
89196943063ffff,0
89196943067ffff,5
8919694306fffff,0
89196943077ffff,10
891969430a3ffff,5
891969430afffff,0
891969430b7ffff,15
89196943103ffff,0
8919694316bffff,40
89196943173ffff,15
8919694317bffff,35
89196943183ffff,0
8919694318fffff,5
89196943193ffff,0
89196943197ffff,0
8919694320fffff,0
89196943233ffff,5
8919694323bffff,35
89196943243ffff,5
89196943247ffff,15
8919694330bffff,0
8919694330fffff,0
89196943317ffff,0
89196943323ffff,40
89196943327ffff,30
8919694332bffff,30
89196943337ffff,75
89196943363ffff,10
89196943367ffff,0
8919694337bffff,0
89196943387ffff,5
89196943393ffff,0
891969433a3ffff,75
891969433a7ffff,40
891969433afffff,85
891969433b7ffff,50
891969433c3ffff,0
891969433cfffff,10
891969433d7ffff,5
89196943513ffff,5
89196943517ffff,10
8919694351bffff,30
89196943543ffff,0
89196943547ffff,5
8919694354fffff,10
89196943557ffff,5
8919694367bffff,0
89196945043ffff,145
89196945047ffff,5
8919694504bffff,145
8919694504fffff,55
89196945053ffff,25
89196945057ffff,10
8919694505bffff,5
89196945063ffff,0
8919694507bffff,0
89196945143ffff,0
8919694514bffff,0
89196945153ffff,0
8919694518bffff,0
891969451c7ffff,5
891969451cfffff,0
89196945277ffff,0
89196945283ffff,60
89196945287ffff,210
8919694528bffff,0
89196945297ffff,25
8919694529bffff,30
891969452b3ffff,65
891969452d3ffff,10
891969452d7ffff,10
89196945303ffff,90
89196945307ffff,10
8919694530bffff,0
8919694530fffff,0
89196945313ffff,305
