hex9,value
8919682c923ffff,5
8919682c92bffff,35
8919682c92fffff,20
8919682c933ffff,0
8919682c937ffff,0
8919682c967ffff,35
8919682c9afffff,0
89196940047ffff,0
89196940053ffff,0
89196940067ffff,0
89196940073ffff,0
89196940077ffff,0
89196940083ffff,0
8919694008bffff,5
891969400c3ffff,15
891969400c7ffff,5
891969400d3ffff,55
891969400d7ffff,40
89196940103ffff,0
8919694010fffff,0
89196940117ffff,0
8919694014bffff,0
8919694014fffff,50
8919694016bffff,0
89196940173ffff,0
8919694017bffff,5
89196940187ffff,0
8919694018fffff,0
891969401b3ffff,5
891969401bbffff,0
89196940213ffff,0
89196940243ffff,0
89196940247ffff,0
8919694024bffff,0
8919694024fffff,0
8919694025bffff,5
8919694028fffff,0
89196940303ffff,20
89196940307ffff,70
8919694030fffff,10
89196940317ffff,50
89196940323ffff,75
89196940327ffff,0
8919694032bffff,80
8919694032fffff,90
89196940333ffff,75
89196940337ffff,0
8919694033bffff,75
89196940367ffff,10
89196940377ffff,55
89196940387ffff,0
89196940393ffff,0
89196940397ffff,0
891969403a3ffff,55
891969403a7ffff,20
891969403abffff,25
891969403afffff,35
891969403b3ffff,40
891969403b7ffff,30
891969403bbffff,35
8919694040bffff,0
89196940437ffff,0
8919694043bffff,0
8919694044bffff,0
8919694046bffff,0
8919694046fffff,0
891969404b7ffff,0
89196940507ffff,0
8919694053bffff,0
891969405a7ffff,0
891969405d3ffff,0
891969405dbffff,0
8919694060fffff,0
89196940613ffff,0
8919694061bffff,25
89196940633ffff,0
89196940653ffff,20
89196940657ffff,0
89196940683ffff,5
89196940687ffff,25
89196940693ffff,0
89196940697ffff,15
891969406a7ffff,45
891969406b3ffff,20
891969406b7ffff,0
891969406bbffff,10
891969406c3ffff,80
891969406c7ffff,50
891969406cbffff,60
891969406cfffff,65
891969406d3ffff,5
891969406dbffff,20
8919694080bffff,0
8919694081bffff,0
89196940847ffff,0
8919694084fffff,0
89196940a17ffff,0
89196940a23ffff,0
89196940a2bffff,0
89196940a33ffff,0
89196940a3bffff,0
89196940a67ffff,0
89196940a6bffff,0
89196940a6fffff,0
89196940a77ffff,0
89196940aa3ffff,0
89196940aabffff,0
89196940aafffff,0
89196940ab7ffff,0
89196940ad3ffff,10
89196940b97ffff,0
89196940c07ffff,0
89196940c0fffff,0
89196940c6bffff,0
89196940c77ffff,0
89196940ca3ffff,0
89196940d97ffff,0
89196940e4bffff,5
89196940e5bffff,20
89196940ed3ffff,0
89196940edbffff,5
89196941027ffff,15
89196941037ffff,10
89196941077ffff,0
8919694108bffff,0
8919694109bffff,10
891969410afffff,0
891969410b3ffff,0
891969410b7ffff,0
89196941103ffff,25
8919694110bffff,20
8919694110fffff,15
89196941117ffff,0
8919694111bffff,5
89196941127ffff,0
89196941137ffff,0
89196941143ffff,65
89196941147ffff,40
8919694114bffff,0
89196941153ffff,60
89196941157ffff,55
8919694115bffff,10
89196941173ffff,0
8919694118fffff,0
891969411a3ffff,0
891969411a7ffff,5
891969411afffff,0
891969411b3ffff,0
891969411b7ffff,0
891969411bbffff,0
891969411c3ffff,10
891969411c7ffff,15
891969411cbffff,60
891969411cfffff,80
891969411d3ffff,0
891969411d7ffff,0
89196941217ffff,0
89196941323ffff,5
89196941327ffff,10
8919694132bffff,55
8919694132fffff,170
89196941337ffff,0
8919694133bffff,0
8919694134fffff,0
89196941363ffff,75
89196941367ffff,70
8919694136bffff,85
8919694136fffff,85
89196941373ffff,0
89196941377ffff,5
8919694137bffff,0
891969413b3ffff,0
89196941403ffff,0
89196941407ffff,30
8919694140fffff,60
89196941417ffff,15
89196941423ffff,0
8919694142bffff,5
89196941433ffff,15
8919694143bffff,55
89196941467ffff,5
8919694146bffff,0
8919694146fffff,0
89196941473ffff,0
89196941477ffff,15
891969414a3ffff,0
891969414abffff,35
891969414afffff,20
891969414b3ffff,0
89196941503ffff,10
89196941507ffff,0
8919694150fffff,0
89196941513ffff,0
89196941517ffff,0
8919694151bffff,20
89196941523ffff,0
89196941527ffff,0
89196941533ffff,0
89196941537ffff,0
8919694153bffff,0
89196941543ffff,0
89196941547ffff,0
8919694154fffff,0
89196941557ffff,0
89196941563ffff,0
8919694156bffff,0
8919694156fffff,0
89196941573ffff,0
8919694157bffff,0
89196941583ffff,0
8919694158bffff,0
89196941593ffff,0
8919694159bffff,0
891969415abffff,0
891969415afffff,0
891969415bbffff,0
891969415c7ffff,0
891969415cfffff,0
891969415d7ffff,0
89196941603ffff,0
89196941607ffff,0
8919694160bffff,10
8919694160fffff,25
8919694161bffff,10
89196941633ffff,0
89196941657ffff,0
89196941673ffff,0
891969416a3ffff,0
891969416abffff,0
891969416b7ffff,0
891969416c3ffff,0
