hex9,value
8919682c923ffff,15
8919682c92bffff,105
8919682c92fffff,75
8919682c933ffff,10
8919682c937ffff,0
8919682c967ffff,140
8919682c9afffff,20
89196940047ffff,0
89196940053ffff,0
89196940067ffff,0
89196940073ffff,0
89196940077ffff,0
89196940083ffff,0
8919694008bffff,45
891969400c3ffff,60
891969400c7ffff,35
891969400d3ffff,250
891969400d7ffff,175
89196940103ffff,0
8919694010fffff,0
89196940117ffff,0
8919694014bffff,0
8919694014fffff,155
8919694016bffff,5
89196940173ffff,0
8919694017bffff,35
89196940187ffff,15
8919694018fffff,5
891969401b3ffff,15
891969401bbffff,25
89196940213ffff,0
89196940243ffff,0
89196940247ffff,0
8919694024bffff,25
8919694024fffff,5
8919694025bffff,25
8919694028fffff,0
89196940303ffff,100
89196940307ffff,225
8919694030fffff,20
89196940317ffff,150
89196940323ffff,320
89196940327ffff,45
8919694032bffff,280
8919694032fffff,340
89196940333ffff,335
89196940337ffff,155
8919694033bffff,235
89196940367ffff,45
89196940377ffff,190
89196940387ffff,5
89196940393ffff,5
89196940397ffff,0
891969403a3ffff,205
891969403a7ffff,55
891969403abffff,110
891969403afffff,290
891969403b3ffff,110
891969403b7ffff,180
891969403bbffff,120
8919694040bffff,0
89196940437ffff,0
8919694043bffff,0
8919694044bffff,0
8919694046bffff,15
8919694046fffff,5
891969404b7ffff,0
89196940507ffff,5
8919694053bffff,0
891969405a7ffff,10
891969405d3ffff,0
891969405dbffff,5
8919694060fffff,5
89196940613ffff,0
8919694061bffff,120
89196940633ffff,0
89196940653ffff,65
89196940657ffff,5
89196940683ffff,40
89196940687ffff,110
89196940693ffff,10
89196940697ffff,65
891969406a7ffff,170
891969406b3ffff,55
891969406b7ffff,10
891969406bbffff,30
891969406c3ffff,275
891969406c7ffff,180
891969406cbffff,220
891969406cfffff,230
891969406d3ffff,75
891969406dbffff,125
8919694080bffff,0
8919694081bffff,10
89196940847ffff,10
8919694084fffff,15
89196940a17ffff,0
89196940a23ffff,5
89196940a2bffff,0
89196940a33ffff,0
89196940a3bffff,5
89196940a67ffff,5
89196940a6bffff,0
89196940a6fffff,5
89196940a77ffff,0
89196940aa3ffff,15
89196940aabffff,0
89196940aafffff,5
89196940ab7ffff,10
89196940ad3ffff,25
89196940b97ffff,0
89196940c07ffff,0
89196940c0fffff,5
89196940c6bffff,0
89196940c77ffff,0
89196940ca3ffff,0
89196940d97ffff,0
89196940e4bffff,45
89196940e5bffff,90
89196940ed3ffff,0
89196940edbffff,35
89196941027ffff,70
89196941037ffff,40
89196941077ffff,0
8919694108bffff,0
8919694109bffff,55
891969410afffff,10
891969410b3ffff,0
891969410b7ffff,0
89196941103ffff,145
8919694110bffff,90
8919694110fffff,45
89196941117ffff,25
8919694111bffff,50
89196941127ffff,0
89196941137ffff,0
89196941143ffff,215
89196941147ffff,210
