hex9,value
8919682c923ffff,E0979N4799E0980N4801
8919682c92bffff,E0975N4799E0976N4799E0977N4799E0975N4800
8919682c92fffff,E0977N4797E0976N4798E0977N4798E0978N4798
8919682c933ffff,E0980N4802E0981N4803
8919682c937ffff,E0981N4802
8919682c967ffff,E0971N4798E0972N4798E0973N4798E0972N4799E0973N4799E0974N4799
8919682c9afffff,E0982N4804E0983N4804E0983N4805E0984N4806
89196940047ffff,E1129N4649
89196940053ffff,E1127N4655
89196940067ffff,E1131N4644
89196940073ffff,E1130N4648
89196940077ffff,E1131N4645E1131N4646
89196940083ffff,E1139N4659
8919694008bffff,E1136N4658E1137N4658E1137N4659E1138N4657E1138N4658
891969400c3ffff,E1133N4659E1133N4660
891969400c7ffff,E1133N4658E1134N4658E1135N4658
891969400d3ffff,E1132N4661E1133N4661E1134N4661E1132N4662E1133N4662E1134N4662E1135N4662E1132N4663E1133N4663E1134N4663
891969400d7ffff,E1134N4659E1135N4659E1136N4659E1134N4660E1135N4660E1136N4660E1135N4661
89196940103ffff,E1149N4636
8919694010fffff,E1147N4634
89196940117ffff,E1150N4636E1151N4637E1152N4637
8919694014bffff,E1137N4635
8919694014fffff,E1138N4632E1139N4632E1137N4633E1137N4634E1138N4633
8919694016bffff,E1138N4629
89196940173ffff,E1142N4632
8919694017bffff,E1139N4630E1139N4631E1140N4631
89196940187ffff,E1156N4639E1157N4639
8919694018fffff,E1154N4639
891969401b3ffff,E1158N4639
891969401bbffff,E1153N4637E1154N4637E1154N4638E1155N4638E1156N4638
89196940213ffff,E1112N4649
89196940243ffff,E1103N4649
89196940247ffff,E1106N4646
8919694024bffff,E1099N4646E1100N4647E1100N4648E1101N4648
8919694024fffff,E1101N4645
8919694025bffff,E1101N4649E1101N4650E1102N4651
8919694028fffff,E1116N4651
89196940303ffff,E1125N4629E1125N4630E1126N4630E1127N4630
89196940307ffff,E1127N4627E1128N4627E1126N4628E1127N4628E1126N4629E1127N4629
8919694030fffff,E1125N4628
89196940317ffff,E1130N4631E1130N4632E1128N4630E1129N4630E1128N4631E1129N4631
89196940323ffff,E1127N4622E1128N4622E1129N4622E1127N4623E1128N4623E1129N4623E1127N4624E1128N4624E1129N4624
89196940327ffff,E1130N4620E1130N4621E1131N4621E1129N4620E1129N4621E1130N4622
8919694032bffff,E1124N4621E1125N4621E1124N4622E1125N4622E1126N4622E1124N4623E1125N4623
8919694032fffff,E1126N4619E1127N4619E1125N4620E1126N4620E1127N4620E1128N4620E1126N4621E1127N4621E1128N4621
89196940333ffff,E1130N4625E1128N4625E1129N4625E1128N4626E1129N4626E1130N4626E1130N4627E1129N4627
89196940337ffff,E1131N4622E1131N4623E1132N4623E1130N4624E1131N4624E1132N4624E1131N4625E1132N4625
8919694033bffff,E1125N4624E1126N4624E1125N4625E1126N4625E1127N4625E1126N4626E1127N4626
89196940367ffff,E1123N4621E1122N4622E1123N4622
89196940377ffff,E1122N4623E1123N4623E1122N4624E1123N4624E1124N4624
89196940387ffff,E1134N4635E1134N4636
89196940393ffff,E1133N4639E1132N4640E1132N4641
89196940397ffff,E1134N4638
891969403a3ffff,E1134N4628E1133N4629E1134N4629E1135N4629E1134N4630E1135N4630
891969403a7ffff,E1136N4626E1135N4627E1137N4627E1135N4628E1136N4628
891969403abffff,E1130N4628E1131N4628E1129N4628E1131N4629E1132N4629
891969403afffff,E1131N4626E1132N4626E1133N4626E1134N4626E1131N4627E1132N4627E1134N4627E1132N4628E1133N4628
891969403b3ffff,E1134N4632E1136N4632E1134N4633E1136N4633E1136N4634
891969403b7ffff,E1138N4630E1138N4631E1136N4629E1137N4629E1136N4630E1137N4630E1136N4631E1137N4631E1137N4632
891969403bbffff,E1131N4631E1131N4632E1132N4632E1133N4632E1132N4633E1133N4633
8919694040bffff,E1141N4671
89196940437ffff,E1151N4665
8919694043bffff,E1143N4667
8919694044bffff,E1131N4672
8919694046bffff,E1134N4664
8919694046fffff,E1135N4663
891969404b7ffff,E1155N4673
89196940507ffff,E1158N4653
8919694053bffff,E1158N4652
891969405a7ffff,E1168N4653E1168N4654
891969405d3ffff,E1155N4666
891969405dbffff,E1152N4665
8919694060fffff,E1121N4666
89196940613ffff,E1121N4670
8919694061bffff,E1118N4670E1119N4670E1120N4670E1118N4671E1119N4671E1120N4671
89196940633ffff,E1124N4662
89196940653ffff,E1114N4671E1113N4672E1114N4672E1114N4673E1115N4671E1115N4672E1115N4673
89196940657ffff,E1116N4668E1115N4670E1116N4670
89196940683ffff,E1128N4674E1128N4675
