hex9,value
8919682c923ffff,2.1
8919682c92bffff,10.2
8919682c92fffff,8.3
8919682c933ffff,3.0
8919682c937ffff,0.0
8919682c967ffff,12.0
8919682c9afffff,2.4
89196940047ffff,1.0
89196940053ffff,0.0
89196940067ffff,0.0
89196940073ffff,0.0
89196940077ffff,0.0
89196940083ffff,0.0
8919694008bffff,10.4
891969400c3ffff,5.0
891969400c7ffff,7.5
891969400d3ffff,22.2
891969400d7ffff,16.2
89196940103ffff,0.0
8919694010fffff,0.0
89196940117ffff,0.0
8919694014bffff,0.0
8919694014fffff,12.7
8919694016bffff,2.2
89196940173ffff,0.0
8919694017bffff,6.1
89196940187ffff,3.1
8919694018fffff,0.0
891969401b3ffff,2.8
891969401bbffff,0.0
89196940213ffff,0.0
89196940243ffff,0.0
89196940247ffff,0.0
8919694024bffff,2.5
8919694024fffff,2.2
8919694025bffff,4.9
8919694028fffff,0.0
89196940303ffff,9.0
89196940307ffff,13.3
8919694030fffff,2.6
89196940317ffff,15.7
89196940323ffff,22.8
89196940327ffff,9.8
8919694032bffff,17.4
8919694032fffff,21.6
89196940333ffff,19.3
89196940337ffff,10.799999999999999
8919694033bffff,19.9
89196940367ffff,4.5
89196940377ffff,10.100000000000001
89196940387ffff,0.0
89196940393ffff,0.0
89196940397ffff,0.0
891969403a3ffff,14.2
891969403a7ffff,6.5
891969403abffff,9.8
891969403afffff,16.7
891969403b3ffff,11.5
891969403b7ffff,20.3
891969403bbffff,14.6
8919694040bffff,0.0
89196940437ffff,0.0
8919694043bffff,0.0
8919694044bffff,0.0
8919694046bffff,2.8
8919694046fffff,0.0
891969404b7ffff,0.0
89196940507ffff,0.0
8919694053bffff,0.0
891969405a7ffff,0.0
891969405d3ffff,0.0
891969405dbffff,0.0
8919694060fffff,0.0
89196940613ffff,1.0
8919694061bffff,11.4
89196940633ffff,0.0
89196940653ffff,11.9
89196940657ffff,0.0
89196940683ffff,3.6
89196940687ffff,10.5
89196940693ffff,0.0
89196940697ffff,6.7
891969406a7ffff,18.2
891969406b3ffff,7.5
891969406b7ffff,3.2
891969406bbffff,2.8
891969406c3ffff,18.4
891969406c7ffff,12.799999999999999
891969406cbffff,19.2
891969406cfffff,20.9
891969406d3ffff,8.2
891969406dbffff,18.1
8919694080bffff,0.0
8919694081bffff,0.0
89196940847ffff,0.0
8919694084fffff,2.6
89196940a17ffff,0.0
89196940a23ffff,2.2
89196940a2bffff,1.4
89196940a33ffff,0.0
89196940a3bffff,2.3
89196940a67ffff,0.0
89196940a6bffff,0.0
89196940a6fffff,0.0
89196940a77ffff,0.0
89196940aa3ffff,2.4
89196940aabffff,1.5
89196940aafffff,0.0
89196940ab7ffff,3.8
89196940ad3ffff,2.9
89196940b97ffff,0.0
89196940c07ffff,0.0
89196940c0fffff,0.0
89196940c6bffff,0.0
89196940c77ffff,0.0
89196940ca3ffff,0.0
89196940d97ffff,0.0
89196940e4bffff,7.9
89196940e5bffff,11.5
89196940ed3ffff,1.8
89196940edbffff,4.0
89196941027ffff,7.5
89196941037ffff,5.4
89196941077ffff,0.0
8919694108bffff,0.0
8919694109bffff,5.0
891969410afffff,0.0
891969410b3ffff,0.0
891969410b7ffff,0.0
89196941103ffff,11.5
8919694110bffff,11.4
8919694110fffff,9.5
89196941117ffff,8.0
8919694111bffff,9.799999999999999
89196941127ffff,0.0
89196941137ffff,0.0
