hex9,value
8919682c923ffff,329
8919682c92bffff,864
8919682c92fffff,1934
8919682c933ffff,491
8919682c937ffff,0
8919682c967ffff,1740
8919682c9afffff,381
89196940047ffff,0
89196940053ffff,0
89196940067ffff,0
89196940073ffff,0
89196940077ffff,0
89196940083ffff,0
8919694008bffff,1371
891969400c3ffff,629
891969400c7ffff,1145
891969400d3ffff,3196
891969400d7ffff,2248
89196940103ffff,0
8919694010fffff,0
89196940117ffff,0
8919694014bffff,0
8919694014fffff,1746
8919694016bffff,1152
89196940173ffff,0
8919694017bffff,1600
89196940187ffff,0
8919694018fffff,0
891969401b3ffff,572
891969401bbffff,933
89196940213ffff,0
89196940243ffff,0
89196940247ffff,0
8919694024bffff,525
8919694024fffff,277
8919694025bffff,343
8919694028fffff,0
89196940303ffff,1316
89196940307ffff,1610
8919694030fffff,437
89196940317ffff,2020
89196940323ffff,2616
89196940327ffff,1737
8919694032bffff,2160
8919694032fffff,2899
89196940333ffff,1833
89196940337ffff,3220
8919694033bffff,2170
89196940367ffff,657
89196940377ffff,1238
89196940387ffff,0
89196940393ffff,0
89196940397ffff,0
891969403a3ffff,1661
891969403a7ffff,1824
891969403abffff,1094
891969403afffff,2972
891969403b3ffff,933
891969403b7ffff,3776
891969403bbffff,2267
8919694040bffff,0
89196940437ffff,0
8919694043bffff,0
8919694044bffff,0
8919694046bffff,499
8919694046fffff,527
891969404b7ffff,0
89196940507ffff,0
8919694053bffff,0
891969405a7ffff,0
891969405d3ffff,0
891969405dbffff,0
8919694060fffff,0
89196940613ffff,0
8919694061bffff,1375
89196940633ffff,0
89196940653ffff,2607
89196940657ffff,0
89196940683ffff,785
89196940687ffff,1478
89196940693ffff,0
89196940697ffff,800
891969406a7ffff,2830
891969406b3ffff,955
891969406b7ffff,327
891969406bbffff,457
891969406c3ffff,2382
891969406c7ffff,1805
891969406cbffff,2001
891969406cfffff,2936
891969406d3ffff,1365
891969406dbffff,3062
8919694080bffff,0
8919694081bffff,0
89196940847ffff,0
8919694084fffff,520
89196940a17ffff,0
89196940a23ffff,0
