hex9,value
8919682c923ffff,100
8919682c92bffff,350
8919682c92fffff,350
8919682c933ffff,70
8919682c937ffff,0
8919682c967ffff,480
8919682c9afffff,160
89196940047ffff,0
89196940053ffff,0
89196940067ffff,0
89196940073ffff,0
89196940077ffff,0
89196940083ffff,0
8919694008bffff,370
891969400c3ffff,180
891969400c7ffff,250
891969400d3ffff,870
891969400d7ffff,600
89196940103ffff,0
8919694010fffff,0
89196940117ffff,0
8919694014bffff,0
8919694014fffff,410
8919694016bffff,90
89196940173ffff,0
8919694017bffff,160
89196940187ffff,190
8919694018fffff,100
891969401b3ffff,90
891969401bbffff,360
89196940213ffff,0
89196940243ffff,0
89196940247ffff,0
8919694024bffff,300
8919694024fffff,100
8919694025bffff,190
8919694028fffff,0
89196940303ffff,370
89196940307ffff,470
8919694030fffff,90
89196940317ffff,520
89196940323ffff,670
89196940327ffff,290
8919694032bffff,630
8919694032fffff,800
89196940333ffff,650
89196940337ffff,750
8919694033bffff,610
89196940367ffff,190
89196940377ffff,440
89196940387ffff,160
89196940393ffff,90
89196940397ffff,0
891969403a3ffff,480
891969403a7ffff,270
891969403abffff,310
891969403afffff,720
891969403b3ffff,370
891969403b7ffff,800
891969403bbffff,530
8919694040bffff,0
89196940437ffff,0
8919694043bffff,0
8919694044bffff,0
8919694046bffff,90
8919694046fffff,60
891969404b7ffff,0
89196940507ffff,100
8919694053bffff,0
891969405a7ffff,90
891969405d3ffff,0
891969405dbffff,0
8919694060fffff,0
89196940613ffff,0
8919694061bffff,380
89196940633ffff,0
89196940653ffff,400
89196940657ffff,90
89196940683ffff,180
89196940687ffff,450
89196940693ffff,80
89196940697ffff,250
891969406a7ffff,640
891969406b3ffff,250
891969406b7ffff,100
891969406bbffff,100
891969406c3ffff,700
891969406c7ffff,520
891969406cbffff,690
891969406cfffff,710
891969406d3ffff,360
891969406dbffff,680
8919694080bffff,0
8919694081bffff,100
89196940847ffff,260
8919694084fffff,100
89196940a17ffff,0
89196940a23ffff,200
89196940a2bffff,0
89196940a33ffff,0
89196940a3bffff,70
89196940a67ffff,80
89196940a6bffff,0
89196940a6fffff,90
89196940a77ffff,90
89196940aa3ffff,100
89196940aabffff,0
89196940aafffff,60
89196940ab7ffff,190
89196940ad3ffff,90
89196940b97ffff,0
89196940c07ffff,0
89196940c0fffff,0
89196940c6bffff,0
89196940c77ffff,0
89196940ca3ffff,0
89196940d97ffff,0
89196940e4bffff,270
89196940e5bffff,490
89196940ed3ffff,0
89196940edbffff,190
89196941027ffff,270
89196941037ffff,290
89196941077ffff,0
8919694108bffff,0
8919694109bffff,360
891969410afffff,0
891969410b3ffff,0
891969410b7ffff,0
89196941103ffff,380
8919694110bffff,520
8919694110fffff,270
89196941117ffff,240
